name,team,gp,toi,g,a,firsta,points,shots,ifenwick,icorsi,shpct,g_60,a_60,firsta_60,points_60,shots_60,ifenwick_60,icorsi_60,igp,iap,ipp
"MACHACEK, SPENCER",Winnipeg,13,96:42,2,7,4,9,12,16,24,16.67,1.24,4.34,2.48,5.58,7.45,9.93,14.89,20.0,70.0,90.0
"CROSBY, SIDNEY",Pittsburgh,22,296:44,5,19,12,24,43,53,72,11.63,1.01,3.84,2.43,4.85,8.69,10.72,14.56,16.1,61.3,77.4
"MAXWELL, BEN",Winnipeg,15,94:14,1,5,4,6,10,11,14,10.00,0.64,3.18,2.55,3.82,6.37,7.00,8.91,16.7,83.3,100.0
"BAERTSCHI, SVEN",Calgary,5,50:31,3,0,0,3,10,11,14,30.00,3.56,0.00,0.00,3.56,11.88,13.06,16.63,100.0,0.0,100.0
"MALKIN, EVGENI",Pittsburgh,75,1145:46,31,35,28,66,198,251,314,15.66,1.62,1.83,1.47,3.46,10.37,13.14,16.44,41.9,47.3,89.2
"EBERLE, JORDAN",Edmonton,78,1065:36,23,31,20,54,126,174,225,18.25,1.29,1.75,1.13,3.04,7.09,9.80,12.67,35.9,48.4,84.4
"FOLIGNO, MARCUS",Buffalo,14,199:48,4,6,1,10,20,33,40,20.00,1.20,1.80,0.30,3.00,6.01,9.91,12.01,22.2,33.3,55.6
"STAMKOS, STEVEN",Tampa Bay,82,1356:51,41,22,15,63,200,263,341,20.50,1.81,0.97,0.66,2.79,8.84,11.63,15.08,51.2,27.5,78.8
"DUPUIS, PASCAL",Pittsburgh,82,1114:01,21,30,16,51,177,243,322,11.86,1.13,1.62,0.86,2.75,9.53,13.09,17.34,35.6,50.8,86.4
"BENN, JAMIE",Dallas,71,993:58,21,24,8,45,157,216,282,13.38,1.27,1.45,0.48,2.72,9.48,13.04,17.02,39.6,45.3,84.9
"MCDONALD, ANDY",St. Louis,25,335:53,6,9,4,15,45,63,76,13.33,1.07,1.61,0.71,2.68,8.04,11.25,13.58,35.3,52.9,88.2
"SEGUIN, TYLER",Boston,81,1124:10,22,28,15,50,201,273,351,10.95,1.17,1.49,0.80,2.67,10.73,14.57,18.73,31.0,39.4,70.4
"FILPPULA, VALTTERI",Detroit,81,1148:33,17,34,22,51,114,159,200,14.91,0.89,1.78,1.15,2.66,5.96,8.31,10.45,25.8,51.5,77.3
"WHITNEY, RAY",Arizona,82,1136:36,14,36,26,50,129,166,217,10.85,0.74,1.90,1.37,2.64,6.81,8.76,11.46,23.0,59.0,82.0
"ENNIS, TYLER",Buffalo,48,644:36,12,16,10,28,68,94,127,17.65,1.12,1.49,0.93,2.61,6.33,8.75,11.82,34.3,45.7,80.0
"GIROUX, CLAUDE",Philadelphia,77,1085:26,18,29,17,47,154,201,279,11.69,0.99,1.60,0.94,2.60,8.51,11.11,15.42,30.5,49.2,79.7
