name,team,gp,toi,g,a,firsta,points,shots,ifenwick,icorsi,shpct,g_60,a_60,firsta_60,points_60,shots_60,ifenwick_60,icorsi_60,igp,iap,ipp
"MACHACEK, SPENCER",Winnipeg,23,172:12,2,7,4,9,19,24,35,10.53,0.70,2.44,1.39,3.14,6.62,8.36,12.20,20.0,70.0,90.0
"BJORKSTRAND, OLIVER",Columbus,12,161:09,4,4,2,8,25,30,42,16.00,1.49,1.49,0.74,2.98,9.31,11.17,15.64,44.4,44.4,88.9
"CROSBY, SIDNEY",Pittsburgh,336,5055:03,91,159,104,250,721,976,1209,12.62,1.08,1.89,1.23,2.97,8.56,11.58,14.35,30.2,52.8,83.1
"MCDAVID, CONNOR",Edmonton,45,624:55,12,16,9,28,74,95,107,16.22,1.15,1.54,0.86,2.69,7.10,9.12,10.27,34.3,45.7,80.0
"HARJU, JOHAN",Tampa Bay,10,68:13,1,2,2,3,13,16,20,7.69,0.88,1.76,1.76,2.64,11.43,14.07,17.59,25.0,50.0,75.0
"HANLEY, JOEL",Montreal,10,137:21,0,6,3,6,9,14,16,0.00,0.00,2.62,1.31,2.62,3.93,6.12,6.99,0.0,75.0,75.0
"BENN, JAMIE",Dallas,426,5908:44,103,148,74,251,895,1251,1642,11.51,1.05,1.50,0.75,2.55,9.09,12.70,16.67,32.7,47.0,79.7
"ALIU, AKIM",Calgary,7,71:55,2,1,0,3,5,6,9,40.00,1.67,0.83,0.00,2.50,4.17,5.01,7.51,66.7,33.3,100.0
"MALKIN, EVGENI",Pittsburgh,335,4808:17,87,113,75,200,667,906,1156,13.04,1.09,1.41,0.94,2.50,8.32,11.31,14.43,34.8,45.2,80.0
"TARASENKO, VLADIMIR",St. Louis,259,3424:41,65,73,44,138,573,820,1111,11.34,1.14,1.28,0.77,2.42,10.04,14.37,19.46,37.6,42.2,79.8
"KANE, PATRICK",Chicago,414,6399:19,110,147,99,257,926,1230,1594,11.88,1.03,1.38,0.93,2.41,8.68,11.53,14.95,33.5,44.8,78.4
"ATHANASIOU, ANDREAS",Detroit,37,302:26,7,5,2,12,49,66,78,14.29,1.39,0.99,0.40,2.38,9.72,13.09,15.47,50.0,35.7,85.7
"RADULOV, ALEXANDER",Nashville,9,153:33,3,3,2,6,20,26,32,15.00,1.17,1.17,0.78,2.34,7.82,10.16,12.50,33.3,33.3,66.7
"STAMKOS, STEVEN",Tampa Bay,408,6128:37,136,102,71,238,834,1187,1524,16.31,1.33,1.00,0.70,2.33,8.16,11.62,14.92,42.9,32.2,75.1
"SEGUIN, TYLER",Dallas,426,5824:39,108,118,81,226,973,1323,1681,11.10,1.11,1.22,0.83,2.33,10.02,13.63,17.32,34.7,37.9,72.7
"BITZ, BYRON",Vancouver,10,104:06,1,3,2,4,6,8,10,16.67,0.58,1.73,1.15,2.31,3.46,4.61,5.76,25.0,75.0,100.0
"PALAT, ONDREJ",Tampa Bay,232,2974:08,38,76,46,114,337,472,625,11.28,0.77,1.53,0.93,2.30,6.80,9.52,12.61,23.3,46.6,69.9
"TOEWS, JONATHAN",Chicago,423,6091:11,103,129,85,232,789,986,1183,13.05,1.01,1.27,0.84,2.29,7.77,9.71,11.65,32.3,40.4,72.7
"ST._LOUIS, MARTIN",NY Rangers,362,5627:19,86,128,75,214,652,888,1106,13.19,0.92,1.36,0.80,2.28,6.95,9.47,11.79,29.8,44.3,74.0
"HALL, TAYLOR",Edmonton,381,5686:27,76,140,90,216,892,1201,1602,8.52,0.80,1.48,0.95,2.28,9.41,12.67,16.90,29.2,53.8,83.1
