name,team,gp,toi,g,a,firsta,points,shots,ifenwick,icorsi,shpct,g_60,a_60,firsta_60,points_60,shots_60,ifenwick_60,icorsi_60,igp,iap,ipp
"VESCE, RYAN",San Jose,9,88:28,3,2,1,5,17,21,26,17.65,2.03,1.36,0.68,3.39,11.53,14.24,17.63,50.0,33.3,83.3
"MACHACEK, SPENCER",Winnipeg,23,172:12,2,7,4,9,19,24,35,10.53,0.70,2.44,1.39,3.14,6.62,8.36,12.20,20.0,70.0,90.0
"CROSBY, SIDNEY",Pittsburgh,417,6233:23,124,192,126,316,918,1233,1513,13.51,1.19,1.85,1.21,3.04,8.84,11.87,14.56,32.6,50.5,83.2
"BJORKSTRAND, OLIVER",Columbus,12,161:09,4,4,2,8,25,30,42,16.00,1.49,1.49,0.74,2.98,9.31,11.17,15.64,44.4,44.4,88.9
"MCDAVID, CONNOR",Edmonton,45,624:55,12,16,9,28,74,95,107,16.22,1.15,1.54,0.86,2.69,7.10,9.12,10.27,34.3,45.7,80.0
"PETTINGER, MATT",Vancouver,9,68:01,1,2,2,3,8,12,13,12.50,0.88,1.76,1.76,2.65,7.06,10.59,11.47,25.0,50.0,75.0
"HARJU, JOHAN",Tampa Bay,10,68:13,1,2,2,3,13,16,20,7.69,0.88,1.76,1.76,2.64,11.43,14.07,17.59,25.0,50.0,75.0
"HANLEY, JOEL",Montreal,10,137:21,0,6,3,6,9,14,16,0.00,0.00,2.62,1.31,2.62,3.93,6.12,6.99,0.0,75.0,75.0
"ALIU, AKIM",Calgary,7,71:55,2,1,0,3,5,6,9,40.00,1.67,0.83,0.00,2.50,4.17,5.01,7.51,66.7,33.3,100.0
"MALKIN, EVGENI",Pittsburgh,402,5771:11,99,140,92,239,807,1098,1402,12.27,1.03,1.46,0.96,2.48,8.39,11.42,14.58,33.1,46.8,79.9
"BENN, JAMIE",Dallas,507,6893:08,123,161,78,284,1037,1445,1887,11.86,1.07,1.40,0.68,2.47,9.03,12.58,16.43,34.7,45.5,80.2
"KANE, PATRICK",Chicago,496,7612:57,131,179,119,310,1120,1494,1931,11.70,1.03,1.41,0.94,2.44,8.83,11.77,15.22,33.4,45.7,79.1
"TARASENKO, VLADIMIR",St. Louis,259,3424:41,65,73,44,138,573,820,1111,11.34,1.14,1.28,0.77,2.42,10.04,14.37,19.46,37.6,42.2,79.8
"ATHANASIOU, ANDREAS",Detroit,37,302:26,7,5,2,12,49,66,78,14.29,1.39,0.99,0.40,2.38,9.72,13.09,15.47,50.0,35.7,85.7
"SEDIN, HENRIK",Vancouver,520,7363:45,58,234,131,292,567,724,924,10.23,0.47,1.91,1.07,2.38,4.62,5.90,7.53,15.6,63.1,78.7
"LALIBERTE, DAVID",Philadelphia,11,76:12,2,1,1,3,8,13,16,25.00,1.57,0.79,0.79,2.36,6.30,10.24,12.60,50.0,25.0,75.0
"KANA, TOMAS",Columbus,6,50:56,0,2,1,2,3,4,6,0.00,0.00,2.36,1.18,2.36,3.53,4.71,7.07,0.0,100.0,100.0
"RADULOV, ALEXANDER",Nashville,9,153:33,3,3,2,6,20,26,32,15.00,1.17,1.17,0.78,2.34,7.82,10.16,12.50,33.3,33.3,66.7
"SEDIN, DANIEL",Vancouver,501,7009:10,102,171,114,273,1088,1459,1821,9.38,0.87,1.46,0.98,2.34,9.31,12.49,15.59,29.4,49.3,78.7
"STAMKOS, STEVEN",Tampa Bay,489,7206:00,155,125,84,280,987,1389,1794,15.70,1.29,1.04,0.70,2.33,8.22,11.57,14.94,41.4,33.4,74.9
"SEGUIN, TYLER",Dallas,426,5824:39,108,118,81,226,973,1323,1681,11.10,1.11,1.22,0.83,2.33,10.02,13.63,17.32,34.7,37.9,72.7
"ST._LOUIS, MARTIN",NY Rangers,443,6801:34,103,158,90,261,820,1123,1378,12.56,0.91,1.39,0.79,2.30,7.23,9.91,12.16,29.8,45.7,75.4
"PALAT, ONDREJ",Tampa Bay,232,2974:08,38,76,46,114,337,472,625,11.28,0.77,1.53,0.93,2.30,6.80,9.52,12.61,23.3,46.6,69.9
"HALL, TAYLOR",Edmonton,381,5686:27,76,140,90,216,892,1201,1602,8.52,0.80,1.48,0.95,2.28,9.41,12.67,16.90,29.2,53.8,83.1
"TOEWS, JONATHAN",Chicago,499,7191:20,117,155,102,272,916,1154,1383,12.77,0.98,1.29,0.85,2.27,7.64,9.63,11.54,30.9,40.9,71.8
"WILSON, KYLE",Nashville,39,345:31,4,9,5,13,34,48,64,11.76,0.69,1.56,0.87,2.26,5.90,8.34,11.11,25.0,56.2,81.2
"VAN_DER_GULIK, DAVID",Los Angeles,43,292:50,2,9,7,11,43,56,67,4.65,0.41,1.84,1.43,2.25,8.81,11.47,13.73,10.5,47.4,57.9
"HORTON, NATHAN",Columbus,269,3688:13,53,85,53,138,457,604,803,11.60,0.86,1.38,0.86,2.25,7.43,9.83,13.06,26.5,42.5,69.0
"PASTRNAK, DAVID",Boston,97,1206:09,21,24,12,45,173,233,301,12.14,1.04,1.19,0.60,2.24,8.61,11.59,14.97,37.5,42.9,80.4
"DUPUIS, PASCAL",Pittsburgh,365,4795:32,76,100,56,176,728,986,1257,10.44,0.95,1.25,0.70,2.20,9.11,12.34,15.73,30.8,40.5,71.3
"WOLSKI, WOJTEK",Washington,211,2682:12,35,63,35,98,338,457,552,10.36,0.78,1.41,0.78,2.19,7.56,10.22,12.35,28.7,51.6,80.3
"NASH, RICK",NY Rangers,481,6556:46,129,110,70,239,1277,1663,2094,10.10,1.18,1.01,0.64,2.19,11.69,15.22,19.16,41.1,35.0,76.1
"GETZLAF, RYAN",Anaheim,490,7380:40,73,195,120,268,716,1046,1341,10.20,0.59,1.59,0.98,2.18,5.82,8.50,10.90,20.8,55.6,76.4
"PERRY, COREY",Anaheim,518,7697:08,143,136,93,279,1163,1620,2025,12.30,1.11,1.06,0.72,2.17,9.07,12.63,15.79,39.0,37.1,76.0
"SEMIN, ALEXANDER",Montreal,395,5499:29,91,108,72,199,837,1262,1784,10.87,0.99,1.18,0.79,2.17,9.13,13.77,19.46,31.4,37.2,68.6
"VANEK, THOMAS",Minnesota,499,6482:43,97,137,94,234,826,1124,1448,11.74,0.90,1.27,0.87,2.17,7.64,10.40,13.40,31.6,44.6,76.2
"SPEZZA, JASON",Dallas,439,5951:39,86,128,89,214,827,1210,1584,10.40,0.87,1.29,0.90,2.16,8.34,12.20,15.97,29.6,44.0,73.5
"AFINOGENOV, MAXIM",Winnipeg,82,1090:28,15,24,15,39,124,178,230,12.10,0.83,1.32,0.83,2.15,6.82,9.79,12.66,28.8,46.2,75.0
"THORNTON, JOE",San Jose,531,7471:23,58,209,126,267,578,791,1001,10.03,0.47,1.68,1.01,2.14,4.64,6.35,8.04,15.9,57.3,73.2
"EBERLE, JORDAN",Edmonton,425,6117:36,96,122,81,218,740,999,1292,12.97,0.94,1.20,0.79,2.14,7.26,9.80,12.67,34.9,44.4,79.3
