name,team,gp,toi,g,a,firsta,points,shots,ifenwick,icorsi,shpct,g_60,a_60,firsta_60,points_60,shots_60,ifenwick_60,icorsi_60,igp,iap,ipp
"RYCHEL, KERBY",Columbus,5,52:49,0,3,3,3,4,7,10,0.00,0.00,3.41,3.41,3.41,4.54,7.95,11.36,0.0,100.0,100.0
"VESCE, RYAN",San Jose,9,88:28,3,2,1,5,17,21,26,17.65,2.03,1.36,0.68,3.39,11.53,14.24,17.63,50.0,33.3,83.3
"CROSBY, SIDNEY",Pittsburgh,337,5023:36,106,159,105,265,760,1007,1216,13.95,1.27,1.90,1.25,3.17,9.08,12.03,14.52,33.3,50.0,83.3
"MACHACEK, SPENCER",Winnipeg,23,172:12,2,7,4,9,19,24,35,10.53,0.70,2.44,1.39,3.14,6.62,8.36,12.20,20.0,70.0,90.0
"DANO, MARKO",Columbus,35,446:11,8,12,7,20,80,98,123,10.00,1.08,1.61,0.94,2.69,10.76,13.18,16.54,33.3,50.0,83.3
"PETTINGER, MATT",Vancouver,9,68:01,1,2,2,3,8,12,13,12.50,0.88,1.76,1.76,2.65,7.06,10.59,11.47,25.0,50.0,75.0
"HARJU, JOHAN",Tampa Bay,10,68:13,1,2,2,3,13,16,20,7.69,0.88,1.76,1.76,2.64,11.43,14.07,17.59,25.0,50.0,75.0
"MALKIN, EVGENI",Pittsburgh,345,4963:41,86,128,83,214,723,980,1242,11.89,1.04,1.55,1.00,2.59,8.74,11.85,15.01,32.2,47.9,80.1
"BENN, JAMIE",Dallas,425,5744:15,107,135,65,242,878,1225,1604,12.19,1.12,1.41,0.68,2.53,9.17,12.80,16.75,35.8,45.2,80.9
"ALIU, AKIM",Calgary,7,71:55,2,1,0,3,5,6,9,40.00,1.67,0.83,0.00,2.50,4.17,5.01,7.51,66.7,33.3,100.0
"TARASENKO, VLADIMIR",St. Louis,179,2297:49,43,52,33,95,364,548,726,11.81,1.12,1.36,0.86,2.48,9.50,14.31,18.96,35.8,43.3,79.2
"SEDIN, HENRIK",Vancouver,446,6364:00,54,209,114,263,500,638,820,10.80,0.51,1.97,1.07,2.48,4.71,6.02,7.73,16.2,62.6,78.7
"PASTRNAK, DAVID",Boston,46,534:49,7,15,7,22,76,111,144,9.21,0.79,1.68,0.79,2.47,8.53,12.45,16.16,25.9,55.6,81.5
"STAMKOS, STEVEN",Tampa Bay,412,6106:08,138,111,74,249,867,1214,1563,15.92,1.36,1.09,0.73,2.45,8.52,11.93,15.36,42.1,33.8,75.9
"SEDIN, DANIEL",Vancouver,419,5901:25,86,153,101,239,912,1229,1546,9.43,0.87,1.56,1.03,2.43,9.27,12.50,15.72,28.6,50.8,79.4
"PALAT, ONDREJ",Tampa Bay,170,2175:33,26,62,35,88,249,350,458,10.44,0.72,1.71,0.97,2.43,6.87,9.65,12.63,20.8,49.6,70.4
"KANE, PATRICK",Chicago,414,6306:26,106,147,98,253,933,1255,1631,11.36,1.01,1.40,0.93,2.41,8.88,11.94,15.52,32.6,45.2,77.8
"TOEWS, JONATHAN",Chicago,419,6053:58,106,136,90,242,789,990,1188,13.43,1.05,1.35,0.89,2.40,7.82,9.81,11.77,31.2,40.0,71.2
"SEGUIN, TYLER",Dallas,354,4758:27,87,102,71,189,810,1095,1371,10.74,1.10,1.29,0.90,2.38,10.21,13.81,17.29,33.9,39.7,73.5
"LALIBERTE, DAVID",Philadelphia,11,76:12,2,1,1,3,8,13,16,25.00,1.57,0.79,0.79,2.36,6.30,10.24,12.60,50.0,25.0,75.0
"KANA, TOMAS",Columbus,6,50:56,0,2,1,2,3,4,6,0.00,0.00,2.36,1.18,2.36,3.53,4.71,7.07,0.0,100.0,100.0
"RADULOV, ALEXANDER",Nashville,9,153:33,3,3,2,6,20,26,32,15.00,1.17,1.17,0.78,2.34,7.82,10.16,12.50,33.3,33.3,66.7
"STONE, MARK",Ottawa,103,1279:56,21,29,18,50,144,210,253,14.58,0.98,1.36,0.84,2.34,6.75,9.84,11.86,32.8,45.3,78.1
"MOUILLIERAT, KAEL",NY Islanders,6,51:15,1,1,0,2,1,3,4,100.00,1.17,1.17,0.00,2.34,1.17,3.51,4.68,50.0,50.0,100.0
"JOHNSON, TYLER",Tampa Bay,173,2205:52,34,52,32,86,305,411,524,11.15,0.92,1.41,0.87,2.34,8.30,11.18,14.25,28.3,43.3,71.7
"HAYES, KEVIN",NY Rangers,79,925:41,14,22,21,36,98,126,159,14.29,0.91,1.43,1.36,2.33,6.35,8.17,10.31,33.3,52.4,85.7
"ST._LOUIS, MARTIN",NY Rangers,443,6801:34,103,158,90,261,820,1123,1378,12.56,0.91,1.39,0.79,2.30,7.23,9.91,12.16,29.8,45.7,75.4
"GETZLAF, RYAN",Anaheim,413,6288:37,69,171,108,240,601,869,1110,11.48,0.66,1.63,1.03,2.29,5.73,8.29,10.59,22.1,54.8,76.9
"HALL, TAYLOR",Edmonton,299,4439:00,58,110,66,168,678,922,1247,8.55,0.78,1.49,0.89,2.27,9.16,12.46,16.86,28.6,54.2,82.8
"WILSON, KYLE",Nashville,39,345:31,4,9,5,13,34,48,64,11.76,0.69,1.56,0.87,2.26,5.90,8.34,11.11,25.0,56.2,81.2
"VANEK, THOMAS",Minnesota,425,5581:29,87,123,82,210,730,997,1275,11.92,0.94,1.32,0.88,2.26,7.85,10.72,13.71,31.8,44.9,76.6
"VAN_DER_GULIK, DAVID",Los Angeles,43,292:50,2,9,7,11,43,56,67,4.65,0.41,1.84,1.43,2.25,8.81,11.47,13.73,10.5,47.4,57.9
"DUPUIS, PASCAL",Pittsburgh,347,4578:52,74,98,54,172,703,951,1210,10.53,0.97,1.28,0.71,2.25,9.21,12.46,15.86,31.2,41.4,72.6
"NASH, RICK",NY Rangers,421,5794:44,122,95,62,217,1149,1475,1850,10.62,1.26,0.98,0.64,2.25,11.90,15.27,19.16,43.6,33.9,77.5
"HORTON, NATHAN",Columbus,269,3688:13,53,85,53,138,457,604,803,11.60,0.86,1.38,0.86,2.25,7.43,9.83,13.06,26.5,42.5,69.0
"PERRY, COREY",Anaheim,436,6548:46,124,121,81,245,1005,1392,1738,12.34,1.14,1.11,0.74,2.24,9.21,12.75,15.92,38.4,37.5,75.9
"SHARP, PATRICK",Chicago,408,5695:44,91,122,70,213,1021,1341,1717,8.91,0.96,1.29,0.74,2.24,10.76,14.13,18.09,31.0,41.5,72.4
"TOFFOLI, TYLER",Los Angeles,148,1662:15,24,37,22,61,279,392,507,8.60,0.87,1.34,0.79,2.20,10.07,14.15,18.30,27.9,43.0,70.9
"GABORIK, MARIAN",Los Angeles,377,5362:20,97,99,66,196,820,1076,1334,11.83,1.09,1.11,0.74,2.19,9.18,12.04,14.93,37.3,38.1,75.4
"EBERLE, JORDAN",Edmonton,356,5144:54,81,107,73,188,622,832,1078,13.02,0.94,1.25,0.85,2.19,7.25,9.70,12.57,34.3,45.3,79.7
"WOLSKI, WOJTEK",Washington,211,2682:12,35,63,35,98,338,457,552,10.36,0.78,1.41,0.78,2.19,7.56,10.22,12.35,28.7,51.6,80.3
"SEMIN, ALEXANDER",Carolina,380,5348:40,90,105,71,195,820,1235,1747,10.98,1.01,1.18,0.80,2.19,9.20,13.85,19.60,31.8,37.1,68.9
"SPEZZA, JASON",Dallas,364,5006:58,66,115,80,181,669,984,1282,9.87,0.79,1.38,0.96,2.17,8.02,11.79,15.36,26.6,46.4,73.0
"PERREAULT, MATHIEU",Winnipeg,289,3184:43,50,65,46,115,319,443,581,15.67,0.94,1.22,0.87,2.17,6.01,8.35,10.95,32.7,42.5,75.2
"KUCHEROV, NIKITA",Tampa Bay,134,1583:17,29,28,19,57,231,325,400,12.55,1.10,1.06,0.72,2.16,8.75,12.32,15.16,32.6,31.5,64.0
"BERGERON, PATRICE",Boston,437,5727:37,82,124,78,206,858,1183,1515,9.56,0.86,1.30,0.82,2.16,8.99,12.39,15.87,30.1,45.6,75.7
"DATSYUK, PAVEL",Detroit,361,5294:14,69,121,74,190,627,865,1160,11.00,0.78,1.37,0.84,2.15,7.11,9.80,13.15,28.2,49.4,77.6
"AFINOGENOV, MAXIM",Winnipeg,82,1090:28,15,24,15,39,124,178,230,12.10,0.83,1.32,0.83,2.15,6.82,9.79,12.66,28.8,46.2,75.0
"NEAL, JAMES",Nashville,402,5567:58,100,99,56,199,921,1265,1713,10.86,1.08,1.07,0.60,2.14,9.92,13.63,18.46,34.6,34.3,68.9
"KUNITZ, CHRIS",Pittsburgh,398,5437:42,84,110,63,194,702,972,1262,11.97,0.93,1.21,0.70,2.14,7.75,10.73,13.93,27.7,36.3,64.0
"OVECHKIN, ALEX",Washington,435,6626:19,120,116,83,236,1255,1795,2607,9.56,1.09,1.05,0.75,2.14,11.36,16.25,23.61,39.5,38.2,77.6
"KESSEL, PHIL",Toronto,446,6756:31,116,124,83,240,1178,1585,2117,9.85,1.03,1.10,0.74,2.13,10.46,14.08,18.80,37.4,40.0,77.4
"PARSE, SCOTT",Los Angeles,73,760:09,11,16,10,27,87,111,138,12.64,0.87,1.26,0.79,2.13,6.87,8.76,10.89,28.2,41.0,69.2
"KREJCI, DAVID",Boston,407,5859:27,67,141,87,208,585,795,1005,11.45,0.69,1.44,0.89,2.13,5.99,8.14,10.29,23.8,50.0,73.8
"HOSSA, MARIAN",Chicago,397,5477:26,77,117,67,194,872,1129,1502,8.83,0.84,1.28,0.73,2.13,9.55,12.37,16.45,29.6,45.0,74.6
"STROME, RYAN",NY Islanders,118,1388:34,17,32,23,49,206,254,320,8.25,0.73,1.38,0.99,2.12,8.90,10.98,13.83,22.4,42.1,64.5
"LEE, ANDERS",NY Islanders,100,1194:26,24,18,10,42,208,278,325,11.54,1.21,0.90,0.50,2.11,10.45,13.96,16.33,38.7,29.0,67.7
