name,team,gp,toi,g,a,firsta,points,shots,ifenwick,icorsi,shpct,g_60,a_60,firsta_60,points_60,shots_60,ifenwick_60,icorsi_60,igp,iap,ipp
"VAN_DER_GULIK, DAVID",Colorado,12,81:53,1,4,3,5,23,27,28,4.35,0.73,2.93,2.20,3.66,16.85,19.78,20.52,16.7,66.7,83.3
"FORSBERG, PETER",Colorado,11,161:04,1,8,4,9,16,19,24,6.25,0.37,2.98,1.49,3.35,5.96,7.08,8.94,11.1,88.9,100.0
"CROSBY, SIDNEY",Pittsburgh,252,3613:36,90,106,72,196,566,746,895,15.90,1.49,1.76,1.20,3.25,9.40,12.39,14.86,40.5,47.7,88.3
"GEOFFRION, BLAKE",Nashville,20,162:33,6,2,0,8,24,26,35,25.00,2.21,0.74,0.00,2.95,8.86,9.60,12.92,66.7,22.2,88.9
"PELECH, MATT",Calgary,5,61:11,0,3,0,3,3,5,10,0.00,0.00,2.94,0.00,2.94,2.94,4.90,9.81,0.0,75.0,75.0
"OLVER, MARK",Colorado,18,186:24,2,7,4,9,22,25,33,9.09,0.64,2.25,1.29,2.90,7.08,8.05,10.62,22.2,77.8,100.0
"RADULOV, ALEXANDER",Nashville,81,1022:13,20,29,19,49,137,174,212,14.60,1.17,1.70,1.12,2.88,8.04,10.21,12.44,32.8,47.5,80.3
"JOHNSON, NICK",Pittsburgh,10,105:31,2,3,2,5,15,18,21,13.33,1.14,1.71,1.14,2.84,8.53,10.24,11.94,33.3,50.0,83.3
"SEDIN, DANIEL",Vancouver,308,4165:22,76,121,79,197,671,914,1162,11.33,1.09,1.74,1.14,2.84,9.67,13.17,16.74,32.1,51.1,83.1
"SEDIN, HENRIK",Vancouver,327,4531:04,51,161,97,212,418,526,653,12.20,0.68,2.13,1.28,2.81,5.54,6.97,8.65,19.8,62.6,82.5
"OVECHKIN, ALEX",Washington,310,4882:12,108,113,82,221,1067,1520,2192,10.12,1.33,1.39,1.01,2.72,13.11,18.68,26.94,39.0,40.8,79.8
"HARJU, JOHAN",Tampa Bay,10,68:13,1,2,2,3,13,16,20,7.69,0.88,1.76,1.76,2.64,11.43,14.07,17.59,25.0,50.0,75.0
"MALKIN, EVGENI",Pittsburgh,274,3899:14,56,115,74,171,544,733,947,10.29,0.86,1.77,1.14,2.63,8.37,11.28,14.57,26.5,54.5,81.0
"GABORIK, MARIAN",NY Rangers,231,3297:48,69,75,53,144,519,689,852,13.29,1.26,1.36,0.96,2.62,9.44,12.54,15.50,39.7,43.1,82.8
"SEMIN, ALEXANDER",Washington,261,3402:04,86,60,42,146,625,913,1241,13.76,1.52,1.06,0.74,2.57,11.02,16.10,21.89,45.0,31.4,76.4
"WILSON, KYLE",Columbus,34,306:20,4,9,5,13,32,44,60,12.50,0.78,1.76,0.98,2.55,6.27,8.62,11.75,25.0,56.2,81.2
"DATSYUK, PAVEL",Detroit,298,4245:24,65,108,69,173,580,790,1026,11.21,0.92,1.53,0.98,2.44,8.20,11.16,14.50,27.3,45.4,72.7
"SKINNER, JEFF",Carolina,81,1033:14,23,19,8,42,151,222,298,15.23,1.34,1.10,0.46,2.44,8.77,12.89,17.30,43.4,35.8,79.2
"FOY, MATT",Minnesota,28,197:37,4,4,3,8,34,42,50,11.76,1.21,1.21,0.91,2.43,10.32,12.75,15.18,44.4,44.4,88.9
"LALIBERTE, DAVID",Philadelphia,11,76:12,2,1,1,3,8,13,16,25.00,1.57,0.79,0.79,2.36,6.30,10.24,12.60,50.0,25.0,75.0
"KANA, TOMAS",Columbus,6,50:56,0,2,1,2,3,4,6,0.00,0.00,2.36,1.18,2.36,3.53,4.71,7.07,0.0,100.0,100.0
"PARSE, SCOTT",Los Angeles,64,664:39,10,16,10,26,80,101,127,12.50,0.90,1.44,0.90,2.35,7.22,9.12,11.46,27.0,43.2,70.3
"CALVERT, MATT",Columbus,42,412:42,8,8,5,16,39,52,65,20.51,1.16,1.16,0.73,2.33,5.67,7.56,9.45,38.1,38.1,76.2
"THORNTON, JOE",San Jose,323,4645:19,49,131,90,180,362,503,641,13.54,0.63,1.69,1.16,2.32,4.68,6.50,8.28,20.9,56.0,76.9
"PERRY, COREY",Anaheim,312,4648:09,80,99,67,179,733,1007,1193,10.91,1.03,1.28,0.86,2.31,9.46,13.00,15.40,33.8,41.8,75.5
"HLINKA, JAROSLAV",Colorado,63,703:45,8,19,15,27,79,103,123,10.13,0.68,1.62,1.28,2.30,6.74,8.78,10.49,23.5,55.9,79.4
"KANE, PATRICK",Chicago,317,4474:06,62,109,62,171,632,821,1041,9.81,0.83,1.46,0.83,2.29,8.48,11.01,13.96,28.6,50.2,78.8
"ST._LOUIS, MARTIN",Tampa Bay,327,4924:42,68,120,65,188,656,922,1107,10.37,0.83,1.46,0.79,2.29,7.99,11.23,13.49,28.0,49.4,77.4
"GREENING, COLIN",Ottawa,24,314:43,6,6,3,12,53,68,82,11.32,1.14,1.14,0.57,2.29,10.10,12.96,15.63,37.5,37.5,75.0
"GETZLAF, RYAN",Anaheim,291,4385:53,50,116,66,166,400,581,711,12.50,0.68,1.59,0.90,2.27,5.47,7.95,9.73,22.2,51.6,73.8
"SPEZZA, JASON",Ottawa,280,3977:04,59,91,63,150,518,738,943,11.39,0.89,1.37,0.95,2.26,7.81,11.13,14.23,28.2,43.5,71.8
"LARSEN, PHILIP",Dallas,8,79:35,0,3,1,3,4,6,6,0.00,0.00,2.26,0.75,2.26,3.02,4.52,4.52,0.0,37.5,37.5
"HAVLAT, MARTIN",Minnesota,267,3608:53,53,83,54,136,506,641,778,10.47,0.88,1.38,0.90,2.26,8.41,10.66,12.93,30.6,48.0,78.6
"IGGULDEN, MIKE",NY Islanders,12,132:42,1,4,3,5,16,25,33,6.25,0.45,1.81,1.36,2.26,7.23,11.30,14.92,16.7,66.7,83.3
"POMINVILLE, JASON",Buffalo,319,3966:29,60,89,57,149,655,850,1050,9.16,0.91,1.35,0.86,2.25,9.91,12.86,15.88,31.7,47.1,78.8
"RIBEIRO, MIKE",Dallas,306,4242:34,48,111,79,159,425,568,716,11.29,0.68,1.57,1.12,2.25,6.01,8.03,10.13,24.1,55.8,79.9
"THOMAS, BILL",Florida,23,187:12,4,3,1,7,32,44,45,12.50,1.28,0.96,0.32,2.24,10.26,14.10,14.42,57.1,42.9,100.0
"VANEK, THOMAS",Buffalo,306,3777:11,65,76,46,141,536,752,904,12.13,1.03,1.21,0.73,2.24,8.51,11.95,14.36,33.7,39.4,73.1
"ROY, DEREK",Buffalo,275,3670:31,54,83,55,137,450,606,766,12.00,0.88,1.36,0.90,2.24,7.36,9.91,12.52,30.3,46.6,77.0
"STAMKOS, STEVEN",Tampa Bay,242,3140:41,56,61,37,117,437,607,797,12.81,1.07,1.17,0.71,2.24,8.35,11.60,15.23,36.4,39.6,76.0
"RYAN, BOBBY",Anaheim,250,3437:43,64,64,38,128,531,731,898,12.05,1.12,1.12,0.66,2.23,9.27,12.76,15.67,33.9,33.9,67.7
"IGINLA, JAROME",Calgary,327,5109:21,92,98,62,190,805,1093,1422,11.43,1.08,1.15,0.73,2.23,9.45,12.84,16.70,36.9,39.4,76.3
"PARISE, ZACH",New Jersey,256,3554:39,63,69,36,132,697,930,1071,9.04,1.06,1.16,0.61,2.23,11.76,15.70,18.08,38.2,41.8,80.0
"STEWART, CHRIS",St. Louis,192,2453:14,43,48,33,91,361,460,549,11.91,1.05,1.17,0.81,2.23,8.83,11.25,13.43,37.7,42.1,79.8
