name,team,gp,toi,g,a,firsta,points,shots,ifenwick,icorsi,shpct,g_60,a_60,firsta_60,points_60,shots_60,ifenwick_60,icorsi_60,igp,iap,ipp
"CROSBY, SIDNEY",Pittsburgh,36,544:20,12,26,19,38,86,115,138,13.95,1.32,2.87,2.09,4.19,9.48,12.68,15.21,25.5,55.3,80.9
"CHIASSON, ALEX",Dallas,7,86:57,5,1,1,6,10,13,17,50.00,3.45,0.69,0.69,4.14,6.90,8.97,11.73,83.3,16.7,100.0
"LUPUL, JOFFREY",Toronto,16,203:31,8,6,4,14,30,40,50,26.67,2.36,1.77,1.18,4.13,8.84,11.79,14.74,44.4,33.3,77.8
"STAAL, ERIC",Carolina,48,727:57,13,27,17,40,99,127,169,13.13,1.07,2.23,1.40,3.30,8.16,10.47,13.93,28.3,58.7,87.0
"TOEWS, JONATHAN",Chicago,47,658:50,18,17,8,35,112,140,173,16.07,1.64,1.55,0.73,3.19,10.20,12.75,15.76,41.9,39.5,81.4
"KADRI, NAZEM",Toronto,48,621:52,10,23,19,33,80,126,163,12.50,0.96,2.22,1.83,3.18,7.72,12.16,15.73,25.6,59.0,84.6
"KUNITZ, CHRIS",Pittsburgh,48,646:18,12,22,12,34,70,103,136,17.14,1.11,2.04,1.11,3.16,6.50,9.56,12.63,24.5,44.9,69.4
"HALL, TAYLOR",Edmonton,45,651:09,12,21,16,33,117,152,196,10.26,1.11,1.94,1.47,3.04,10.78,14.01,18.06,34.3,60.0,94.3
"GALLAGHER, BRENDAN",Montreal,44,496:52,12,12,8,24,99,124,176,12.12,1.45,1.45,0.97,2.90,11.95,14.97,21.25,34.3,34.3,68.6
"GALCHENYUK, ALEX",Montreal,48,526:09,9,16,12,25,66,95,120,13.64,1.03,1.82,1.37,2.85,7.53,10.83,13.68,28.1,50.0,78.1
"PACIORETTY, MAX",Montreal,44,554:28,10,16,9,26,120,168,211,8.33,1.08,1.73,0.97,2.81,12.99,18.18,22.83,28.6,45.7,74.3
"CULLEN, MATT",Minnesota,42,494:25,7,16,13,23,59,83,101,11.86,0.85,1.94,1.58,2.79,7.16,10.07,12.26,22.6,51.6,74.2
"NASH, RICK",NY Rangers,44,677:43,17,14,7,31,133,165,202,12.78,1.51,1.24,0.62,2.74,11.77,14.61,17.88,43.6,35.9,79.5
"ELLER, LARS",Montreal,46,549:05,7,18,9,25,72,99,129,9.72,0.76,1.97,0.98,2.73,7.87,10.82,14.10,24.1,62.1,86.2
"DUPUIS, PASCAL",Pittsburgh,48,678:17,14,16,5,30,121,172,221,11.57,1.24,1.42,0.44,2.65,10.70,15.21,19.55,28.6,32.7,61.2
"ST._LOUIS, MARTIN",Tampa Bay,48,795:22,13,22,10,35,80,108,134,16.25,0.98,1.66,0.75,2.64,6.04,8.15,10.11,31.0,52.4,83.3
"LADD, ANDREW",Winnipeg,48,707:49,11,20,8,31,85,133,172,12.94,0.93,1.70,0.68,2.63,7.21,11.27,14.58,27.5,50.0,77.5
"MARCHAND, BRAD",Boston,45,599:26,10,16,10,26,69,91,116,14.49,1.00,1.60,1.00,2.60,6.91,9.11,11.61,32.3,51.6,83.9
"VORACEK, JAKUB",Philadelphia,48,611:13,11,15,9,26,71,90,117,15.49,1.08,1.47,0.88,2.55,6.97,8.83,11.49,33.3,45.5,78.8
"CONACHER, CORY",Ottawa,47,543:57,9,14,7,23,61,72,98,14.75,0.99,1.54,0.77,2.54,6.73,7.94,10.81,30.0,46.7,76.7
"SEMIN, ALEXANDER",Carolina,44,686:08,7,22,15,29,105,162,230,6.67,0.61,1.92,1.31,2.54,9.18,14.17,20.11,15.6,48.9,64.4
"JOHNSON, TYLER",Tampa Bay,14,143:05,3,3,2,6,8,16,20,37.50,1.26,1.26,0.84,2.52,3.35,6.71,8.39,42.9,42.9,85.7
"POULIOT, BENOIT",Tampa Bay,34,381:56,7,9,4,16,51,68,84,13.73,1.10,1.41,0.63,2.51,8.01,10.68,13.20,28.0,36.0,64.0
"ROUSSEL, ANTOINE",Dallas,39,334:41,7,7,4,14,45,58,66,15.56,1.25,1.25,0.72,2.51,8.07,10.40,11.83,41.2,41.2,82.4
"KESSEL, PHIL",Toronto,48,746:17,14,17,12,31,116,164,230,12.07,1.13,1.37,0.96,2.49,9.33,13.19,18.49,35.9,43.6,79.5
"BURNS, BRENT",San Jose,30,409:53,7,10,5,17,61,87,115,11.48,1.02,1.46,0.73,2.49,8.93,12.74,16.83,35.0,50.0,85.0
"GAGNON, AARON",Winnipeg,10,73:16,3,0,0,3,11,14,17,27.27,2.46,0.00,0.00,2.46,9.01,11.46,13.92,60.0,0.0,60.0
"KANE, PATRICK",Chicago,47,743:40,11,19,15,30,96,133,168,11.46,0.89,1.53,1.21,2.42,7.75,10.73,13.55,27.5,47.5,75.0
"GETZLAF, RYAN",Anaheim,44,647:30,6,20,14,26,67,90,117,8.96,0.56,1.85,1.30,2.41,6.21,8.34,10.84,17.6,58.8,76.5
"STEPAN, DEREK",NY Rangers,48,725:12,13,16,11,29,87,125,171,14.94,1.08,1.32,0.91,2.40,7.20,10.34,14.15,31.7,39.0,70.7
"PALMIERI, KYLE",Anaheim,42,454:05,8,10,6,18,80,110,137,10.00,1.06,1.32,0.79,2.38,10.57,14.53,18.10,38.1,47.6,85.7
"VANEK, THOMAS",Buffalo,38,530:11,7,14,11,21,70,95,127,10.00,0.79,1.58,1.24,2.38,7.92,10.75,14.37,26.9,53.8,80.8
"BISSONNETTE, PAUL",Arizona,28,151:37,0,6,3,6,13,20,23,0.00,0.00,2.37,1.19,2.37,5.14,7.91,9.10,0.0,66.7,66.7
"MORROW, BRENDEN",Pittsburgh,44,535:33,10,11,6,21,40,59,76,25.00,1.12,1.23,0.67,2.35,4.48,6.61,8.51,37.0,40.7,77.8
"LECAVALIER, VINCENT",Tampa Bay,39,538:37,5,16,10,21,53,73,87,9.43,0.56,1.78,1.11,2.34,5.90,8.13,9.69,19.2,61.5,80.8
"BACKSTROM, NICKLAS",Washington,48,667:24,5,21,11,26,62,89,113,8.06,0.45,1.89,0.99,2.34,5.57,8.00,10.16,16.1,67.7,83.9
"KLINKHAMMER, ROB",Arizona,22,257:24,4,6,4,10,31,44,55,12.90,0.93,1.40,0.93,2.33,7.23,10.26,12.82,36.4,54.5,90.9
"BICKELL, BRYAN",Chicago,48,592:02,9,14,8,23,80,104,146,11.25,0.91,1.42,0.81,2.33,8.11,10.54,14.80,37.5,58.3,95.8
"WILLIAMS, JUSTIN",Los Angeles,48,669:52,9,17,9,26,125,161,198,7.20,0.81,1.52,0.81,2.33,11.20,14.42,17.73,26.5,50.0,76.5
"DUCHENE, MATT",Colorado,47,698:59,12,15,12,27,90,118,144,13.33,1.03,1.29,1.03,2.32,7.73,10.13,12.36,37.5,46.9,84.4
"FRATTIN, MATT",Toronto,25,311:31,6,6,2,12,37,51,72,16.22,1.16,1.16,0.39,2.31,7.13,9.82,13.87,35.3,35.3,70.6
"COUTURE, LOGAN",San Jose,48,626:27,14,10,9,24,107,147,175,13.08,1.34,0.96,0.86,2.30,10.25,14.08,16.76,48.3,34.5,82.8
"STAMKOS, STEVEN",Tampa Bay,48,785:37,14,16,9,30,104,150,190,13.46,1.07,1.22,0.69,2.29,7.94,11.46,14.51,35.9,41.0,76.9
"EBERLE, JORDAN",Edmonton,48,710:00,12,15,12,27,105,136,159,11.43,1.01,1.27,1.01,2.28,8.87,11.49,13.44,36.4,45.5,81.8
"LEINO, VILLE",Buffalo,8,105:13,1,3,1,4,8,9,10,12.50,0.57,1.71,0.57,2.28,4.56,5.13,5.70,25.0,75.0,100.0
"HANSEN, JANNIK",Vancouver,47,609:39,8,15,8,23,80,108,142,10.00,0.79,1.48,0.79,2.26,7.87,10.63,13.98,25.8,48.4,74.2
"MOULSON, MATT",NY Islanders,47,719:50,7,20,14,27,111,146,193,6.31,0.58,1.67,1.17,2.25,9.25,12.17,16.09,21.2,60.6,81.8
"EAKIN, CODY",Dallas,48,562:08,4,17,9,21,56,68,97,7.14,0.43,1.81,0.96,2.24,5.98,7.26,10.35,16.0,68.0,84.0
"SEDIN, HENRIK",Vancouver,48,700:54,7,19,8,26,52,64,81,13.46,0.60,1.63,0.68,2.23,4.45,5.48,6.93,20.0,54.3,74.3
"SEDIN, DANIEL",Vancouver,47,674:06,8,17,10,25,107,133,165,7.48,0.71,1.51,0.89,2.23,9.52,11.84,14.69,25.8,54.8,80.6
"TLUSTY, JIRI",Carolina,48,675:10,15,10,6,25,90,121,152,16.67,1.33,0.89,0.53,2.22,8.00,10.75,13.51,37.5,25.0,62.5
"SETOGUCHI, DEVIN",Minnesota,48,568:16,8,13,9,21,68,92,121,11.76,0.84,1.37,0.95,2.22,7.18,9.71,12.78,27.6,44.8,72.4
"RICHARDSON, BRAD",Los Angeles,16,162:48,1,5,2,6,25,35,45,4.00,0.37,1.84,0.74,2.21,9.21,12.90,16.58,16.7,83.3,100.0
"OVECHKIN, ALEX",Washington,48,735:55,14,13,10,27,135,186,267,10.37,1.14,1.06,0.82,2.20,11.01,15.16,21.77,37.8,35.1,73.0
"PERRY, COREY",Anaheim,44,626:58,9,14,9,23,94,128,160,9.57,0.86,1.34,0.86,2.20,9.00,12.25,15.31,27.3,42.4,69.7
"KESLER, RYAN",Vancouver,17,220:57,2,6,4,8,20,31,43,10.00,0.54,1.63,1.09,2.17,5.43,8.42,11.68,20.0,60.0,80.0
"SAAD, BRANDON",Chicago,46,607:54,9,13,10,22,86,111,130,10.47,0.89,1.28,0.99,2.17,8.49,10.96,12.83,27.3,39.4,66.7
"TAVARES, JOHN",NY Islanders,48,775:11,17,11,9,28,105,141,187,16.19,1.32,0.85,0.70,2.17,8.13,10.91,14.47,48.6,31.4,80.0
"WHITNEY, RAY",Dallas,32,473:42,7,10,7,17,41,60,83,17.07,0.89,1.27,0.89,2.15,5.19,7.60,10.51,29.2,41.7,70.8
"PROSPAL, VACLAV",Columbus,48,641:08,8,15,4,23,64,87,119,12.50,0.75,1.40,0.37,2.15,5.99,8.14,11.14,29.6,55.6,85.2
"BERTUZZI, TODD",Detroit,7,83:41,2,1,0,3,9,12,16,22.22,1.43,0.72,0.00,2.15,6.45,8.60,11.47,40.0,20.0,60.0
"BERGERON, PATRICE",Boston,42,586:43,6,15,7,21,92,131,160,6.52,0.61,1.53,0.72,2.15,9.41,13.40,16.36,21.4,53.6,75.0
"BAERTSCHI, SVEN",Calgary,20,224:19,2,6,3,8,23,29,36,8.70,0.54,1.60,0.80,2.14,6.15,7.76,9.63,25.0,75.0,100.0
"YAKUPOV, NAIL",Edmonton,48,560:51,10,10,7,20,52,76,106,19.23,1.07,1.07,0.75,2.14,5.56,8.13,11.34,41.7,41.7,83.3
"RICHARDS, BRAD",NY Rangers,46,675:03,8,16,9,24,77,110,153,10.39,0.71,1.42,0.80,2.13,6.84,9.78,13.60,26.7,53.3,80.0
"JOHANSSON, MARCUS",Washington,34,450:26,3,13,7,16,32,43,56,9.38,0.40,1.73,0.93,2.13,4.26,5.73,7.46,12.0,52.0,64.0
"STEWART, CHRIS",St. Louis,48,620:47,10,12,6,22,73,100,117,13.70,0.97,1.16,0.58,2.13,7.06,9.67,11.31,30.3,36.4,66.7
"STALBERG, VIKTOR",Chicago,47,537:18,9,10,8,19,95,128,162,9.47,1.00,1.12,0.89,2.12,10.61,14.29,18.09,37.5,41.7,79.2
"VAN_RIEMSDYK, JAMES",Toronto,48,707:40,13,12,5,25,108,140,179,12.04,1.10,1.02,0.42,2.12,9.16,11.87,15.18,37.1,34.3,71.4
"ANISIMOV, ARTEM",Columbus,35,427:18,9,6,3,15,49,63,88,18.37,1.26,0.84,0.42,2.11,6.88,8.85,12.36,56.2,37.5,93.8
"CRACKNELL, ADAM",St. Louis,20,171:03,2,4,2,6,21,29,39,9.52,0.70,1.40,0.70,2.10,7.37,10.17,13.68,28.6,57.1,85.7
"TATAR, TOMAS",Detroit,18,171:07,3,3,2,6,23,33,45,13.04,1.05,1.05,0.70,2.10,8.06,11.57,15.78,37.5,37.5,75.0
"HOSSA, MARIAN",Chicago,40,514:04,8,10,5,18,73,100,133,10.96,0.93,1.17,0.58,2.10,8.52,11.67,15.52,30.8,38.5,69.2
"NEAL, JAMES",Pittsburgh,40,515:59,11,7,5,18,93,117,165,11.83,1.28,0.81,0.58,2.09,10.81,13.61,19.19,44.0,28.0,72.0
