name,team,gp,toi,g,a,firsta,points,shots,ifenwick,icorsi,shpct,g_60,a_60,firsta_60,points_60,shots_60,ifenwick_60,icorsi_60,igp,iap,ipp
"RYCHEL, KERBY",Columbus,5,52:49,0,3,3,3,4,7,10,0.00,0.00,3.41,3.41,3.41,4.54,7.95,11.36,0.0,100.0,100.0
"BENN, JAMIE",Dallas,163,2227:19,46,61,32,107,367,523,679,12.53,1.24,1.64,0.86,2.88,9.89,14.09,18.29,33.1,43.9,77.0
"GETZLAF, RYAN",Anaheim,154,2180:41,40,64,41,104,258,365,458,15.50,1.10,1.76,1.13,2.86,7.10,10.04,12.60,31.7,50.8,82.5
"PERRY, COREY",Anaheim,148,2086:20,53,42,29,95,332,465,594,15.96,1.52,1.21,0.83,2.73,9.55,13.37,17.08,43.1,34.1,77.2
"CORMIER, PATRICE",Winnipeg,10,66:02,0,3,1,3,4,4,8,0.00,0.00,2.73,0.91,2.73,3.63,3.63,7.27,0.0,150.0,150.0
"SEGUIN, TYLER",Dallas,151,2169:40,45,53,42,98,361,488,606,12.47,1.24,1.47,1.16,2.71,9.98,13.50,16.76,36.0,42.4,78.4
"DANO, MARKO",Columbus,35,446:11,8,12,7,20,80,98,123,10.00,1.08,1.61,0.94,2.69,10.76,13.18,16.54,33.3,50.0,83.3
"TARASENKO, VLADIMIR",St. Louis,141,1868:58,38,44,26,82,299,454,611,12.71,1.22,1.41,0.83,2.63,9.60,14.57,19.62,36.2,41.9,78.1
"BISSONNETTE, PAUL",Arizona,39,184:48,2,6,3,8,25,33,38,8.00,0.65,1.95,0.97,2.60,8.12,10.71,12.34,20.0,60.0,80.0
"PALAT, ONDREJ",Tampa Bay,156,2028:16,24,60,35,84,234,329,433,10.26,0.71,1.77,1.04,2.48,6.92,9.73,12.81,20.5,51.3,71.8
"MALKIN, EVGENI",Pittsburgh,129,1842:03,32,44,27,76,223,310,395,14.35,1.04,1.43,0.88,2.48,7.26,10.10,12.87,33.3,45.8,79.2
"PASTRNAK, DAVID",Boston,46,534:49,7,15,7,22,76,111,144,9.21,0.79,1.68,0.79,2.47,8.53,12.45,16.16,25.9,55.6,81.5
"CROSBY, SIDNEY",Pittsburgh,157,2408:36,36,63,41,99,330,448,538,10.91,0.90,1.57,1.02,2.47,8.22,11.16,13.40,29.8,52.1,81.8
"HALL, TAYLOR",Edmonton,128,1958:52,23,56,30,79,270,364,494,8.52,0.70,1.72,0.92,2.42,8.27,11.15,15.13,25.6,62.2,87.8
"STONE, MARK",Ottawa,99,1243:58,21,29,18,50,141,206,247,14.89,1.01,1.40,0.87,2.41,6.80,9.94,11.91,32.8,45.3,78.1
"DUCHENE, MATT",Colorado,153,2233:06,31,58,36,89,319,439,552,9.72,0.83,1.56,0.97,2.39,8.57,11.80,14.83,27.9,52.3,80.2
"NASH, RICK",NY Rangers,144,1857:27,47,27,20,74,417,535,673,11.27,1.52,0.87,0.65,2.39,13.47,17.28,21.74,49.0,28.1,77.1
"OKPOSO, KYLE",NY Islanders,131,1984:41,30,48,28,78,270,372,500,11.11,0.91,1.45,0.85,2.36,8.16,11.25,15.12,30.6,49.0,79.6
"MOUILLIERAT, KAEL",NY Islanders,6,51:15,1,1,0,2,1,3,4,100.00,1.17,1.17,0.00,2.34,1.17,3.51,4.68,50.0,50.0,100.0
"HAYES, KEVIN",NY Rangers,79,925:41,14,22,21,36,98,126,159,14.29,0.91,1.43,1.36,2.33,6.35,8.17,10.31,33.3,52.4,85.7
"JOHNSON, TYLER",Tampa Bay,159,2062:47,31,49,30,80,297,395,504,10.44,0.90,1.43,0.87,2.33,8.64,11.49,14.66,27.4,43.4,70.8
"STAMKOS, STEVEN",Tampa Bay,119,1711:44,39,26,21,65,239,350,445,16.32,1.37,0.91,0.74,2.28,8.38,12.27,15.60,44.8,29.9,74.7
"VANEK, THOMAS",Minnesota,158,2142:24,32,49,34,81,270,361,474,11.85,0.90,1.37,0.95,2.27,7.56,10.11,13.27,30.8,47.1,77.9
"KANE, PATRICK",Chicago,130,1964:53,37,37,28,74,288,390,510,12.85,1.13,1.13,0.85,2.26,8.79,11.91,15.57,38.1,38.1,76.3
"TOEWS, JONATHAN",Chicago,157,2239:13,35,49,32,84,253,319,380,13.83,0.94,1.31,0.86,2.25,6.78,8.55,10.18,29.4,41.2,70.6
"TOFFOLI, TYLER",Los Angeles,138,1560:18,23,35,21,58,263,368,474,8.75,0.88,1.35,0.81,2.23,10.11,14.15,18.23,28.8,43.8,72.5
"PERREAULT, MATHIEU",Winnipeg,131,1535:31,23,34,23,57,173,232,297,13.29,0.90,1.33,0.90,2.23,6.76,9.07,11.61,31.9,47.2,79.2
"TAVARES, JOHN",NY Islanders,141,2210:58,36,46,34,82,302,414,546,11.92,0.98,1.25,0.92,2.23,8.20,11.23,14.82,32.1,41.1,73.2
"HUDLER, JIRI",Calgary,153,2157:05,30,50,32,80,181,263,320,16.57,0.83,1.39,0.89,2.23,5.03,7.32,8.90,30.6,51.0,81.6
"SCHWARTZ, JADEN",St. Louis,155,2112:01,31,47,31,78,277,358,454,11.19,0.88,1.34,0.88,2.22,7.87,10.17,12.90,31.3,47.5,78.8
"OSHIE, TJ",St. Louis,151,2114:25,25,52,34,77,224,322,403,11.16,0.71,1.48,0.96,2.19,6.36,9.14,11.44,23.8,49.5,73.3
"ZUCCARELLO, MATS",NY Rangers,155,2121:40,29,48,34,77,245,329,424,11.84,0.82,1.36,0.96,2.18,6.93,9.30,11.99,28.4,47.1,75.5
"KUCHEROV, NIKITA",Tampa Bay,134,1583:17,29,28,19,57,231,325,400,12.55,1.10,1.06,0.72,2.16,8.75,12.32,15.16,32.6,31.5,64.0
"STEEN, ALEXANDER",St. Louis,142,1972:28,37,34,23,71,280,405,521,13.21,1.13,1.03,0.70,2.16,8.52,12.32,15.85,38.1,35.1,73.2
"CARTER, JEFF",Los Angeles,154,1985:08,29,42,25,71,337,486,615,8.61,0.88,1.27,0.76,2.15,10.19,14.69,18.59,31.9,46.2,78.0
"FOLIGNO, NICK",Columbus,149,2049:31,33,40,19,73,225,292,351,14.67,0.97,1.17,0.56,2.14,6.59,8.55,10.28,32.0,38.8,70.9
"LANDESKOG, GABRIEL",Colorado,163,2391:49,31,54,43,85,326,432,561,9.51,0.78,1.35,1.08,2.13,8.18,10.84,14.07,26.7,46.6,73.3
"SHARP, PATRICK",Chicago,150,2116:00,29,46,26,75,382,498,658,7.59,0.82,1.30,0.74,2.13,10.83,14.12,18.66,27.1,43.0,70.1
"PACIORETTY, MAX",Montreal,153,2117:16,45,30,17,75,405,558,734,11.11,1.28,0.85,0.48,2.13,11.48,15.81,20.80,45.9,30.6,76.5
"STROME, RYAN",NY Islanders,118,1388:34,17,32,23,49,206,254,320,8.25,0.73,1.38,0.99,2.12,8.90,10.98,13.83,22.4,42.1,64.5
"THORNTON, JOE",San Jose,160,2211:05,14,64,40,78,167,237,314,8.38,0.38,1.74,1.09,2.12,4.53,6.43,8.52,13.6,62.1,75.7
"HOFFMAN, MIKE",Ottawa,104,1194:30,24,18,13,42,201,267,377,11.94,1.21,0.90,0.65,2.11,10.10,13.41,18.94,42.1,31.6,73.7
"BERGERON, PATRICE",Boston,161,2107:16,35,39,24,74,344,467,607,10.17,1.00,1.11,0.68,2.11,9.79,13.30,17.28,36.1,40.2,76.3
"MOSER, SIMON",Nashville,6,57:04,1,1,1,2,7,9,11,14.29,1.05,1.05,1.05,2.10,7.36,9.46,11.57,50.0,50.0,100.0
"HORNQVIST, PATRIC",Pittsburgh,140,1887:28,30,36,23,66,348,469,585,8.62,0.95,1.14,0.73,2.10,11.06,14.91,18.60,30.0,36.0,66.0
"TANGUAY, ALEX",Colorado,96,1260:34,20,24,11,44,83,100,130,24.10,0.95,1.14,0.52,2.09,3.95,4.76,6.19,33.3,40.0,73.3
"WHEELER, BLAKE",Winnipeg,161,2210:58,30,47,33,77,344,477,596,8.72,0.81,1.28,0.90,2.09,9.34,12.94,16.17,30.6,48.0,78.6
"DUPUIS, PASCAL",Pittsburgh,55,775:51,11,16,12,27,123,161,198,8.94,0.85,1.24,0.93,2.09,9.51,12.45,15.31,28.2,41.0,69.2
"BACKES, DAVID",St. Louis,154,2129:12,27,47,23,74,256,356,421,10.55,0.76,1.32,0.65,2.09,7.21,10.03,11.86,26.5,46.1,72.5
"DUBINSKY, BRANDON",Columbus,123,1588:54,19,36,22,55,200,266,346,9.50,0.72,1.36,0.83,2.08,7.55,10.04,13.07,26.0,49.3,75.3
