name,team,gp,toi,g,a,firsta,points,shots,ifenwick,icorsi,shpct,g_60,a_60,firsta_60,points_60,shots_60,ifenwick_60,icorsi_60,igp,iap,ipp
"MACHACEK, SPENCER",Winnipeg,13,96:42,2,7,4,9,12,16,24,16.67,1.24,4.34,2.48,5.58,7.45,9.93,14.89,20.0,70.0,90.0
"MAXWELL, BEN",Winnipeg,15,94:14,1,5,4,6,10,11,14,10.00,0.64,3.18,2.55,3.82,6.37,7.00,8.91,16.7,83.3,100.0
"CROSBY, SIDNEY",Pittsburgh,138,2114:12,37,79,54,116,298,396,488,12.42,1.05,2.24,1.53,3.29,8.46,11.24,13.85,25.3,54.1,79.5
"JARNKROK, CALLE",Nashville,12,146:41,2,6,3,8,12,15,21,16.67,0.82,2.45,1.23,3.27,4.91,6.14,8.59,18.2,54.5,72.7
"MORIN, JEREMY",Chicago,30,273:38,6,7,6,13,52,68,86,11.54,1.32,1.53,1.32,2.85,11.40,14.91,18.86,37.5,43.8,81.2
"MALKIN, EVGENI",Pittsburgh,166,2454:51,50,66,49,116,359,473,592,13.93,1.22,1.61,1.20,2.84,8.77,11.56,14.47,35.0,46.2,81.1
"HALL, TAYLOR",Edmonton,181,2665:56,41,76,47,117,428,574,754,9.58,0.92,1.71,1.06,2.63,9.63,12.92,16.97,31.5,58.5,90.0
"BENN, JAMIE",Dallas,193,2721:20,54,65,29,119,440,621,803,12.27,1.19,1.43,0.64,2.62,9.70,13.69,17.70,35.8,43.0,78.8
"TOEWS, JONATHAN",Chicago,182,2653:16,56,59,35,115,387,476,568,14.47,1.27,1.33,0.79,2.60,8.75,10.76,12.84,35.4,37.3,72.8
"STAMKOS, STEVEN",Tampa Bay,167,2682:14,69,47,31,116,370,516,664,18.65,1.54,1.05,0.69,2.59,8.28,11.54,14.85,46.3,31.5,77.9
"DUPUIS, PASCAL",Pittsburgh,169,2370:37,42,59,32,101,387,535,690,10.85,1.06,1.49,0.81,2.56,9.79,13.54,17.46,30.7,43.1,73.7
"SEGUIN, TYLER",Dallas,209,2945:20,56,69,42,125,519,705,885,10.79,1.14,1.41,0.86,2.55,10.57,14.36,18.03,32.2,39.7,71.8
"HERTL, TOMAS",San Jose,37,472:03,10,10,5,20,74,100,129,13.51,1.27,1.27,0.64,2.54,9.41,12.71,16.40,38.5,38.5,76.9
"ALIU, AKIM",Calgary,7,71:55,2,1,0,3,5,6,9,40.00,1.67,0.83,0.00,2.50,4.17,5.01,7.51,66.7,33.3,100.0
"LEE, ANDERS",NY Islanders,24,293:21,7,5,3,12,52,69,79,13.46,1.43,1.02,0.61,2.45,10.64,14.11,16.16,50.0,35.7,85.7
"VANEK, THOMAS",Montreal,194,2671:44,41,66,44,107,360,474,620,11.39,0.92,1.48,0.99,2.40,8.08,10.64,13.92,29.5,47.5,77.0
"KESSEL, PHIL",Toronto,212,3372:53,63,72,48,135,550,739,1006,11.45,1.12,1.28,0.85,2.40,9.78,13.15,17.90,36.8,42.1,78.9
"EBERLE, JORDAN",Edmonton,206,2950:37,51,67,45,118,368,497,633,13.86,1.04,1.36,0.92,2.40,7.48,10.11,12.87,34.7,45.6,80.3
"KUNITZ, CHRIS",Pittsburgh,208,2912:25,52,64,35,116,396,543,692,13.13,1.07,1.32,0.72,2.39,8.16,11.19,14.26,28.6,35.2,63.7
"SPEZZA, JASON",Ottawa,160,2279:26,32,58,43,90,313,455,578,10.22,0.84,1.53,1.13,2.37,8.24,11.98,15.21,28.1,50.9,78.9
"NYQUIST, GUSTAV",Detroit,97,1144:39,25,20,14,45,167,238,290,14.97,1.31,1.05,0.73,2.36,8.75,12.48,15.20,47.2,37.7,84.9
"MARCHAND, BRAD",Boston,203,2725:54,45,62,37,107,319,426,542,14.11,0.99,1.36,0.81,2.36,7.02,9.38,11.93,31.7,43.7,75.4
"NEAL, JAMES",Pittsburgh,179,2454:52,47,49,27,96,454,619,846,10.35,1.15,1.20,0.66,2.35,11.10,15.13,20.68,33.8,35.3,69.1
"RADULOV, ALEXANDER",Nashville,9,153:33,3,3,2,6,20,26,32,15.00,1.17,1.17,0.78,2.34,7.82,10.16,12.50,33.3,33.3,66.7
"PACIORETTY, MAX",Montreal,196,2665:41,58,46,30,104,526,721,903,11.03,1.31,1.04,0.68,2.34,11.84,16.23,20.32,42.3,33.6,75.9
"PERREAULT, MATHIEU",Anaheim,172,1848:47,31,41,28,72,176,252,337,17.61,1.01,1.33,0.91,2.34,5.71,8.18,10.94,31.3,41.4,72.7
"SHARP, PATRICK",Chicago,184,2672:20,49,55,32,104,488,637,835,10.04,1.10,1.23,0.72,2.33,10.96,14.30,18.75,32.9,36.9,69.8
