name,team,gp,toi,g,a,firsta,points,shots,ifenwick,icorsi,shpct,g_60,a_60,firsta_60,points_60,shots_60,ifenwick_60,icorsi_60,igp,iap,ipp
"HUDON, CHARLES",Montreal,6,63:32,0,4,2,4,5,8,8,0.00,0.00,3.78,1.89,3.78,4.72,7.56,7.56,0.0,100.0,100.0
"GUENTZEL, JAKE",Pittsburgh,40,562:14,15,12,9,27,71,93,117,21.13,1.60,1.28,0.96,2.88,7.58,9.92,12.49,40.5,32.4,73.0
"MCDAVID, CONNOR",Edmonton,127,1934:51,33,58,38,91,264,346,407,12.50,1.02,1.80,1.18,2.82,8.19,10.73,12.62,29.5,51.8,81.2
"ERIKSSON_EK, JOEL",Minnesota,15,149:47,3,4,2,7,15,22,25,20.00,1.20,1.60,0.80,2.80,6.01,8.81,10.01,42.9,57.1,100.0
"BJORKSTRAND, OLIVER",Columbus,38,477:09,10,11,6,21,72,85,113,13.89,1.26,1.38,0.75,2.64,9.05,10.69,14.21,38.5,42.3,80.8
"SHEARY, CONOR",Pittsburgh,105,1226:04,23,29,12,52,175,227,288,13.14,1.13,1.42,0.59,2.54,8.56,11.11,14.09,34.3,43.3,77.6
"CROSBY, SIDNEY",Pittsburgh,232,3463:21,60,86,56,146,491,662,835,12.22,1.04,1.49,0.97,2.53,8.51,11.47,14.47,33.9,48.6,82.5
"TARASENKO, VLADIMIR",St. Louis,239,3368:18,70,66,34,136,603,826,1134,11.61,1.25,1.18,0.61,2.42,10.74,14.71,20.20,41.7,39.3,81.0
"MCDONALD, COLIN",Philadelphia,26,252:24,4,6,4,10,37,50,59,10.81,0.95,1.43,0.95,2.38,8.80,11.89,14.03,40.0,60.0,100.0
"KANE, PATRICK",Chicago,225,3584:55,67,75,49,142,511,666,854,13.11,1.12,1.26,0.82,2.38,8.55,11.15,14.29,38.1,42.6,80.7
"MALKIN, EVGENI",Pittsburgh,188,2657:23,50,55,37,105,327,451,572,15.29,1.13,1.24,0.84,2.37,7.38,10.18,12.91,37.9,41.7,79.5
"LAINE, PATRIK",Winnipeg,73,1031:27,21,19,9,40,130,183,225,16.15,1.22,1.11,0.52,2.33,7.56,10.65,13.09,35.6,32.2,67.8
"BENN, JAMIE",Dallas,241,3341:01,48,80,44,128,455,633,842,10.55,0.86,1.44,0.79,2.30,8.17,11.37,15.12,30.0,50.0,80.0
"HUDLER, JIRI",Dallas,182,2281:23,31,56,38,87,188,274,348,16.49,0.82,1.47,1.00,2.29,4.94,7.21,9.15,28.7,51.9,80.6
"HUBERDEAU, JONATHAN",Florida,186,2563:54,31,65,39,96,324,404,504,9.57,0.73,1.52,0.91,2.25,7.58,9.45,11.79,24.2,50.8,75.0
"ROBINSON, BUDDY",Ottawa,7,53:26,1,1,0,2,9,10,12,11.11,1.12,1.12,0.00,2.25,10.11,11.23,13.47,33.3,33.3,66.7
"KUCHEROV, NIKITA",Tampa Bay,233,3154:30,56,62,38,118,424,585,776,13.21,1.07,1.18,0.72,2.24,8.06,11.13,14.76,32.6,36.0,68.6
"PALAT, ONDREJ",Tampa Bay,212,2766:03,32,71,38,103,318,437,592,10.06,0.69,1.54,0.82,2.23,6.90,9.48,12.84,22.1,49.0,71.0
"BARBASHEV, IVAN",St. Louis,30,323:04,5,7,4,12,19,29,38,26.32,0.93,1.30,0.74,2.23,3.53,5.39,7.06,35.7,50.0,85.7
"HOFFMAN, MIKE",Ottawa,231,3003:00,52,59,41,111,439,594,826,11.85,1.04,1.18,0.82,2.22,8.77,11.87,16.50,33.8,38.3,72.1
"PASTRNAK, DAVID",Boston,172,2273:41,39,44,26,83,345,473,614,11.30,1.03,1.16,0.69,2.19,9.10,12.48,16.20,35.8,40.4,76.1
"SEGUIN, TYLER",Dallas,225,3266:48,56,63,45,119,531,727,937,10.55,1.03,1.16,0.83,2.19,9.75,13.35,17.21,34.4,38.7,73.0
"NASH, RICK",NY Rangers,206,2596:23,50,44,30,94,500,669,855,10.00,1.16,1.02,0.69,2.17,11.55,15.46,19.76,38.2,33.6,71.8
"SCHEIFELE, MARK",Winnipeg,232,3429:33,45,79,45,124,369,515,640,12.20,0.79,1.38,0.79,2.17,6.46,9.01,11.20,25.4,44.6,70.1
"PACIORETTY, MAX",Montreal,243,3396:00,61,61,34,122,647,882,1151,9.43,1.08,1.08,0.60,2.16,11.43,15.58,20.34,39.6,39.6,79.2
"HARTNELL, SCOTT",Columbus,234,2895:09,38,66,43,104,361,460,570,10.53,0.79,1.37,0.89,2.16,7.48,9.53,11.81,27.0,46.8,73.8
"FISCHER, CHRISTIAN",Arizona,7,83:33,3,0,0,3,10,12,15,30.00,2.15,0.00,0.00,2.15,7.18,8.62,10.77,100.0,0.0,100.0
"GETZLAF, RYAN",Anaheim,228,3300:40,27,91,58,118,327,499,652,8.26,0.49,1.65,1.05,2.15,5.94,9.07,11.85,18.9,63.6,82.5
"CARPENTER, RYAN",San Jose,12,112:01,2,2,2,4,18,20,21,11.11,1.07,1.07,1.07,2.14,9.64,10.71,11.25,33.3,33.3,66.7
"WHEELER, BLAKE",Winnipeg,243,3402:00,46,75,56,121,545,743,912,8.44,0.81,1.32,0.99,2.13,9.61,13.10,16.08,28.9,47.2,76.1
