name,team,gp,toi,g,a,firsta,points,shots,ifenwick,icorsi,shpct,g_60,a_60,firsta_60,points_60,shots_60,ifenwick_60,icorsi_60,igp,iap,ipp
"CHIASSON, ALEX",Dallas,7,86:57,5,1,1,6,10,13,17,50.00,3.45,0.69,0.69,4.14,6.90,8.97,11.73,83.3,16.7,100.0
"CROSBY, SIDNEY",Pittsburgh,257,3723:17,90,128,86,218,573,755,914,15.71,1.45,2.06,1.39,3.51,9.23,12.17,14.73,35.2,50.0,85.2
"GALLAGHER, BRENDAN",Montreal,44,496:52,12,12,8,24,99,124,176,12.12,1.45,1.45,0.97,2.90,11.95,14.97,21.25,34.3,34.3,68.6
"MACHACEK, SPENCER",Winnipeg,25,188:35,2,7,4,9,20,25,36,10.00,0.64,2.23,1.27,2.86,6.36,7.95,11.45,20.0,70.0,90.0
"GALCHENYUK, ALEX",Montreal,48,526:09,9,16,12,25,66,95,120,13.64,1.03,1.82,1.37,2.85,7.53,10.83,13.68,28.1,50.0,78.1
"SEDIN, HENRIK",Vancouver,375,5314:19,55,194,111,249,459,568,724,11.98,0.62,2.19,1.25,2.81,5.18,6.41,8.17,17.9,63.0,80.8
"SEDIN, DANIEL",Vancouver,345,4796:31,84,140,91,224,776,1060,1349,10.82,1.05,1.75,1.14,2.80,9.71,13.26,16.87,30.4,50.7,81.2
"WILLIAMS, JEREMY",NY Rangers,12,129:12,5,1,1,6,21,25,32,23.81,2.32,0.46,0.46,2.79,9.75,11.61,14.86,71.4,14.3,85.7
"MALKIN, EVGENI",Pittsburgh,298,4317:16,67,126,85,193,646,873,1115,10.37,0.93,1.75,1.18,2.68,8.98,12.13,15.50,28.0,52.7,80.8
"HARJU, JOHAN",Tampa Bay,10,68:13,1,2,2,3,13,16,20,7.69,0.88,1.76,1.76,2.64,11.43,14.07,17.59,25.0,50.0,75.0
"SEMIN, ALEXANDER",Carolina,320,4404:47,94,99,69,193,763,1118,1546,12.32,1.28,1.35,0.94,2.63,10.39,15.23,21.06,36.3,38.2,74.5
"CONACHER, CORY",Ottawa,47,543:57,9,14,7,23,61,72,98,14.75,0.99,1.54,0.77,2.54,6.73,7.94,10.81,30.0,46.7,76.7
"JOHNSON, TYLER",Tampa Bay,14,143:05,3,3,2,6,8,16,20,37.50,1.26,1.26,0.84,2.52,3.35,6.71,8.39,42.9,42.9,85.7
"ROUSSEL, ANTOINE",Dallas,39,334:41,7,7,4,14,45,58,66,15.56,1.25,1.25,0.72,2.51,8.07,10.40,11.83,41.2,41.2,82.4
"ALIU, AKIM",Calgary,7,71:55,2,1,0,3,5,6,9,40.00,1.67,0.83,0.00,2.50,4.17,5.01,7.51,66.7,33.3,100.0
