name,team,gp,toi,g,a,firsta,points,shots,ifenwick,icorsi,shpct,g_60,a_60,firsta_60,points_60,shots_60,ifenwick_60,icorsi_60,igp,iap,ipp
"FORSBERG, PETER",Colorado,11,161:04,1,8,4,9,16,19,24,6.25,0.37,2.98,1.49,3.35,5.96,7.08,8.94,11.1,88.9,100.0
"JARNKROK, CALLE",Nashville,12,146:41,2,6,3,8,12,15,21,16.67,0.82,2.45,1.23,3.27,4.91,6.14,8.59,18.2,54.5,72.7
"CROSBY, SIDNEY",Pittsburgh,390,5727:48,127,185,126,312,864,1142,1383,14.70,1.33,1.94,1.32,3.27,9.05,11.96,14.49,34.5,50.3,84.8
"MACHACEK, SPENCER",Winnipeg,25,188:35,2,7,4,9,20,25,36,10.00,0.64,2.23,1.27,2.86,6.36,7.95,11.45,20.0,70.0,90.0
"RADULOV, ALEXANDER",Nashville,90,1175:46,23,32,21,55,157,200,244,14.65,1.17,1.63,1.07,2.81,8.01,10.21,12.45,32.9,45.7,78.6
"MALKIN, EVGENI",Pittsburgh,440,6354:05,106,181,123,287,903,1206,1539,11.74,1.00,1.71,1.16,2.71,8.53,11.39,14.53,29.9,51.1,81.1
"HARJU, JOHAN",Tampa Bay,10,68:13,1,2,2,3,13,16,20,7.69,0.88,1.76,1.76,2.64,11.43,14.07,17.59,25.0,50.0,75.0
"SEDIN, HENRIK",Vancouver,527,7431:20,71,247,141,318,614,784,992,11.56,0.57,1.99,1.14,2.57,4.96,6.33,8.01,17.9,62.2,80.1
"HERTL, TOMAS",San Jose,37,472:03,10,10,5,20,74,100,129,13.51,1.27,1.27,0.64,2.54,9.41,12.71,16.40,38.5,38.5,76.9
"ALIU, AKIM",Calgary,7,71:55,2,1,0,3,5,6,9,40.00,1.67,0.83,0.00,2.50,4.17,5.01,7.51,66.7,33.3,100.0
"SEDIN, DANIEL",Vancouver,500,6942:02,110,178,116,288,1093,1471,1858,10.06,0.95,1.54,1.00,2.49,9.45,12.71,16.06,30.6,49.4,80.0
"MORIN, JEREMY",Chicago,39,362:38,8,7,6,15,63,82,102,12.70,1.32,1.16,0.99,2.48,10.42,13.57,16.88,38.1,33.3,71.4
"LEE, ANDERS",NY Islanders,24,293:21,7,5,3,12,52,69,79,13.46,1.43,1.02,0.61,2.45,10.64,14.11,16.16,50.0,35.7,85.7
"BENN, JAMIE",Dallas,343,4621:42,86,103,46,189,707,986,1280,12.16,1.12,1.34,0.60,2.45,9.18,12.80,16.62,37.1,44.4,81.5
"FOY, MATT",Minnesota,28,197:37,4,4,3,8,34,42,50,11.76,1.21,1.21,0.91,2.43,10.32,12.75,15.18,44.4,44.4,88.9
"STAMKOS, STEVEN",Tampa Bay,409,5822:55,125,108,68,233,807,1123,1461,15.49,1.29,1.11,0.70,2.40,8.32,11.57,15.05,41.3,35.6,76.9
"GABORIK, MARIAN",Los Angeles,401,5745:20,113,114,79,227,905,1183,1455,12.49,1.18,1.19,0.82,2.37,9.45,12.35,15.19,39.4,39.7,79.1
"SEMIN, ALEXANDER",Carolina,447,6113:30,122,119,82,241,1029,1537,2116,11.86,1.20,1.17,0.80,2.37,10.10,15.08,20.77,37.1,36.2,73.3
