name,team,gp,toi,g,a,firsta,points,shots,ifenwick,icorsi,shpct,g_60,a_60,firsta_60,points_60,shots_60,ifenwick_60,icorsi_60,igp,iap,ipp
"JARNKROK, CALLE",Nashville,12,146:41,2,6,3,8,12,15,21,16.67,0.82,2.45,1.23,3.27,4.91,6.14,8.59,18.2,54.5,72.7
"CROSBY, SIDNEY",Pittsburgh,337,4996:25,110,162,109,272,742,983,1192,14.82,1.32,1.95,1.31,3.27,8.91,11.80,14.31,34.0,50.0,84.0
"MACHACEK, SPENCER",Winnipeg,25,188:35,2,7,4,9,20,25,36,10.00,0.64,2.23,1.27,2.86,6.36,7.95,11.45,20.0,70.0,90.0
"WILLIAMS, JEREMY",NY Rangers,12,129:12,5,1,1,6,21,25,32,23.81,2.32,0.46,0.46,2.79,9.75,11.61,14.86,71.4,14.3,85.7
"MALKIN, EVGENI",Pittsburgh,358,5181:06,82,148,101,230,741,998,1277,11.07,0.95,1.71,1.17,2.66,8.58,11.56,14.79,28.6,51.6,80.1
"SEDIN, HENRIK",Vancouver,445,6353:04,62,219,123,281,528,664,846,11.74,0.59,2.07,1.16,2.65,4.99,6.27,7.99,17.7,62.4,80.1
"HARJU, JOHAN",Tampa Bay,10,68:13,1,2,2,3,13,16,20,7.69,0.88,1.76,1.76,2.64,11.43,14.07,17.59,25.0,50.0,75.0
"SEDIN, DANIEL",Vancouver,418,5877:44,95,158,105,253,933,1265,1597,10.18,0.97,1.61,1.07,2.58,9.52,12.91,16.30,29.8,49.5,79.3
"HERTL, TOMAS",San Jose,37,472:03,10,10,5,20,74,100,129,13.51,1.27,1.27,0.64,2.54,9.41,12.71,16.40,38.5,38.5,76.9
"ALIU, AKIM",Calgary,7,71:55,2,1,0,3,5,6,9,40.00,1.67,0.83,0.00,2.50,4.17,5.01,7.51,66.7,33.3,100.0
"MORIN, JEREMY",Chicago,39,362:38,8,7,6,15,63,82,102,12.70,1.32,1.16,0.99,2.48,10.42,13.57,16.88,38.1,33.3,71.4
"LEE, ANDERS",NY Islanders,24,293:21,7,5,3,12,52,69,79,13.46,1.43,1.02,0.61,2.45,10.64,14.11,16.16,50.0,35.7,85.7
