name,team,gp,toi,g,a,firsta,points,shots,ifenwick,icorsi,shpct,g_60,a_60,firsta_60,points_60,shots_60,ifenwick_60,icorsi_60,igp,iap,ipp
"VAN_DER_GULIK, DAVID",Colorado,12,81:53,1,4,3,5,23,27,28,4.35,0.73,2.93,2.20,3.66,16.85,19.78,20.52,16.7,66.7,83.3
"CROSBY, SIDNEY",Pittsburgh,199,2882:13,73,83,55,156,444,587,704,16.44,1.52,1.73,1.15,3.25,9.24,12.22,14.66,41.0,46.6,87.6
"SEDIN, DANIEL",Vancouver,226,3101:04,61,101,68,162,511,708,901,11.94,1.18,1.95,1.32,3.13,9.89,13.70,17.43,31.1,51.5,82.7
"SEDIN, HENRIK",Vancouver,245,3452:48,42,133,79,175,332,406,507,12.65,0.73,2.31,1.37,3.04,5.77,7.06,8.81,19.9,63.0,82.9
"GEOFFRION, BLAKE",Nashville,20,162:33,6,2,0,8,24,26,35,25.00,2.21,0.74,0.00,2.95,8.86,9.60,12.92,66.7,22.2,88.9
"PELECH, MATT",Calgary,5,61:11,0,3,0,3,3,5,10,0.00,0.00,2.94,0.00,2.94,2.94,4.90,9.81,0.0,75.0,75.0
"OLVER, MARK",Colorado,18,186:24,2,7,4,9,22,25,33,9.09,0.64,2.25,1.29,2.90,7.08,8.05,10.62,22.2,77.8,100.0
"JOHNSON, NICK",Pittsburgh,10,105:31,2,3,2,5,15,18,21,13.33,1.14,1.71,1.14,2.84,8.53,10.24,11.94,33.3,50.0,83.3
"SEMIN, ALEXANDER",Washington,199,2666:11,70,54,39,124,506,731,1001,13.83,1.58,1.22,0.88,2.79,11.39,16.45,22.53,42.9,33.1,76.1
"WILLIAMS, JEREMY",NY Rangers,12,129:12,5,1,1,6,21,25,32,23.81,2.32,0.46,0.46,2.79,9.75,11.61,14.86,71.4,14.3,85.7
"OVECHKIN, ALEX",Washington,229,3579:13,74,86,61,160,781,1104,1617,9.47,1.24,1.44,1.02,2.68,13.09,18.51,27.11,37.2,43.2,80.4
"GABORIK, MARIAN",NY Rangers,155,2255:33,49,51,35,100,359,469,589,13.65,1.30,1.36,0.93,2.66,9.55,12.48,15.67,41.5,43.2,84.7
"HARJU, JOHAN",Tampa Bay,10,68:13,1,2,2,3,13,16,20,7.69,0.88,1.76,1.76,2.64,11.43,14.07,17.59,25.0,50.0,75.0
"WILSON, KYLE",Columbus,34,306:20,4,9,5,13,32,44,60,12.50,0.78,1.76,0.98,2.55,6.27,8.62,11.75,25.0,56.2,81.2
"MALKIN, EVGENI",Pittsburgh,192,2726:15,32,82,52,114,382,525,685,8.38,0.70,1.80,1.14,2.51,8.41,11.55,15.08,22.2,56.9,79.2
"AUCOIN, KEITH",Washington,22,192:46,2,6,1,8,15,18,26,13.33,0.62,1.87,0.31,2.49,4.67,5.60,8.09,18.2,54.5,72.7
"ST._LOUIS, MARTIN",Tampa Bay,245,3522:23,57,87,45,144,503,706,840,11.33,0.97,1.48,0.77,2.45,8.57,12.03,14.31,31.8,48.6,80.4
"SKINNER, JEFF",Carolina,81,1033:14,23,19,8,42,151,222,298,15.23,1.34,1.10,0.46,2.44,8.77,12.89,17.30,43.4,35.8,79.2
"PARISE, ZACH",New Jersey,175,2512:47,49,52,26,101,530,697,802,9.25,1.17,1.24,0.62,2.41,12.66,16.64,19.15,39.2,41.6,80.8
"DATSYUK, PAVEL",Detroit,216,3088:42,49,75,46,124,403,550,738,12.16,0.95,1.46,0.89,2.41,7.83,10.68,14.34,29.5,45.2,74.7
"KREJCI, DAVID",Boston,236,3101:04,35,89,58,124,326,421,522,10.74,0.68,1.72,1.12,2.40,6.31,8.15,10.10,22.3,56.7,79.0
"LALIBERTE, DAVID",Philadelphia,11,76:12,2,1,1,3,8,13,16,25.00,1.57,0.79,0.79,2.36,6.30,10.24,12.60,50.0,25.0,75.0
"BURROWS, ALEX",Vancouver,235,3048:30,61,59,25,120,434,585,718,14.06,1.20,1.16,0.49,2.36,8.54,11.51,14.13,37.0,35.8,72.7
"KANA, TOMAS",Columbus,6,50:56,0,2,1,2,3,4,6,0.00,0.00,2.36,1.18,2.36,3.53,4.71,7.07,0.0,100.0,100.0
"IGGULDEN, MIKE",NY Islanders,11,127:24,1,4,3,5,16,25,32,6.25,0.47,1.88,1.41,2.35,7.54,11.77,15.07,16.7,66.7,83.3
"HOSSA, MARIAN",Chicago,195,2627:06,51,52,29,103,480,632,787,10.62,1.16,1.19,0.66,2.35,10.96,14.43,17.97,37.8,38.5,76.3
"PARSE, SCOTT",Los Angeles,64,664:39,10,16,10,26,80,101,127,12.50,0.90,1.44,0.90,2.35,7.22,9.12,11.46,27.0,43.2,70.3
"BRIERE, DANIEL",Philadelphia,181,2382:28,46,47,28,93,348,440,556,13.22,1.16,1.18,0.71,2.34,8.76,11.08,14.00,37.1,37.9,75.0
"RICHARDS, BRAD",Dallas,207,2933:29,39,75,49,114,390,562,713,10.00,0.80,1.53,1.00,2.33,7.98,11.49,14.58,27.5,52.8,80.3
"PERRY, COREY",Anaheim,242,3710:12,64,80,53,144,600,814,973,10.67,1.03,1.29,0.86,2.33,9.70,13.16,15.73,33.7,42.1,75.8
"CALVERT, MATT",Columbus,42,412:42,8,8,5,16,39,52,65,20.51,1.16,1.16,0.73,2.33,5.67,7.56,9.45,38.1,38.1,76.2
"VANEK, THOMAS",Buffalo,224,2770:47,51,56,34,107,382,550,670,13.35,1.10,1.21,0.74,2.32,8.27,11.91,14.51,35.9,39.4,75.4
"GETZLAF, RYAN",Anaheim,214,3352:12,34,95,57,129,291,432,530,11.68,0.61,1.70,1.02,2.31,5.21,7.73,9.49,20.0,55.9,75.9
"KANE, PATRICK",Chicago,235,3388:04,51,79,43,130,522,676,851,9.77,0.90,1.40,0.76,2.30,9.24,11.97,15.07,31.1,48.2,79.3
"GREENING, COLIN",Ottawa,24,314:43,6,6,3,12,53,68,82,11.32,1.14,1.14,0.57,2.29,10.10,12.96,15.63,37.5,37.5,75.0
