name,team,gp,toi,g,a,firsta,points,shots,ifenwick,icorsi,shpct,g_60,a_60,firsta_60,points_60,shots_60,ifenwick_60,icorsi_60,igp,iap,ipp
"SEDIN, HENRIK",Vancouver,163,2259:08,34,89,49,123,221,267,329,15.38,0.90,2.36,1.30,3.27,5.87,7.09,8.74,23.4,61.4,84.8
"SEDIN, DANIEL",Vancouver,144,1955:54,39,66,45,105,323,457,584,12.07,1.20,2.02,1.38,3.22,9.91,14.02,17.91,30.5,51.6,82.0
"CROSBY, SIDNEY",Pittsburgh,158,2286:37,53,65,44,118,340,453,540,15.59,1.39,1.71,1.15,3.10,8.92,11.89,14.17,38.4,47.1,85.5
"SEMIN, ALEXANDER",Washington,135,1819:14,52,40,29,92,369,512,685,14.09,1.72,1.32,0.96,3.03,12.17,16.89,22.59,44.1,33.9,78.0
"PELECH, MATT",Calgary,5,61:11,0,3,0,3,3,5,10,0.00,0.00,2.94,0.00,2.94,2.94,4.90,9.81,0.0,75.0,75.0
"GABORIK, MARIAN",NY Rangers,93,1414:37,35,34,26,69,225,291,370,15.56,1.48,1.44,1.10,2.93,9.54,12.34,15.69,43.8,42.5,86.2
"OVECHKIN, ALEX",Washington,151,2347:48,58,56,40,114,552,783,1140,10.51,1.48,1.43,1.02,2.91,14.11,20.01,29.13,40.3,38.9,79.2
"WILLIAMS, JEREMY",Toronto,11,125:29,5,1,1,6,21,25,31,23.81,2.39,0.48,0.48,2.87,10.04,11.95,14.82,71.4,14.3,85.7
"ENNIS, TYLER",Buffalo,10,111:53,3,2,0,5,20,24,27,15.00,1.61,1.07,0.00,2.68,10.73,12.87,14.48,42.9,28.6,71.4
"MCLAREN, FRAZER",San Jose,23,135:34,1,5,4,6,13,18,19,7.69,0.44,2.21,1.77,2.66,5.75,7.97,8.41,12.5,62.5,75.0
"MALKIN, EVGENI",Pittsburgh,149,2158:32,25,69,46,94,286,395,514,8.74,0.69,1.92,1.28,2.61,7.95,10.98,14.29,21.4,59.0,80.3
"BOZAK, TYLER",Toronto,37,489:58,6,15,6,21,33,43,62,18.18,0.73,1.84,0.73,2.57,4.04,5.27,7.59,23.1,57.7,80.8
"AUCOIN, KEITH",Washington,21,186:53,2,6,1,8,15,18,26,13.33,0.64,1.93,0.32,2.57,4.82,5.78,8.35,18.2,54.5,72.7
"HOSSA, MARIAN",Chicago,130,1696:29,39,33,20,72,345,462,570,11.30,1.38,1.17,0.71,2.55,12.20,16.34,20.16,40.2,34.0,74.2
"BOURQUE, RENE",Calgary,130,1665:49,32,38,22,70,269,378,487,11.90,1.15,1.37,0.79,2.52,9.69,13.61,17.54,37.2,44.2,81.4
"KOVALCHUK, ILYA",New Jersey,155,2287:13,53,42,29,95,327,451,611,16.21,1.39,1.10,0.76,2.49,8.58,11.83,16.03,44.9,35.6,80.5
"PARISE, ZACH",New Jersey,162,2320:19,46,50,24,96,491,650,749,9.37,1.19,1.29,0.62,2.48,12.70,16.81,19.37,39.3,42.7,82.1
"ELIAS, PATRIK",New Jersey,134,1679:21,27,42,27,69,249,327,407,10.84,0.96,1.50,0.96,2.47,8.90,11.68,14.54,31.8,49.4,81.2
"ZHERDEV, NIKOLAI",NY Rangers,82,1047:41,16,27,18,43,164,223,294,9.76,0.92,1.55,1.03,2.46,9.39,12.77,16.84,32.0,54.0,86.0
"KESSEL, PHIL",Toronto,140,1950:09,46,34,26,80,385,523,688,11.95,1.42,1.05,0.80,2.46,11.85,16.09,21.17,44.7,33.0,77.7
"FILATOV, NIKITA",Columbus,21,148:38,6,0,0,6,18,24,32,33.33,2.42,0.00,0.00,2.42,7.27,9.69,12.92,85.7,0.0,85.7
"PONIKAROVSKY, ALEXEI",Pittsburgh,159,1982:26,33,46,31,79,295,425,521,11.19,1.00,1.39,0.94,2.39,8.93,12.86,15.77,30.6,42.6,73.1
"CONNOLLY, TIM",Buffalo,121,1457:51,19,39,23,58,198,259,314,9.60,0.78,1.61,0.95,2.39,8.15,10.66,12.92,23.5,48.1,71.6
"GETZLAF, RYAN",Anaheim,147,2237:53,26,63,41,89,225,322,392,11.56,0.70,1.69,1.10,2.39,6.03,8.63,10.51,22.6,54.8,77.4
"PERRY, COREY",Anaheim,160,2395:08,40,55,38,95,402,543,635,9.95,1.00,1.38,0.95,2.38,10.07,13.60,15.91,31.0,42.6,73.6
"SAVARD, MARC",Boston,123,1639:05,17,48,32,65,212,288,359,8.02,0.62,1.76,1.17,2.38,7.76,10.54,13.14,21.0,59.3,80.2
"DATSYUK, PAVEL",Detroit,160,2270:45,34,56,35,90,296,402,538,11.49,0.90,1.48,0.92,2.38,7.82,10.62,14.22,27.6,45.5,73.2
"MARLEAU, PATRICK",San Jose,158,2220:28,43,45,21,88,338,440,537,12.72,1.16,1.22,0.57,2.38,9.13,11.89,14.51,37.4,39.1,76.5
"ST._LOUIS, MARTIN",Tampa Bay,163,2298:49,35,56,27,91,319,461,542,10.97,0.91,1.46,0.70,2.38,8.33,12.03,14.15,30.4,48.7,79.1
"THORNTON, JOE",San Jose,161,2310:46,23,68,44,91,169,237,307,13.61,0.60,1.77,1.14,2.36,4.39,6.15,7.97,19.7,58.1,77.8
"LALIBERTE, DAVID",Philadelphia,11,76:12,2,1,1,3,8,13,16,25.00,1.57,0.79,0.79,2.36,6.30,10.24,12.60,50.0,25.0,75.0
"BACKSTROM, NICKLAS",Washington,164,2366:24,26,67,39,93,271,368,479,9.59,0.66,1.70,0.99,2.36,6.87,9.33,12.14,18.7,48.2,66.9
"KANA, TOMAS",Columbus,6,50:56,0,2,1,2,3,4,6,0.00,0.00,2.36,1.18,2.36,3.53,4.71,7.07,0.0,100.0,100.0
"IGGULDEN, MIKE",NY Islanders,11,127:24,1,4,3,5,16,25,32,6.25,0.47,1.88,1.41,2.35,7.54,11.77,15.07,16.7,66.7,83.3
"FEHR, ERIC",Washington,130,1351:17,26,27,14,53,236,312,409,11.02,1.15,1.20,0.62,2.35,10.48,13.85,18.16,37.1,38.6,75.7
"BRULE, GILBERT",Edmonton,75,893:04,17,18,8,35,115,151,188,14.78,1.14,1.21,0.54,2.35,7.73,10.14,12.63,41.5,43.9,85.4
"KREJCI, DAVID",Boston,161,2035:54,24,55,35,79,221,279,335,10.86,0.71,1.62,1.03,2.33,6.51,8.22,9.87,23.1,52.9,76.0
"ERIKSSON, LOUI",Dallas,163,2256:59,38,49,19,87,268,373,452,14.18,1.01,1.30,0.51,2.31,7.12,9.92,12.02,34.9,45.0,79.8
"VANEK, THOMAS",Buffalo,144,1722:18,33,33,21,66,230,338,415,14.35,1.15,1.15,0.73,2.30,8.01,11.78,14.46,37.9,37.9,75.9
"BACKLUND, MIKAEL",Calgary,24,262:28,1,9,4,10,41,65,80,2.44,0.23,2.06,0.91,2.29,9.37,14.86,18.29,7.7,69.2,76.9
"BURROWS, ALEX",Vancouver,163,2094:12,39,40,22,79,307,403,491,12.70,1.12,1.15,0.63,2.26,8.80,11.55,14.07,34.5,35.4,69.9
"HAMILTON, JEFFREY",Toronto,15,160:36,3,3,1,6,27,37,48,11.11,1.12,1.12,0.37,2.24,10.09,13.82,17.93,33.3,33.3,66.7
"CARTER, JEFF",Philadelphia,156,2088:53,42,36,19,78,408,569,724,10.29,1.21,1.03,0.55,2.24,11.72,16.34,20.80,42.0,36.0,78.0
"RICHARDS, BRAD",Dallas,135,1857:41,19,50,33,69,245,350,440,7.76,0.61,1.61,1.07,2.23,7.91,11.30,14.21,21.3,56.2,77.5
"STEWART, CHRIS",Colorado,130,1595:48,31,28,17,59,250,318,374,12.40,1.17,1.05,0.64,2.22,9.40,11.96,14.06,41.9,37.8,79.7
"BOOTH, DAVID",Florida,100,1299:13,24,24,14,48,247,332,421,9.72,1.11,1.11,0.65,2.22,11.41,15.33,19.44,38.7,38.7,77.4
"HAVLAT, MARTIN",Minnesota,154,2041:54,28,47,30,75,280,351,426,10.00,0.82,1.38,0.88,2.20,8.23,10.31,12.52,28.3,47.5,75.8
"LADD, ANDREW",Chicago,164,2070:10,30,46,26,76,320,416,507,9.38,0.87,1.33,0.75,2.20,9.27,12.06,14.69,27.5,42.2,69.7
"LECAVALIER, VINCENT",Tampa Bay,158,2136:55,34,44,32,78,363,465,568,9.37,0.95,1.24,0.90,2.19,10.19,13.06,15.95,36.2,46.8,83.0
"PARSE, SCOTT",Los Angeles,59,604:53,9,13,9,22,75,93,117,12.00,0.89,1.29,0.89,2.18,7.44,9.22,11.61,29.0,41.9,71.0
"RYAN, BOBBY",Anaheim,145,1953:00,39,32,17,71,304,431,542,12.83,1.20,0.98,0.52,2.18,9.34,13.24,16.65,34.5,28.3,62.8
"WOLSKI, WOJTEK",Arizona,158,2122:19,28,49,31,77,266,340,424,10.53,0.79,1.39,0.88,2.18,7.52,9.61,11.99,28.6,50.0,78.6
"KANE, PATRICK",Chicago,162,2288:21,30,53,32,83,359,462,570,8.36,0.79,1.39,0.84,2.18,9.41,12.11,14.95,28.8,51.0,79.8
"ANTROPOV, NIK",Winnipeg,157,2040:47,31,43,24,74,229,315,404,13.54,0.91,1.26,0.71,2.18,6.73,9.26,11.88,29.2,40.6,69.8
"HEATLEY, DANY",San Jose,164,2420:52,39,48,31,87,324,463,619,12.04,0.97,1.19,0.77,2.16,8.03,11.48,15.34,33.1,40.7,73.7
"MALONE, RYAN",Tampa Bay,138,1673:51,29,31,13,60,197,257,303,14.72,1.04,1.11,0.47,2.15,7.06,9.21,10.86,36.7,39.2,75.9
