name,team,gp,toi,g,a,firsta,points,shots,ifenwick,icorsi,shpct,g_60,a_60,firsta_60,points_60,shots_60,ifenwick_60,icorsi_60,igp,iap,ipp
"CROSBY, SIDNEY",Pittsburgh,179,2709:48,57,97,65,154,402,530,652,14.18,1.26,2.15,1.44,3.41,8.90,11.74,14.44,30.6,52.2,82.8
"JARNKROK, CALLE",Nashville,12,146:41,2,6,3,8,12,15,21,16.67,0.82,2.45,1.23,3.27,4.91,6.14,8.59,18.2,54.5,72.7
"MACHACEK, SPENCER",Winnipeg,23,172:12,2,7,4,9,19,24,35,10.53,0.70,2.44,1.39,3.14,6.62,8.36,12.20,20.0,70.0,90.0
"MALKIN, EVGENI",Pittsburgh,209,3022:34,57,79,55,136,455,603,763,12.53,1.13,1.57,1.09,2.70,9.03,11.97,15.15,33.5,46.5,80.0
"HARJU, JOHAN",Tampa Bay,10,68:13,1,2,2,3,13,16,20,7.69,0.88,1.76,1.76,2.64,11.43,14.07,17.59,25.0,50.0,75.0
"BENN, JAMIE",Dallas,262,3637:18,66,90,42,156,565,792,1035,11.68,1.09,1.48,0.69,2.57,9.32,13.06,17.07,34.2,46.6,80.8
"STAMKOS, STEVEN",Tampa Bay,249,3856:47,94,71,47,165,541,765,981,17.38,1.46,1.10,0.73,2.57,8.42,11.90,15.26,43.9,33.2,77.1
"HERTL, TOMAS",San Jose,37,472:03,10,10,5,20,74,100,129,13.51,1.27,1.27,0.64,2.54,9.41,12.71,16.40,38.5,38.5,76.9
"TOEWS, JONATHAN",Chicago,262,3839:47,76,86,56,162,550,677,814,13.82,1.19,1.34,0.88,2.53,8.59,10.58,12.72,33.5,37.9,71.4
"ALIU, AKIM",Calgary,7,71:55,2,1,0,3,5,6,9,40.00,1.67,0.83,0.00,2.50,4.17,5.01,7.51,66.7,33.3,100.0
