name,team,gp,toi,g,a,firsta,points,shots,ifenwick,icorsi,shpct,g_60,a_60,firsta_60,points_60,shots_60,ifenwick_60,icorsi_60,igp,iap,ipp
"STAMKOS, STEVEN",Tampa Bay,17,218:35,5,7,6,12,26,33,46,19.23,1.37,1.92,1.65,3.29,7.14,9.06,12.63,35.7,50.0,85.7
"LEIVO, JOSH",Toronto,13,134:45,1,6,5,7,21,30,36,4.76,0.45,2.67,2.23,3.12,9.35,13.36,16.03,12.5,75.0,87.5
"SHEARY, CONOR",Pittsburgh,61,836:30,16,26,10,42,126,165,206,12.70,1.15,1.86,0.72,3.01,9.04,11.84,14.78,29.6,48.1,77.8
"MCDAVID, CONNOR",Edmonton,82,1309:56,21,42,29,63,190,251,300,11.05,0.96,1.92,1.33,2.89,8.70,11.50,13.74,27.3,54.5,81.8
"GUENTZEL, JAKE",Pittsburgh,40,562:14,15,12,9,27,71,93,117,21.13,1.60,1.28,0.96,2.88,7.58,9.92,12.49,40.5,32.4,73.0
"MALKIN, EVGENI",Pittsburgh,62,871:40,20,21,17,41,115,148,179,17.39,1.38,1.45,1.17,2.82,7.92,10.19,12.32,38.5,40.4,78.8
"ERIKSSON_EK, JOEL",Minnesota,15,149:47,3,4,2,7,15,22,25,20.00,1.20,1.60,0.80,2.80,6.01,8.81,10.01,42.9,57.1,100.0
"CROSBY, SIDNEY",Pittsburgh,75,1118:06,26,24,17,50,172,216,278,15.12,1.40,1.29,0.91,2.68,9.23,11.59,14.92,41.9,38.7,80.6
"VANEK, THOMAS",Florida,68,759:48,12,21,13,33,99,125,156,12.12,0.95,1.66,1.03,2.61,7.82,9.87,12.32,30.0,52.5,82.5
"SCHEIFELE, MARK",Winnipeg,79,1217:09,17,34,18,51,99,139,179,17.17,0.84,1.68,0.89,2.51,4.88,6.85,8.82,24.6,49.3,73.9
"BJORKSTRAND, OLIVER",Columbus,26,316:00,6,7,4,13,47,55,71,12.77,1.14,1.33,0.76,2.47,8.92,10.44,13.48,35.3,41.2,76.5
"HARTNELL, SCOTT",Columbus,78,819:53,11,22,13,33,92,118,152,11.96,0.81,1.61,0.95,2.42,6.73,8.64,11.12,26.2,52.4,78.6
"POMINVILLE, JASON",Minnesota,78,921:28,12,25,15,37,156,204,255,7.69,0.78,1.63,0.98,2.41,10.16,13.28,16.60,26.7,55.6,82.2
"MARCHAND, BRAD",Boston,80,1097:26,19,25,15,44,151,217,283,12.58,1.04,1.37,0.82,2.41,8.26,11.86,15.47,33.9,44.6,78.6
"ZUCKER, JASON",Minnesota,79,1104:19,19,25,15,44,158,229,275,12.03,1.03,1.36,0.81,2.39,8.58,12.44,14.94,29.2,38.5,67.7
"BACKSTROM, NICKLAS",Washington,82,1107:16,13,31,16,44,123,164,205,10.57,0.70,1.68,0.87,2.38,6.67,8.89,11.11,24.1,57.4,81.5
"VAN_RIEMSDYK, JAMES",Toronto,82,1058:24,23,19,9,42,176,235,293,13.07,1.30,1.08,0.51,2.38,9.98,13.32,16.61,41.1,33.9,75.0
"ARVIDSSON, VIKTOR",Nashville,80,1064:13,19,23,12,42,201,276,335,9.45,1.07,1.30,0.68,2.37,11.33,15.56,18.89,31.7,38.3,70.0
"NIEDERREITER, NINO",Minnesota,82,1041:56,16,25,19,41,146,179,235,10.96,0.92,1.44,1.09,2.36,8.41,10.31,13.53,29.1,45.5,74.5
"KUCHEROV, NIKITA",Tampa Bay,74,1097:05,18,25,14,43,140,196,262,12.86,0.98,1.37,0.77,2.35,7.66,10.72,14.33,32.1,44.6,76.8
"OSHIE, TJ",Washington,68,896:19,23,12,8,35,88,133,159,26.14,1.54,0.80,0.54,2.34,5.89,8.90,10.64,45.1,23.5,68.6
"DALPE, ZAC",Minnesota,9,76:50,1,2,0,3,8,11,14,12.50,0.78,1.56,0.00,2.34,6.25,8.59,10.93,20.0,40.0,60.0
"LAINE, PATRIK",Winnipeg,73,1031:27,21,19,9,40,130,183,225,16.15,1.22,1.11,0.52,2.33,7.56,10.65,13.09,35.6,32.2,67.8
"ZETTERBERG, HENRIK",Detroit,82,1274:20,15,34,25,49,135,177,226,11.11,0.71,1.60,1.18,2.31,6.36,8.33,10.64,23.8,54.0,77.8
"GETZLAF, RYAN",Anaheim,74,1119:35,5,38,25,43,86,131,181,5.81,0.27,2.04,1.34,2.30,4.61,7.02,9.70,10.2,77.6,87.8
"CARPENTER, RYAN",San Jose,11,104:34,2,2,2,4,18,20,21,11.11,1.15,1.15,1.15,2.30,10.33,11.48,12.05,33.3,33.3,66.7
"WEAL, JORDAN",Philadelphia,23,287:54,7,4,2,11,38,50,61,18.42,1.46,0.83,0.42,2.29,7.92,10.42,12.71,50.0,28.6,78.6
"EHLERS, NIKOLAJ",Winnipeg,82,1152:52,15,29,17,44,142,212,270,10.56,0.78,1.51,0.88,2.29,7.39,11.03,14.05,25.0,48.3,73.3
"BURAKOVSKY, ANDRE",Washington,64,737:14,9,19,9,28,94,123,194,9.57,0.73,1.55,0.73,2.28,7.65,10.01,15.79,26.5,55.9,82.4
"KANE, PATRICK",Chicago,82,1369:54,23,29,17,52,200,261,334,11.50,1.01,1.27,0.74,2.28,8.76,11.43,14.63,35.4,44.6,80.0
"GAUDREAU, JOHNNY",Calgary,72,1013:26,11,27,20,38,122,153,191,9.02,0.65,1.60,1.18,2.25,7.22,9.06,11.31,26.8,65.9,92.7
"WILLIAMS, JUSTIN",Washington,80,1017:35,19,19,7,38,138,185,230,13.77,1.12,1.12,0.41,2.24,8.14,10.91,13.56,37.3,37.3,74.5
"FORSBERG, FILIP",Nashville,82,1099:49,21,20,12,41,161,249,319,13.04,1.15,1.09,0.65,2.24,8.78,13.58,17.40,41.2,39.2,80.4
"BARBASHEV, IVAN",St. Louis,30,323:04,5,7,4,12,19,29,38,26.32,0.93,1.30,0.74,2.23,3.53,5.39,7.06,35.7,50.0,85.7
"PITLICK, TYLER",Edmonton,31,297:30,8,3,2,11,53,62,74,15.09,1.61,0.60,0.40,2.22,10.69,12.50,14.92,61.5,23.1,84.6
"SAAD, BRANDON",Columbus,82,1137:49,20,22,12,42,172,237,300,11.63,1.05,1.16,0.63,2.21,9.07,12.50,15.82,38.5,42.3,80.8
"SKINNER, JEFF",Carolina,78,1139:07,27,15,10,42,209,279,367,12.92,1.42,0.79,0.53,2.21,11.01,14.70,19.33,45.8,25.4,71.2
