name,team,gp,toi,g,a,firsta,points,shots,ifenwick,icorsi,shpct,g_60,a_60,firsta_60,points_60,shots_60,ifenwick_60,icorsi_60,igp,iap,ipp
"CROSBY, SIDNEY",Pittsburgh,122,1773:56,53,51,33,104,301,391,468,17.61,1.79,1.73,1.12,3.52,10.18,13.22,15.83,44.5,42.9,87.4
"VESCE, RYAN",San Jose,9,88:28,3,2,1,5,17,21,26,17.65,2.03,1.36,0.68,3.39,11.53,14.24,17.63,50.0,33.3,83.3
"SEDIN, DANIEL",Vancouver,145,2026:01,41,71,48,112,332,460,581,12.35,1.21,2.10,1.42,3.32,9.83,13.62,17.21,29.5,51.1,80.6
"SEDIN, HENRIK",Vancouver,164,2356:21,27,97,58,124,230,286,363,11.74,0.69,2.47,1.48,3.16,5.86,7.28,9.24,17.9,64.2,82.1
"GEOFFRION, BLAKE",Nashville,20,162:33,6,2,0,8,24,26,35,25.00,2.21,0.74,0.00,2.95,8.86,9.60,12.92,66.7,22.2,88.9
"OLVER, MARK",Colorado,18,186:24,2,7,4,9,22,25,33,9.09,0.64,2.25,1.29,2.90,7.08,8.05,10.62,22.2,77.8,100.0
"JOHNSON, NICK",Pittsburgh,10,105:31,2,3,2,5,15,18,21,13.33,1.14,1.71,1.14,2.84,8.53,10.24,11.94,33.3,50.0,83.3
"OVECHKIN, ALEX",Washington,150,2356:52,47,63,45,110,474,658,999,9.92,1.20,1.60,1.15,2.80,12.07,16.75,25.43,35.3,47.4,82.7
"SEMIN, ALEXANDER",Washington,137,1862:01,48,37,25,85,338,496,699,14.20,1.55,1.19,0.81,2.74,10.89,15.98,22.52,41.4,31.9,73.3
"PETTINGER, MATT",Vancouver,9,68:01,1,2,2,3,8,12,13,12.50,0.88,1.76,1.76,2.65,7.06,10.59,11.47,25.0,50.0,75.0
"HARJU, JOHAN",Tampa Bay,10,68:13,1,2,2,3,13,16,20,7.69,0.88,1.76,1.76,2.64,11.43,14.07,17.59,25.0,50.0,75.0
"GABORIK, MARIAN",NY Rangers,138,1999:27,40,47,32,87,309,414,520,12.95,1.20,1.41,0.96,2.61,9.27,12.42,15.60,38.8,45.6,84.5
"KANE, PATRICK",Chicago,155,2313:21,42,58,31,100,357,478,618,11.76,1.09,1.50,0.80,2.59,9.26,12.40,16.03,33.9,46.8,80.6
"WILSON, KYLE",Columbus,34,306:20,4,9,5,13,32,44,60,12.50,0.78,1.76,0.98,2.55,6.27,8.62,11.75,25.0,56.2,81.2
"STERLING, BRETT",Pittsburgh,7,71:26,2,1,1,3,8,12,16,25.00,1.68,0.84,0.84,2.52,6.72,10.08,13.44,50.0,25.0,75.0
"ST._LOUIS, MARTIN",Tampa Bay,163,2397:49,39,61,33,100,352,480,570,11.08,0.98,1.53,0.83,2.50,8.81,12.01,14.26,32.2,50.4,82.6
"STEWART, CHRIS",St. Louis,139,1891:09,35,43,30,78,282,362,430,12.41,1.11,1.36,0.95,2.47,8.95,11.49,13.64,35.4,43.4,78.8
"RICHARDS, BRAD",Dallas,151,2197:03,28,62,44,90,287,417,532,9.76,0.76,1.69,1.20,2.46,7.84,11.39,14.53,25.5,56.4,81.8
"HEMSKY, ALES",Edmonton,69,909:59,13,24,16,37,108,144,189,12.04,0.86,1.58,1.05,2.44,7.12,9.49,12.46,28.9,53.3,82.2
"SKINNER, JEFF",Carolina,81,1033:14,23,19,8,42,151,222,298,15.23,1.34,1.10,0.46,2.44,8.77,12.89,17.30,43.4,35.8,79.2
"STAMKOS, STEVEN",Tampa Bay,163,2251:56,44,47,29,91,324,451,587,13.58,1.17,1.25,0.77,2.42,8.63,12.02,15.64,36.1,38.5,74.6
