name,team,gp,toi,g,a,firsta,points,shots,ifenwick,icorsi,shpct,g_60,a_60,firsta_60,points_60,shots_60,ifenwick_60,icorsi_60,igp,iap,ipp
"BAERTSCHI, SVEN",Calgary,5,50:31,3,0,0,3,10,11,14,30.00,3.56,0.00,0.00,3.56,11.88,13.06,16.63,100.0,0.0,100.0
"CROSBY, SIDNEY",Pittsburgh,221,3178:57,78,102,67,180,487,640,776,16.02,1.47,1.93,1.26,3.40,9.19,12.08,14.65,37.3,48.8,86.1
"FOLIGNO, MARCUS",Buffalo,14,199:48,4,6,1,10,20,33,40,20.00,1.20,1.80,0.30,3.00,6.01,9.91,12.01,22.2,33.3,55.6
"PELECH, MATT",Calgary,5,61:11,0,3,0,3,3,5,10,0.00,0.00,2.94,0.00,2.94,2.94,4.90,9.81,0.0,75.0,75.0
"SEDIN, HENRIK",Vancouver,327,4613:25,48,175,103,223,407,504,643,11.79,0.62,2.28,1.34,2.90,5.29,6.55,8.36,17.6,64.1,81.7
"SEDIN, DANIEL",Vancouver,298,4122:25,76,123,81,199,669,927,1184,11.36,1.11,1.79,1.18,2.90,9.74,13.49,17.23,31.0,50.2,81.2
"MACHACEK, SPENCER",Winnipeg,25,188:35,2,7,4,9,20,25,36,10.00,0.64,2.23,1.27,2.86,6.36,7.95,11.45,20.0,70.0,90.0
"MALKIN, EVGENI",Pittsburgh,267,3872:01,63,117,80,180,580,776,999,10.86,0.98,1.81,1.24,2.79,8.99,12.02,15.48,28.9,53.7,82.6
"WILLIAMS, JEREMY",NY Rangers,12,129:12,5,1,1,6,21,25,32,23.81,2.32,0.46,0.46,2.79,9.75,11.61,14.86,71.4,14.3,85.7
"SEMIN, ALEXANDER",Washington,276,3718:39,87,77,54,164,658,956,1316,13.22,1.40,1.24,0.87,2.65,10.62,15.43,21.23,40.7,36.0,76.6
"HARJU, JOHAN",Tampa Bay,10,68:13,1,2,2,3,13,16,20,7.69,0.88,1.76,1.76,2.64,11.43,14.07,17.59,25.0,50.0,75.0
"VAN_DER_GULIK, DAVID",Colorado,37,255:03,2,9,6,11,41,52,59,4.88,0.47,2.12,1.41,2.59,9.65,12.23,13.88,11.8,52.9,64.7
