name,team,gp,toi,g,a,firsta,points,shots,ifenwick,icorsi,shpct,g_60,a_60,firsta_60,points_60,shots_60,ifenwick_60,icorsi_60,igp,iap,ipp
"HUDON, CHARLES",Montreal,6,63:32,0,4,2,4,5,8,8,0.00,0.00,3.78,1.89,3.78,4.72,7.56,7.56,0.0,100.0,100.0
"GUENTZEL, JAKE",Pittsburgh,40,562:14,15,12,9,27,71,93,117,21.13,1.60,1.28,0.96,2.88,7.58,9.92,12.49,40.5,32.4,73.0
"MCDAVID, CONNOR",Edmonton,127,1934:51,33,58,38,91,264,346,407,12.50,1.02,1.80,1.18,2.82,8.19,10.73,12.62,29.5,51.8,81.2
"ERIKSSON_EK, JOEL",Minnesota,15,149:47,3,4,2,7,15,22,25,20.00,1.20,1.60,0.80,2.80,6.01,8.81,10.01,42.9,57.1,100.0
"BJORKSTRAND, OLIVER",Columbus,38,477:09,10,11,6,21,72,85,113,13.89,1.26,1.38,0.75,2.64,9.05,10.69,14.21,38.5,42.3,80.8
"CROSBY, SIDNEY",Pittsburgh,155,2327:53,44,57,38,101,330,442,575,13.33,1.13,1.47,0.98,2.60,8.51,11.39,14.82,35.5,46.0,81.5
"DALPE, ZAC",Minnesota,11,92:55,2,2,0,4,11,14,17,18.18,1.29,1.29,0.00,2.58,7.10,9.04,10.98,33.3,33.3,66.7
"SHEARY, CONOR",Pittsburgh,105,1226:04,23,29,12,52,175,227,288,13.14,1.13,1.42,0.59,2.54,8.56,11.11,14.09,34.3,43.3,77.6
"SCHEIFELE, MARK",Winnipeg,150,2244:55,35,59,35,94,238,334,413,14.71,0.94,1.58,0.94,2.51,6.36,8.93,11.04,27.8,46.8,74.6
"KANE, PATRICK",Chicago,164,2676:25,48,61,38,109,387,500,634,12.40,1.08,1.37,0.85,2.44,8.68,11.21,14.21,36.4,46.2,82.6
"LEIVO, JOSH",Toronto,25,246:01,4,6,5,10,35,51,65,11.43,0.98,1.46,1.22,2.44,8.54,12.44,15.85,30.8,46.2,76.9
"MALKIN, EVGENI",Pittsburgh,119,1679:10,33,33,26,66,199,266,339,16.58,1.18,1.18,0.93,2.36,7.11,9.50,12.11,39.3,39.3,78.6
"LAINE, PATRIK",Winnipeg,73,1031:27,21,19,9,40,130,183,225,16.15,1.22,1.11,0.52,2.33,7.56,10.65,13.09,35.6,32.2,67.8
"KUZNETSOV, EVGENY",Washington,164,2303:56,26,63,43,89,275,373,472,9.45,0.68,1.64,1.12,2.32,7.16,9.71,12.29,21.1,51.2,72.4
"THOMAS, CHRISTIAN",Arizona,6,53:08,0,2,2,2,9,9,12,0.00,0.00,2.26,2.26,2.26,10.16,10.16,13.55,0.0,100.0,100.0
"GAUDREAU, JOHNNY",Calgary,151,2208:19,29,54,36,83,258,338,429,11.24,0.79,1.47,0.98,2.26,7.01,9.18,11.66,29.6,55.1,84.7
"TARASENKO, VLADIMIR",St. Louis,162,2294:05,45,41,22,86,411,546,749,10.95,1.18,1.07,0.58,2.25,10.75,14.28,19.59,42.9,39.0,81.9
"ROBINSON, BUDDY",Ottawa,7,53:26,1,1,0,2,9,10,12,11.11,1.12,1.12,0.00,2.25,10.11,11.23,13.47,33.3,33.3,66.7
"HUBERDEAU, JONATHAN",Florida,107,1507:36,17,39,21,56,189,238,284,8.99,0.68,1.55,0.84,2.23,7.52,9.47,11.30,21.8,50.0,71.8
"BARBASHEV, IVAN",St. Louis,30,323:04,5,7,4,12,19,29,38,26.32,0.93,1.30,0.74,2.23,3.53,5.39,7.06,35.7,50.0,85.7
"BARKOV, ALEKSANDER",Florida,127,1757:38,32,33,23,65,216,279,336,14.81,1.09,1.13,0.79,2.22,7.37,9.52,11.47,35.2,36.3,71.4
"PITLICK, TYLER",Edmonton,31,297:30,8,3,2,11,53,62,74,15.09,1.61,0.60,0.40,2.22,10.69,12.50,14.92,61.5,23.1,84.6
"JAGR, JAROMIR",Florida,161,2219:44,28,54,33,82,233,329,404,12.02,0.76,1.46,0.89,2.22,6.30,8.89,10.92,23.3,45.0,68.3
"MARCHAND, BRAD",Boston,157,2175:15,38,42,26,80,340,457,580,11.18,1.05,1.16,0.72,2.21,9.38,12.61,16.00,34.5,38.2,72.7
"HARTNELL, SCOTT",Columbus,157,1814:09,21,45,26,66,205,263,329,10.24,0.69,1.49,0.86,2.18,6.78,8.70,10.88,24.1,51.7,75.9
"WHEELER, BLAKE",Winnipeg,164,2341:32,31,54,40,85,370,499,615,8.38,0.79,1.38,1.02,2.18,9.48,12.79,15.76,27.9,48.6,76.6
"FISCHER, CHRISTIAN",Arizona,7,83:33,3,0,0,3,10,12,15,30.00,2.15,0.00,0.00,2.15,7.18,8.62,10.77,100.0,0.0,100.0
"BACKSTROM, NICKLAS",Washington,157,2172:46,26,52,33,78,218,295,373,11.93,0.72,1.44,0.91,2.15,6.02,8.15,10.30,26.5,53.1,79.6
"VAN_RIEMSDYK, JAMES",Toronto,122,1620:02,31,27,14,58,264,357,449,11.74,1.15,1.00,0.52,2.15,9.78,13.22,16.63,39.2,34.2,73.4
"CARPENTER, RYAN",San Jose,12,112:01,2,2,2,4,18,20,21,11.11,1.07,1.07,1.07,2.14,9.64,10.71,11.25,33.3,33.3,66.7
