name,team,gp,toi,g,a,firsta,points,shots,ifenwick,icorsi,shpct,g_60,a_60,firsta_60,points_60,shots_60,ifenwick_60,icorsi_60,igp,iap,ipp
"JARNKROK, CALLE",Nashville,12,146:41,2,6,3,8,12,15,21,16.67,0.82,2.45,1.23,3.27,4.91,6.14,8.59,18.2,54.5,72.7
"MORIN, JEREMY",Chicago,27,247:27,6,7,6,13,50,65,83,12.00,1.45,1.70,1.45,3.15,12.12,15.76,20.13,37.5,43.8,81.2
"CROSBY, SIDNEY",Pittsburgh,116,1817:28,32,60,42,92,255,343,416,12.55,1.06,1.98,1.39,3.04,8.42,11.32,13.73,27.8,52.2,80.0
"MACDERMID, LANE",Calgary,16,80:13,2,2,1,4,5,7,8,40.00,1.50,1.50,0.75,2.99,3.74,5.24,5.98,50.0,50.0,100.0
"HALL, TAYLOR",Edmonton,120,1791:16,28,58,34,86,284,371,482,9.86,0.94,1.94,1.14,2.88,9.51,12.43,16.14,31.5,65.2,96.6
"GETZLAF, RYAN",Anaheim,121,1739:09,28,55,34,83,199,264,335,14.07,0.97,1.90,1.17,2.86,6.87,9.11,11.56,26.7,52.4,79.0
"PERRY, COREY",Anaheim,125,1773:11,40,41,29,81,289,396,493,13.84,1.35,1.39,0.98,2.74,9.78,13.40,16.68,37.7,38.7,76.4
"TOEWS, JONATHAN",Chicago,123,1784:01,37,42,23,79,253,314,379,14.62,1.24,1.41,0.77,2.66,8.51,10.56,12.75,33.9,38.5,72.5
"BENN, JAMIE",Dallas,122,1727:22,33,41,21,74,283,405,521,11.66,1.15,1.42,0.73,2.57,9.83,14.07,18.10,33.7,41.8,75.5
"VANEK, THOMAS",Montreal,116,1672:50,26,45,30,71,235,316,414,11.06,0.93,1.61,1.08,2.55,8.43,11.33,14.85,28.6,49.5,78.0
"HERTL, TOMAS",San Jose,37,472:03,10,10,5,20,74,100,129,13.51,1.27,1.27,0.64,2.54,9.41,12.71,16.40,38.5,38.5,76.9
"KUNITZ, CHRIS",Pittsburgh,126,1773:47,32,43,24,75,225,308,402,14.22,1.08,1.45,0.81,2.54,7.61,10.42,13.60,28.6,38.4,67.0
"BISSONNETTE, PAUL",Arizona,67,336:25,2,12,6,14,38,53,61,5.26,0.36,2.14,1.07,2.50,6.78,9.45,10.88,10.5,63.2,73.7
"STAAL, ERIC",Carolina,127,1912:05,28,51,36,79,266,352,452,10.53,0.88,1.60,1.13,2.48,8.35,11.05,14.18,29.2,53.1,82.3
"SEGUIN, TYLER",Dallas,128,1821:10,34,41,27,75,318,432,534,10.69,1.12,1.35,0.89,2.47,10.48,14.23,17.59,33.0,39.8,72.8
"DUCHENE, MATT",Colorado,118,1725:25,25,46,33,71,254,342,433,9.84,0.87,1.60,1.15,2.47,8.83,11.89,15.06,29.4,54.1,83.5
"GAGNON, AARON",Winnipeg,10,73:16,3,0,0,3,11,14,17,27.27,2.46,0.00,0.00,2.46,9.01,11.46,13.92,60.0,0.0,60.0
"LEE, ANDERS",NY Islanders,24,293:21,7,5,3,12,52,69,79,13.46,1.43,1.02,0.61,2.45,10.64,14.11,16.16,50.0,35.7,85.7
"TORRES, RAFFI",San Jose,44,515:00,9,12,7,21,64,90,103,14.06,1.05,1.40,0.82,2.45,7.46,10.49,12.00,37.5,50.0,87.5
"KESSEL, PHIL",Toronto,130,2088:19,41,44,30,85,331,453,617,12.39,1.18,1.26,0.86,2.44,9.51,13.02,17.73,38.3,41.1,79.4
"STAMKOS, STEVEN",Tampa Bay,85,1325:23,28,25,16,53,170,253,323,16.47,1.27,1.13,0.72,2.40,7.70,11.45,14.62,40.6,36.2,76.8
"DUPUIS, PASCAL",Pittsburgh,87,1256:36,21,29,16,50,210,292,368,10.00,1.00,1.38,0.76,2.39,10.03,13.94,17.57,26.9,37.2,64.1
"NYQUIST, GUSTAV",Detroit,79,960:10,24,14,10,38,149,211,257,16.11,1.50,0.87,0.62,2.37,9.31,13.19,16.06,52.2,30.4,82.6
"MARCHAND, BRAD",Boston,127,1697:51,27,40,27,67,198,269,330,13.64,0.95,1.41,0.95,2.37,7.00,9.51,11.66,31.4,46.5,77.9
"KANE, PATRICK",Chicago,116,1800:03,29,42,32,71,260,357,458,11.15,0.97,1.40,1.07,2.37,8.67,11.90,15.27,31.2,45.2,76.3
"PERREAULT, MATHIEU",Anaheim,108,1161:32,17,28,20,45,125,171,225,13.60,0.88,1.45,1.03,2.32,6.46,8.83,11.62,27.9,45.9,73.8
"PACIORETTY, MAX",Montreal,117,1542:59,33,26,16,59,300,429,543,11.00,1.28,1.01,0.62,2.29,11.67,16.68,21.11,40.7,32.1,72.8
