name,team,gp,toi,g,a,firsta,points,shots,ifenwick,icorsi,shpct,g_60,a_60,firsta_60,points_60,shots_60,ifenwick_60,icorsi_60,igp,iap,ipp
"PARSE, SCOTT",Los Angeles,5,59:46,1,3,1,4,5,8,10,20.00,1.00,3.01,1.00,4.02,5.02,8.03,10.04,16.7,50.0,66.7
"CROSBY, SIDNEY",Pittsburgh,41,595:36,20,18,11,38,104,134,164,19.23,2.01,1.81,1.11,3.83,10.48,13.50,16.52,50.0,45.0,95.0
"SEDIN, DANIEL",Vancouver,82,1145:10,22,35,23,57,188,251,317,11.70,1.15,1.83,1.21,2.99,9.85,13.15,16.61,32.4,51.5,83.8
"GEOFFRION, BLAKE",Nashville,20,162:33,6,2,0,8,24,26,35,25.00,2.21,0.74,0.00,2.95,8.86,9.60,12.92,66.7,22.2,88.9
"OLVER, MARK",Colorado,18,186:24,2,7,4,9,22,25,33,9.09,0.64,2.25,1.29,2.90,7.08,8.05,10.62,22.2,77.8,100.0
"PERRON, DAVID",St. Louis,10,129:02,5,1,1,6,15,19,22,33.33,2.33,0.47,0.47,2.79,6.97,8.83,10.23,71.4,14.3,85.7
"HALISCHUK, MATT",Nashville,27,266:09,4,8,3,12,26,40,52,15.38,0.90,1.80,0.68,2.71,5.86,9.02,11.72,28.6,57.1,85.7
"KOPITAR, ANZE",Los Angeles,75,1113:48,17,33,22,50,151,209,269,11.26,0.92,1.78,1.19,2.69,8.13,11.26,14.49,27.9,54.1,82.0
"HARJU, JOHAN",Tampa Bay,10,68:13,1,2,2,3,13,16,20,7.69,0.88,1.76,1.76,2.64,11.43,14.07,17.59,25.0,50.0,75.0
"NASH, RICK",Columbus,75,1030:01,21,24,14,45,217,287,361,9.68,1.22,1.40,0.82,2.62,12.64,16.72,21.03,41.2,47.1,88.2
"SEDIN, HENRIK",Vancouver,82,1193:40,8,44,30,52,111,139,178,7.21,0.40,2.21,1.51,2.61,5.58,6.99,8.95,12.1,66.7,78.8
"BRIERE, DANIEL",Philadelphia,77,1107:28,25,23,14,48,184,223,279,13.59,1.35,1.25,0.76,2.60,9.97,12.08,15.12,39.7,36.5,76.2
"ST._LOUIS, MARTIN",Tampa Bay,82,1223:34,22,31,18,53,184,245,298,11.96,1.08,1.52,0.88,2.60,9.02,12.01,14.61,34.4,48.4,82.8
"BURROWS, ALEX",Vancouver,72,954:18,22,19,3,41,127,182,227,17.32,1.38,1.19,0.19,2.58,7.98,11.44,14.27,42.3,36.5,78.8
"KANE, PATRICK",Chicago,73,1099:43,21,26,11,47,163,214,281,12.88,1.15,1.42,0.60,2.56,8.89,11.68,15.33,35.0,43.3,78.3
"GIROUX, CLAUDE",Philadelphia,82,1084:18,13,33,23,46,114,158,197,11.40,0.72,1.83,1.27,2.55,6.31,8.74,10.90,22.8,57.9,80.7
"KREJCI, DAVID",Boston,75,1065:10,11,34,23,45,105,142,187,10.48,0.62,1.92,1.30,2.53,5.91,8.00,10.53,20.8,64.2,84.9
"STERLING, BRETT",Pittsburgh,7,71:26,2,1,1,3,8,12,16,25.00,1.68,0.84,0.84,2.52,6.72,10.08,13.44,50.0,25.0,75.0
"RICHARDS, BRAD",Dallas,72,1075:48,20,25,16,45,145,212,273,13.79,1.12,1.39,0.89,2.51,8.09,11.82,15.23,37.7,47.2,84.9
"STAMKOS, STEVEN",Tampa Bay,82,1174:33,25,24,16,49,171,249,317,14.62,1.28,1.23,0.82,2.50,8.74,12.72,16.19,38.5,36.9,75.4
"DATSYUK, PAVEL",Detroit,56,817:57,15,19,11,34,107,148,200,14.02,1.10,1.39,0.81,2.49,7.85,10.86,14.67,34.9,44.2,79.1
"SKINNER, JEFF",Carolina,81,1033:14,23,19,8,42,151,222,298,15.23,1.34,1.10,0.46,2.44,8.77,12.89,17.30,43.4,35.8,79.2
"WILLIAMS, JUSTIN",Los Angeles,73,1012:48,15,26,11,41,174,236,292,8.62,0.89,1.54,0.65,2.43,10.31,13.98,17.30,28.3,49.1,77.4
"BENN, JAMIE",Dallas,69,915:58,12,25,13,37,125,171,232,9.60,0.79,1.64,0.85,2.42,8.19,11.20,15.20,28.6,59.5,88.1
"RYAN, BOBBY",Anaheim,82,1291:34,24,28,18,52,201,267,316,11.94,1.11,1.30,0.84,2.42,9.34,12.40,14.68,34.3,40.0,74.3
"TANGUAY, ALEX",Calgary,79,1099:11,17,27,19,44,80,116,131,21.25,0.93,1.47,1.04,2.40,4.37,6.33,7.15,28.8,45.8,74.6
"TOEWS, JONATHAN",Chicago,80,1186:31,20,27,21,47,163,201,246,12.27,1.01,1.37,1.06,2.38,8.24,10.16,12.44,29.0,39.1,68.1
"DOWNIE, STEVE",Tampa Bay,57,686:40,8,19,13,27,69,95,117,11.59,0.70,1.66,1.14,2.36,6.03,8.30,10.22,21.1,50.0,71.1
"HORTON, NATHAN",Boston,80,1071:58,20,22,13,42,143,195,250,13.99,1.12,1.23,0.73,2.35,8.00,10.91,13.99,31.2,34.4,65.6
"VANEK, THOMAS",Buffalo,80,1048:29,18,23,13,41,152,212,255,11.84,1.03,1.32,0.74,2.35,8.70,12.13,14.59,32.7,41.8,74.5
"ROY, DEREK",Buffalo,35,461:57,7,11,9,18,47,58,76,14.89,0.91,1.43,1.17,2.34,6.10,7.53,9.87,30.4,47.8,78.3
"CALVERT, MATT",Columbus,42,412:42,8,8,5,16,39,52,65,20.51,1.16,1.16,0.73,2.33,5.67,7.56,9.45,38.1,38.1,76.2
"TURRIS, KYLE",Arizona,65,621:59,11,13,7,24,100,129,159,11.00,1.06,1.25,0.68,2.32,9.65,12.44,15.34,33.3,39.4,72.7
"SPEZZA, JASON",Ottawa,62,857:56,12,21,14,33,119,173,225,10.08,0.84,1.47,0.98,2.31,8.32,12.10,15.74,26.7,46.7,73.3
"GRABNER, MICHAEL",NY Islanders,76,910:25,21,14,9,35,173,215,257,12.14,1.38,0.92,0.59,2.31,11.40,14.17,16.94,50.0,33.3,83.3
"LUCIC, MILAN",Boston,79,1069:44,20,21,9,41,127,185,262,15.75,1.12,1.18,0.50,2.30,7.12,10.38,14.70,34.5,36.2,70.7
