name,team,gp,toi,g,a,firsta,points,shots,ifenwick,icorsi,shpct,g_60,a_60,firsta_60,points_60,shots_60,ifenwick_60,icorsi_60,igp,iap,ipp
"RYCHEL, KERBY",Columbus,5,52:49,0,3,3,3,4,7,10,0.00,0.00,3.41,3.41,3.41,4.54,7.95,11.36,0.0,100.0,100.0
"FORSBERG, PETER",Colorado,11,161:04,1,8,4,9,16,19,24,6.25,0.37,2.98,1.49,3.35,5.96,7.08,8.94,11.1,88.9,100.0
"CROSBY, SIDNEY",Pittsburgh,467,6863:16,143,214,144,357,1025,1362,1643,13.95,1.25,1.87,1.26,3.12,8.96,11.91,14.36,34.0,50.8,84.8
"MACHACEK, SPENCER",Winnipeg,25,188:35,2,7,4,9,20,25,36,10.00,0.64,2.23,1.27,2.86,6.36,7.95,11.45,20.0,70.0,90.0
"RADULOV, ALEXANDER",Nashville,90,1175:46,23,32,21,55,157,200,244,14.65,1.17,1.63,1.07,2.81,8.01,10.21,12.45,32.9,45.7,78.6
"DANO, MARKO",Columbus,35,446:11,8,12,7,20,80,98,123,10.00,1.08,1.61,0.94,2.69,10.76,13.18,16.54,33.3,50.0,83.3
"MALKIN, EVGENI",Pittsburgh,509,7332:18,123,203,134,326,1031,1391,1772,11.93,1.01,1.66,1.10,2.67,8.44,11.38,14.50,30.6,50.5,81.1
"HARJU, JOHAN",Tampa Bay,10,68:13,1,2,2,3,13,16,20,7.69,0.88,1.76,1.76,2.64,11.43,14.07,17.59,25.0,50.0,75.0
"BENN, JAMIE",Dallas,425,5744:15,107,135,65,242,878,1225,1604,12.19,1.12,1.41,0.68,2.53,9.17,12.80,16.75,35.8,45.2,80.9
"ALIU, AKIM",Calgary,7,71:55,2,1,0,3,5,6,9,40.00,1.67,0.83,0.00,2.50,4.17,5.01,7.51,66.7,33.3,100.0
"TARASENKO, VLADIMIR",St. Louis,179,2297:49,43,52,33,95,364,548,726,11.81,1.12,1.36,0.86,2.48,9.50,14.31,18.96,35.8,43.3,79.2
"PASTRNAK, DAVID",Boston,46,534:49,7,15,7,22,76,111,144,9.21,0.79,1.68,0.79,2.47,8.53,12.45,16.16,25.9,55.6,81.5
"SEDIN, HENRIK",Vancouver,609,8538:43,78,273,153,351,688,878,1110,11.34,0.55,1.92,1.08,2.47,4.83,6.17,7.80,17.7,62.0,79.8
"FOY, MATT",Minnesota,28,197:37,4,4,3,8,34,42,50,11.76,1.21,1.21,0.91,2.43,10.32,12.75,15.18,44.4,44.4,88.9
"PALAT, ONDREJ",Tampa Bay,170,2175:33,26,62,35,88,249,350,458,10.44,0.72,1.71,0.97,2.43,6.87,9.65,12.63,20.8,49.6,70.4
"SEDIN, DANIEL",Vancouver,582,8040:46,121,203,132,324,1251,1683,2127,9.67,0.90,1.51,0.98,2.42,9.33,12.56,15.87,30.3,50.9,81.2
"SEGUIN, TYLER",Dallas,354,4758:27,87,102,71,189,810,1095,1371,10.74,1.10,1.29,0.90,2.38,10.21,13.81,17.29,33.9,39.7,73.5
"LALIBERTE, DAVID",Philadelphia,11,76:12,2,1,1,3,8,13,16,25.00,1.57,0.79,0.79,2.36,6.30,10.24,12.60,50.0,25.0,75.0
"STAMKOS, STEVEN",Tampa Bay,491,6994:53,150,125,82,275,980,1370,1773,15.31,1.29,1.07,0.70,2.36,8.41,11.75,15.21,41.7,34.7,76.4
"KANA, TOMAS",Columbus,6,50:56,0,2,1,2,3,4,6,0.00,0.00,2.36,1.18,2.36,3.53,4.71,7.07,0.0,100.0,100.0
"PELECH, MATT",San Jose,13,102:12,1,3,0,4,6,9,15,16.67,0.59,1.76,0.00,2.35,3.52,5.28,8.81,20.0,60.0,80.0
"STONE, MARK",Ottawa,103,1279:56,21,29,18,50,144,210,253,14.58,0.98,1.36,0.84,2.34,6.75,9.84,11.86,32.8,45.3,78.1
"MOUILLIERAT, KAEL",NY Islanders,6,51:15,1,1,0,2,1,3,4,100.00,1.17,1.17,0.00,2.34,1.17,3.51,4.68,50.0,50.0,100.0
"JOHNSON, TYLER",Tampa Bay,173,2205:52,34,52,32,86,305,411,524,11.15,0.92,1.41,0.87,2.34,8.30,11.18,14.25,28.3,43.3,71.7
"TOEWS, JONATHAN",Chicago,565,7919:33,140,168,107,308,1004,1252,1503,13.94,1.06,1.27,0.81,2.33,7.61,9.49,11.39,32.4,38.9,71.3
"HAYES, KEVIN",NY Rangers,79,925:41,14,22,21,36,98,126,159,14.29,0.91,1.43,1.36,2.33,6.35,8.17,10.31,33.3,52.4,85.7
"HLINKA, JAROSLAV",Colorado,63,703:45,8,19,15,27,79,103,123,10.13,0.68,1.62,1.28,2.30,6.74,8.78,10.49,23.5,55.9,79.4
"DATSYUK, PAVEL",Detroit,523,7508:21,102,186,117,288,962,1322,1740,10.60,0.82,1.49,0.94,2.30,7.69,10.56,13.90,26.3,47.9,74.2
"KANE, PATRICK",Chicago,576,8467:11,126,198,129,324,1208,1598,2054,10.43,0.89,1.40,0.91,2.30,8.56,11.32,14.55,30.1,47.4,77.5
"VAN_DER_GULIK, DAVID",Los Angeles,49,340:53,2,11,8,13,54,69,81,3.70,0.35,1.94,1.41,2.29,9.50,12.14,14.26,9.5,52.4,61.9
"GABORIK, MARIAN",Los Angeles,470,6660:41,126,127,87,253,1030,1351,1666,12.23,1.14,1.14,0.78,2.28,9.28,12.17,15.01,38.1,38.4,76.4
"GETZLAF, RYAN",Anaheim,571,8510:33,100,223,137,323,843,1212,1522,11.86,0.70,1.57,0.97,2.28,5.94,8.54,10.73,23.5,52.3,75.8
"OVECHKIN, ALEX",Washington,595,9151:39,181,166,120,347,1848,2657,3800,9.79,1.19,1.09,0.79,2.27,12.12,17.42,24.91,40.4,37.1,77.5
"HALL, TAYLOR",Edmonton,299,4439:00,58,110,66,168,678,922,1247,8.55,0.78,1.49,0.89,2.27,9.16,12.46,16.86,28.6,54.2,82.8
"PERRY, COREY",Anaheim,584,8601:06,160,165,113,325,1344,1865,2276,11.90,1.12,1.15,0.79,2.27,9.38,13.01,15.88,37.0,38.2,75.2
"IGGULDEN, MIKE",NY Islanders,12,132:42,1,4,3,5,16,25,33,6.25,0.45,1.81,1.36,2.26,7.23,11.30,14.92,16.7,66.7,83.3
"WILSON, KYLE",Nashville,39,345:31,4,9,5,13,34,48,64,11.76,0.69,1.56,0.87,2.26,5.90,8.34,11.11,25.0,56.2,81.2
"VANEK, THOMAS",Minnesota,580,7448:40,119,160,105,279,1001,1366,1711,11.89,0.96,1.29,0.85,2.25,8.06,11.00,13.78,32.1,43.1,75.2
