name,team,gp,toi,g,a,firsta,points,shots,ifenwick,icorsi,shpct,g_60,a_60,firsta_60,points_60,shots_60,ifenwick_60,icorsi_60,igp,iap,ipp
"VARONE, PHILIP",Ottawa,6,50:41,1,2,2,3,2,2,3,50.00,1.18,2.37,2.37,3.55,2.37,2.37,3.55,33.3,66.7,100.0
"BJORKSTRAND, OLIVER",Columbus,12,161:09,4,4,2,8,25,30,42,16.00,1.49,1.49,0.74,2.98,9.31,11.17,15.64,44.4,44.4,88.9
"JAGR, JAROMIR",Florida,79,1089:49,20,29,16,49,101,149,181,19.80,1.10,1.60,0.88,2.70,5.56,8.20,9.96,29.9,43.3,73.1
"MCDAVID, CONNOR",Edmonton,45,624:55,12,16,9,28,74,95,107,16.22,1.15,1.54,0.86,2.69,7.10,9.12,10.27,34.3,45.7,80.0
"HANLEY, JOEL",Montreal,10,137:21,0,6,3,6,9,14,16,0.00,0.00,2.62,1.31,2.62,3.93,6.12,6.99,0.0,75.0,75.0
"KANE, PATRICK",Chicago,82,1306:31,25,32,21,57,187,239,300,13.37,1.15,1.47,0.96,2.62,8.59,10.98,13.78,37.3,47.8,85.1
"RATTIE, TY",St. Louis,13,118:01,4,1,1,5,16,22,24,25.00,2.03,0.51,0.51,2.54,8.13,11.18,12.20,66.7,16.7,83.3
"KUZNETSOV, EVGENY",Washington,82,1159:45,11,38,28,49,142,183,223,7.75,0.57,1.97,1.45,2.54,7.35,9.47,11.54,17.2,59.4,76.6
"CROSBY, SIDNEY",Pittsburgh,80,1209:47,18,33,21,51,158,226,297,11.39,0.89,1.64,1.04,2.53,7.84,11.21,14.73,29.0,53.2,82.3
"SCHEIFELE, MARK",Winnipeg,71,1027:46,18,25,17,43,139,195,234,12.95,1.05,1.46,0.99,2.51,8.11,11.38,13.66,31.6,43.9,75.4
"WHEELER, BLAKE",Winnipeg,82,1153:09,16,32,26,48,189,259,325,8.47,0.83,1.67,1.35,2.50,9.83,13.48,16.91,26.7,53.3,80.0
"CAMMALLERI, MIKE",New Jersey,42,611:21,10,15,14,25,64,79,92,15.62,0.98,1.47,1.37,2.45,6.28,7.75,9.03,31.2,46.9,78.1
"THORNTON, JOE",San Jose,82,1121:36,8,37,17,45,75,105,125,10.67,0.43,1.98,0.91,2.41,4.01,5.62,6.69,12.3,56.9,69.2
"ATHANASIOU, ANDREAS",Detroit,37,302:26,7,5,2,12,49,66,78,14.29,1.39,0.99,0.40,2.38,9.72,13.09,15.47,50.0,35.7,85.7
"COLBORNE, JOE",Calgary,73,903:53,13,22,13,35,73,90,118,17.81,0.86,1.46,0.86,2.32,4.85,5.97,7.83,29.5,50.0,79.5
"HALL, TAYLOR",Edmonton,82,1247:27,18,30,24,48,214,279,355,8.41,0.87,1.44,1.15,2.31,10.29,13.42,17.07,31.6,52.6,84.2
"HUBERDEAU, JONATHAN",Florida,76,1065:54,13,28,17,41,132,167,197,9.85,0.73,1.58,0.96,2.31,7.43,9.40,11.09,22.8,49.1,71.9
"TARASENKO, VLADIMIR",St. Louis,80,1126:52,22,21,11,43,209,272,385,10.53,1.17,1.12,0.59,2.29,11.13,14.48,20.50,41.5,39.6,81.1
"GAUDREAU, JOHNNY",Calgary,79,1194:53,18,27,16,45,136,185,238,13.24,0.90,1.36,0.80,2.26,6.83,9.29,11.95,31.6,47.4,78.9
"THOMAS, CHRISTIAN",Arizona,6,53:08,0,2,2,2,9,9,12,0.00,0.00,2.26,2.26,2.26,10.16,10.16,13.55,0.0,100.0,100.0
"HOFFMAN, MIKE",Ottawa,78,1064:17,17,23,14,40,160,214,294,10.62,0.96,1.30,0.79,2.25,9.02,12.06,16.57,34.7,46.9,81.6
"BARKOV, ALEKSANDER",Florida,66,907:50,17,17,11,34,122,155,183,13.93,1.12,1.12,0.73,2.25,8.06,10.24,12.09,34.0,34.0,68.0
"TAVARES, JOHN",NY Islanders,78,1209:05,22,23,20,45,161,219,296,13.66,1.09,1.14,0.99,2.23,7.99,10.87,14.69,41.5,43.4,84.9
"JOKINEN, JUSSI",Florida,81,996:14,11,26,14,37,108,138,168,10.19,0.66,1.57,0.84,2.23,6.50,8.31,10.12,20.8,49.1,69.8
"HANSEN, JANNIK",Vancouver,67,890:25,18,15,11,33,95,126,151,18.95,1.21,1.01,0.74,2.22,6.40,8.49,10.18,40.0,33.3,73.3
