name,team,gp,toi,g,a,firsta,points,shots,ifenwick,icorsi,shpct,g_60,a_60,firsta_60,points_60,shots_60,ifenwick_60,icorsi_60,igp,iap,ipp
"MACHACEK, SPENCER",Winnipeg,13,96:42,2,7,4,9,12,16,24,16.67,1.24,4.34,2.48,5.58,7.45,9.93,14.89,20.0,70.0,90.0
"MAXWELL, BEN",Winnipeg,15,94:14,1,5,4,6,10,11,14,10.00,0.64,3.18,2.55,3.82,6.37,7.00,8.91,16.7,83.3,100.0
"BJORKSTRAND, OLIVER",Columbus,12,161:09,4,4,2,8,25,30,42,16.00,1.49,1.49,0.74,2.98,9.31,11.17,15.64,44.4,44.4,88.9
"CROSBY, SIDNEY",Pittsburgh,295,4459:27,71,141,93,212,617,842,1045,11.51,0.96,1.90,1.25,2.85,8.30,11.33,14.06,27.2,54.0,81.2
"MCDAVID, CONNOR",Edmonton,45,624:55,12,16,9,28,74,95,107,16.22,1.15,1.54,0.86,2.69,7.10,9.12,10.27,34.3,45.7,80.0
"HANLEY, JOEL",Montreal,10,137:21,0,6,3,6,9,14,16,0.00,0.00,2.62,1.31,2.62,3.93,6.12,6.99,0.0,75.0,75.0
"BENN, JAMIE",Dallas,357,4992:46,91,123,61,214,770,1080,1410,11.82,1.09,1.48,0.73,2.57,9.25,12.98,16.94,33.3,45.1,78.4
"MALKIN, EVGENI",Pittsburgh,292,4240:34,80,100,69,180,571,776,985,14.01,1.13,1.41,0.98,2.55,8.08,10.98,13.94,35.9,44.8,80.7
"ALIU, AKIM",Calgary,7,71:55,2,1,0,3,5,6,9,40.00,1.67,0.83,0.00,2.50,4.17,5.01,7.51,66.7,33.3,100.0
"SEGUIN, TYLER",Dallas,352,5032:46,98,109,73,207,853,1167,1494,11.49,1.17,1.30,0.87,2.47,10.17,13.91,17.81,34.3,38.1,72.4
"HALL, TAYLOR",Edmonton,316,4732:08,66,125,83,191,745,998,1317,8.86,0.84,1.58,1.05,2.42,9.45,12.65,16.70,29.6,56.1,85.7
"TARASENKO, VLADIMIR",St. Louis,259,3424:41,65,73,44,138,573,820,1111,11.34,1.14,1.28,0.77,2.42,10.04,14.37,19.46,37.6,42.2,79.8
"DUPUIS, PASCAL",Pittsburgh,203,2784:49,48,64,35,112,446,611,788,10.76,1.03,1.38,0.75,2.41,9.61,13.16,16.98,30.6,40.8,71.3
"ATHANASIOU, ANDREAS",Detroit,37,302:26,7,5,2,12,49,66,78,14.29,1.39,0.99,0.40,2.38,9.72,13.09,15.47,50.0,35.7,85.7
"KANE, PATRICK",Chicago,341,5299:36,89,121,88,210,763,1016,1313,11.66,1.01,1.37,1.00,2.38,8.64,11.50,14.87,33.2,45.1,78.4
"RADULOV, ALEXANDER",Nashville,9,153:33,3,3,2,6,20,26,32,15.00,1.17,1.17,0.78,2.34,7.82,10.16,12.50,33.3,33.3,66.7
"BITZ, BYRON",Vancouver,10,104:06,1,3,2,4,6,8,10,16.67,0.58,1.73,1.15,2.31,3.46,4.61,5.76,25.0,75.0,100.0
"PALAT, ONDREJ",Tampa Bay,232,2974:08,38,76,46,114,337,472,625,11.28,0.77,1.53,0.93,2.30,6.80,9.52,12.61,23.3,46.6,69.9
"STAMKOS, STEVEN",Tampa Bay,326,4954:04,111,78,55,189,663,938,1207,16.74,1.34,0.94,0.67,2.29,8.03,11.36,14.62,44.0,31.0,75.0
"TOEWS, JONATHAN",Chicago,343,4904:40,83,102,64,185,626,785,937,13.26,1.02,1.25,0.78,2.26,7.66,9.60,11.46,33.2,40.8,74.0
"PACIORETTY, MAX",Montreal,358,4882:41,97,87,53,184,976,1326,1694,9.94,1.19,1.07,0.65,2.26,11.99,16.29,20.82,40.8,36.6,77.3
"PASTRNAK, DAVID",Boston,97,1206:09,21,24,12,45,173,233,301,12.14,1.04,1.19,0.60,2.24,8.61,11.59,14.97,37.5,42.9,80.4
"TAVARES, JOHN",NY Islanders,349,5524:45,94,109,84,203,773,1038,1359,12.16,1.02,1.18,0.91,2.20,8.39,11.27,14.76,35.9,41.6,77.5
"EBERLE, JORDAN",Edmonton,356,5165:09,84,105,70,189,617,835,1069,13.61,0.98,1.22,0.81,2.20,7.17,9.70,12.42,34.7,43.4,78.1
"ST._LOUIS, MARTIN",NY Rangers,280,4403:45,64,97,57,161,468,643,808,13.68,0.87,1.32,0.78,2.19,6.38,8.76,11.01,28.4,43.1,71.6
"HUDLER, JIRI",Florida,348,4699:56,70,101,63,171,396,556,683,17.68,0.89,1.29,0.80,2.18,5.06,7.10,8.72,30.6,44.1,74.7
"DUCHENE, MATT",Colorado,334,4784:25,72,101,61,173,653,884,1121,11.03,0.90,1.27,0.77,2.17,8.19,11.09,14.06,34.0,47.6,81.6
