name,team,gp,toi,g,a,firsta,points,shots,ifenwick,icorsi,shpct,g_60,a_60,firsta_60,points_60,shots_60,ifenwick_60,icorsi_60,igp,iap,ipp
"RYCHEL, KERBY",Columbus,5,52:49,0,3,3,3,4,7,10,0.00,0.00,3.41,3.41,3.41,4.54,7.95,11.36,0.0,100.0,100.0
"JOHNSON, TYLER",Tampa Bay,77,960:16,18,30,20,48,160,204,261,11.25,1.12,1.87,1.25,3.00,10.00,12.75,16.31,28.1,46.9,75.0
"PALAT, ONDREJ",Tampa Bay,75,928:08,9,36,18,45,108,153,210,8.33,0.58,2.33,1.16,2.91,6.98,9.89,13.58,14.5,58.1,72.6
"NASH, RICK",NY Rangers,79,1004:20,29,19,14,48,226,284,368,12.83,1.73,1.14,0.84,2.87,13.50,16.97,21.98,49.2,32.2,81.4
"BENN, JAMIE",Dallas,82,1122:33,21,32,19,53,171,239,324,12.28,1.12,1.71,1.02,2.83,9.14,12.77,17.32,31.3,47.8,79.1
"TARASENKO, VLADIMIR",St. Louis,77,1074:13,25,25,12,50,192,280,385,13.02,1.40,1.40,0.67,2.79,10.72,15.64,21.50,39.7,39.7,79.4
"DANO, MARKO",Columbus,35,446:11,8,12,7,20,80,98,123,10.00,1.08,1.61,0.94,2.69,10.76,13.18,16.54,33.3,50.0,83.3
"SEGUIN, TYLER",Dallas,71,1021:14,21,24,21,45,171,234,299,12.28,1.23,1.41,1.23,2.64,10.05,13.75,17.57,36.2,41.4,77.6
"KUCHEROV, NIKITA",Tampa Bay,82,989:18,23,20,13,43,149,201,247,15.44,1.39,1.21,0.79,2.61,9.04,12.19,14.98,32.9,28.6,61.4
"MCDONALD, COLIN",NY Islanders,18,184:56,2,6,4,8,28,38,47,7.14,0.65,1.95,1.30,2.60,9.08,12.33,15.25,25.0,75.0,100.0
"GETZLAF, RYAN",Anaheim,77,1089:02,18,29,21,47,126,191,240,14.29,0.99,1.60,1.16,2.59,6.94,10.52,13.22,32.7,52.7,85.5
"STONE, MARK",Ottawa,80,1003:55,18,25,15,43,111,157,188,16.22,1.08,1.49,0.90,2.57,6.63,9.38,11.24,33.3,46.3,79.6
"HUDLER, JIRI",Calgary,78,1062:13,17,28,19,45,97,144,176,17.53,0.96,1.58,1.07,2.54,5.48,8.13,9.94,34.0,56.0,90.0
"HOFFMAN, MIKE",Ottawa,79,936:45,22,17,12,39,157,205,288,14.01,1.41,1.09,0.77,2.50,10.06,13.13,18.45,43.1,33.3,76.5
"PASTRNAK, DAVID",Boston,46,534:49,7,15,7,22,76,111,144,9.21,0.79,1.68,0.79,2.47,8.53,12.45,16.16,25.9,55.6,81.5
"TOFFOLI, TYLER",Los Angeles,76,878:15,14,22,14,36,160,218,277,8.75,0.96,1.50,0.96,2.46,10.93,14.89,18.92,27.5,43.1,70.6
"STROME, RYAN",NY Islanders,81,939:41,14,24,19,38,136,167,210,10.29,0.89,1.53,1.21,2.43,8.68,10.66,13.41,23.7,40.7,64.4
"CARTER, JEFF",Los Angeles,82,1048:46,15,27,14,42,158,240,300,9.49,0.86,1.54,0.80,2.40,9.04,13.73,17.16,29.4,52.9,82.4
"MALKIN, EVGENI",Pittsburgh,69,978:13,17,22,11,39,128,185,233,13.28,1.04,1.35,0.67,2.39,7.85,11.35,14.29,35.4,45.8,81.2
