name,team,gp,toi,g,a,firsta,points,shots,ifenwick,icorsi,shpct,g_60,a_60,firsta_60,points_60,shots_60,ifenwick_60,icorsi_60,igp,iap,ipp
"CROSBY, SIDNEY",Pittsburgh,99,1436:40,37,63,42,100,233,302,374,15.88,1.55,2.63,1.75,4.18,9.73,12.61,15.62,31.4,53.4,84.7
"CHIASSON, ALEX",Dallas,7,86:57,5,1,1,6,10,13,17,50.00,3.45,0.69,0.69,4.14,6.90,8.97,11.73,83.3,16.7,100.0
"MACHACEK, SPENCER",Winnipeg,23,172:12,2,7,4,9,19,24,35,10.53,0.70,2.44,1.39,3.14,6.62,8.36,12.20,20.0,70.0,90.0
"GALLAGHER, BRENDAN",Montreal,44,496:52,12,12,8,24,99,124,176,12.12,1.45,1.45,0.97,2.90,11.95,14.97,21.25,34.3,34.3,68.6
"GALCHENYUK, ALEX",Montreal,48,526:09,9,16,12,25,66,95,120,13.64,1.03,1.82,1.37,2.85,7.53,10.83,13.68,28.1,50.0,78.1
"MALKIN, EVGENI",Pittsburgh,149,2158:44,42,57,39,99,360,478,601,11.67,1.17,1.58,1.08,2.75,10.01,13.29,16.70,34.4,46.7,81.1
"HARJU, JOHAN",Tampa Bay,10,68:13,1,2,2,3,13,16,20,7.69,0.88,1.76,1.76,2.64,11.43,14.07,17.59,25.0,50.0,75.0
"TOEWS, JONATHAN",Chicago,186,2714:36,57,61,41,118,409,503,608,13.94,1.26,1.35,0.91,2.61,9.04,11.12,13.44,35.4,37.9,73.3
"STAMKOS, STEVEN",Tampa Bay,212,3317:01,80,62,40,142,475,662,848,16.84,1.45,1.12,0.72,2.57,8.59,11.97,15.34,43.5,33.7,77.2
"CONACHER, CORY",Ottawa,47,543:57,9,14,7,23,61,72,98,14.75,0.99,1.54,0.77,2.54,6.73,7.94,10.81,30.0,46.7,76.7
"JOHNSON, TYLER",Tampa Bay,14,143:05,3,3,2,6,8,16,20,37.50,1.26,1.26,0.84,2.52,3.35,6.71,8.39,42.9,42.9,85.7
"SEDIN, DANIEL",Vancouver,201,2840:37,45,74,46,119,453,603,765,9.93,0.95,1.56,0.97,2.51,9.57,12.74,16.16,30.4,50.0,80.4
"ROUSSEL, ANTOINE",Dallas,39,334:41,7,7,4,14,45,58,66,15.56,1.25,1.25,0.72,2.51,8.07,10.40,11.83,41.2,41.2,82.4
"ALIU, AKIM",Calgary,7,71:55,2,1,0,3,5,6,9,40.00,1.67,0.83,0.00,2.50,4.17,5.01,7.51,66.7,33.3,100.0
"SEDIN, HENRIK",Vancouver,212,3055:11,21,105,62,126,238,301,395,8.82,0.41,2.06,1.22,2.47,4.67,5.91,7.76,12.9,64.4,77.3
