name,team,gp,toi,g,a,firsta,points,shots,ifenwick,icorsi,shpct,g_60,a_60,firsta_60,points_60,shots_60,ifenwick_60,icorsi_60,igp,iap,ipp
"CHIASSON, ALEX",Dallas,7,86:57,5,1,1,6,10,13,17,50.00,3.45,0.69,0.69,4.14,6.90,8.97,11.73,83.3,16.7,100.0
"CROSBY, SIDNEY",Pittsburgh,180,2615:00,70,96,64,166,430,559,678,16.28,1.61,2.20,1.47,3.81,9.87,12.83,15.56,35.5,48.7,84.3
"VESCE, RYAN",San Jose,9,88:28,3,2,1,5,17,21,26,17.65,2.03,1.36,0.68,3.39,11.53,14.24,17.63,50.0,33.3,83.3
"MACHACEK, SPENCER",Winnipeg,23,172:12,2,7,4,9,19,24,35,10.53,0.70,2.44,1.39,3.14,6.62,8.36,12.20,20.0,70.0,90.0
"GALLAGHER, BRENDAN",Montreal,44,496:52,12,12,8,24,99,124,176,12.12,1.45,1.45,0.97,2.90,11.95,14.97,21.25,34.3,34.3,68.6
"GALCHENYUK, ALEX",Montreal,48,526:09,9,16,12,25,66,95,120,13.64,1.03,1.82,1.37,2.85,7.53,10.83,13.68,28.1,50.0,78.1
"SEDIN, HENRIK",Vancouver,294,4217:52,40,158,90,198,357,448,580,11.20,0.57,2.25,1.28,2.82,5.08,6.37,8.25,16.1,63.7,79.8
"SEDIN, DANIEL",Vancouver,264,3721:28,64,110,71,174,597,812,1029,10.72,1.03,1.77,1.14,2.81,9.63,13.09,16.59,29.2,50.2,79.5
"MALKIN, EVGENI",Pittsburgh,216,3121:38,54,84,56,138,500,670,847,10.80,1.04,1.61,1.08,2.65,9.61,12.88,16.28,31.6,49.1,80.7
"PETTINGER, MATT",Vancouver,9,68:01,1,2,2,3,8,12,13,12.50,0.88,1.76,1.76,2.65,7.06,10.59,11.47,25.0,50.0,75.0
"HARJU, JOHAN",Tampa Bay,10,68:13,1,2,2,3,13,16,20,7.69,0.88,1.76,1.76,2.64,11.43,14.07,17.59,25.0,50.0,75.0
"SEMIN, ALEXANDER",Carolina,258,3600:37,72,82,55,154,595,883,1244,12.10,1.20,1.37,0.92,2.57,9.91,14.71,20.73,34.0,38.7,72.6
"CONACHER, CORY",Ottawa,47,543:57,9,14,7,23,61,72,98,14.75,0.99,1.54,0.77,2.54,6.73,7.94,10.81,30.0,46.7,76.7
