name,team,gp,toi,g,a,firsta,points,shots,ifenwick,icorsi,shpct,g_60,a_60,firsta_60,points_60,shots_60,ifenwick_60,icorsi_60,igp,iap,ipp
"SEDIN, DANIEL",Vancouver,63,880:51,19,36,25,55,144,209,264,13.19,1.29,2.45,1.70,3.75,9.81,14.24,17.98,26.8,50.7,77.5
"SEDIN, HENRIK",Vancouver,82,1162:41,19,53,28,72,119,147,185,15.97,0.98,2.74,1.44,3.72,6.14,7.59,9.55,22.4,62.4,84.7
"OVECHKIN, ALEX",Washington,72,1125:27,31,33,24,64,245,337,522,12.65,1.65,1.76,1.28,3.41,13.06,17.97,27.83,39.7,42.3,82.1
"VESCE, RYAN",San Jose,9,88:28,3,2,1,5,17,21,26,17.65,2.03,1.36,0.68,3.39,11.53,14.24,17.63,50.0,33.3,83.3
"CROSBY, SIDNEY",Pittsburgh,81,1178:20,33,33,22,66,197,257,304,16.75,1.68,1.68,1.12,3.36,10.03,13.09,15.48,41.8,41.8,83.5
"SEMIN, ALEXANDER",Washington,73,1015:04,30,23,15,53,201,277,383,14.93,1.77,1.36,0.89,3.13,11.88,16.37,22.64,42.3,32.4,74.6
"BACKSTROM, NICKLAS",Washington,82,1203:02,21,38,22,59,164,220,275,12.80,1.05,1.90,1.10,2.94,8.18,10.97,13.72,25.0,45.2,70.2
"GABORIK, MARIAN",NY Rangers,76,1158:31,26,30,23,56,175,236,301,14.86,1.35,1.55,1.19,2.90,9.06,12.22,15.59,40.0,46.2,86.2
"HEMSKY, ALES",Edmonton,22,283:24,3,10,5,13,38,50,61,7.89,0.64,2.12,1.06,2.75,8.05,10.59,12.91,18.8,62.5,81.2
"WOLSKI, WOJTEK",Arizona,80,1117:52,18,33,20,51,145,193,230,12.41,0.97,1.77,1.07,2.74,7.78,10.36,12.34,29.5,54.1,83.6
"KOVALCHUK, ILYA",New Jersey,76,1155:47,28,24,17,52,177,234,321,15.82,1.45,1.25,0.88,2.70,9.19,12.15,16.66,45.2,38.7,83.9
"ENNIS, TYLER",Buffalo,10,111:53,3,2,0,5,20,24,27,15.00,1.61,1.07,0.00,2.68,10.73,12.87,14.48,42.9,28.6,71.4
"STEWART, CHRIS",Colorado,77,1033:43,23,23,14,46,171,220,255,13.45,1.33,1.33,0.81,2.67,9.93,12.77,14.80,39.0,39.0,78.0
"UPSHALL, SCOTTIE",Arizona,49,606:46,16,11,5,27,97,126,162,16.49,1.58,1.09,0.49,2.67,9.59,12.46,16.02,57.1,39.3,96.4
"THORNTON, JOE",San Jose,79,1128:13,12,38,23,50,81,108,138,14.81,0.64,2.02,1.22,2.66,4.31,5.74,7.34,19.4,61.3,80.6
"MCLAREN, FRAZER",San Jose,23,135:34,1,5,4,6,13,18,19,7.69,0.44,2.21,1.77,2.66,5.75,7.97,8.41,12.5,62.5,75.0
"ELIAS, PATRIK",New Jersey,57,746:49,14,19,13,33,97,129,165,14.43,1.12,1.53,1.04,2.65,7.79,10.36,13.26,32.6,44.2,76.7
"PETTINGER, MATT",Vancouver,9,68:01,1,2,2,3,8,12,13,12.50,0.88,1.76,1.76,2.65,7.06,10.59,11.47,25.0,50.0,75.0
"KANE, PATRICK",Chicago,82,1213:38,21,32,20,53,194,264,337,10.82,1.04,1.58,0.99,2.62,9.59,13.05,16.66,32.8,50.0,82.8
"FEHR, ERIC",Washington,69,721:55,16,15,9,31,118,159,208,13.56,1.33,1.25,0.75,2.58,9.81,13.21,17.29,38.1,35.7,73.8
"BOZAK, TYLER",Toronto,37,489:58,6,15,6,21,33,43,62,18.18,0.73,1.84,0.73,2.57,4.04,5.27,7.59,23.1,57.7,80.8
"ERIKSSON, LOUI",Dallas,81,1132:13,17,30,11,47,146,203,247,11.64,0.90,1.59,0.58,2.49,7.74,10.76,13.09,30.4,53.6,83.9
"HORTON, NATHAN",Florida,65,964:01,9,31,21,40,101,140,192,8.91,0.56,1.93,1.31,2.49,6.29,8.71,11.95,17.0,58.5,75.5
"MARLEAU, PATRICK",San Jose,82,1161:39,24,24,13,48,172,234,286,13.95,1.24,1.24,0.67,2.48,8.88,12.09,14.77,36.9,36.9,73.8
"AUCOIN, KEITH",Washington,9,73:09,1,2,1,3,3,4,7,33.33,0.82,1.64,0.82,2.46,2.46,3.28,5.74,25.0,50.0,75.0
"GETZLAF, RYAN",Anaheim,66,1049:38,11,32,21,43,92,128,161,11.96,0.63,1.83,1.20,2.46,5.26,7.32,9.20,19.6,57.1,76.8
"PENNER, DUSTIN",Edmonton,81,1058:53,22,21,14,43,137,192,239,16.06,1.25,1.19,0.79,2.44,7.76,10.88,13.54,40.7,38.9,79.6
"MALKIN, EVGENI",Pittsburgh,67,962:54,12,27,17,39,140,192,246,8.57,0.75,1.68,1.06,2.43,8.72,11.96,15.33,24.5,55.1,79.6
