name,team,gp,toi,g,a,firsta,points,shots,ifenwick,icorsi,shpct,g_60,a_60,firsta_60,points_60,shots_60,ifenwick_60,icorsi_60,igp,iap,ipp
"MACHACEK, SPENCER",Winnipeg,13,96:42,2,7,4,9,12,16,24,16.67,1.24,4.34,2.48,5.58,7.45,9.93,14.89,20.0,70.0,90.0
"CROSBY, SIDNEY",Pittsburgh,58,841:04,17,45,31,62,129,168,210,13.18,1.21,3.21,2.21,4.42,9.20,11.98,14.98,21.8,57.7,79.5
"CHIASSON, ALEX",Dallas,7,86:57,5,1,1,6,10,13,17,50.00,3.45,0.69,0.69,4.14,6.90,8.97,11.73,83.3,16.7,100.0
"MAXWELL, BEN",Winnipeg,15,94:14,1,5,4,6,10,11,14,10.00,0.64,3.18,2.55,3.82,6.37,7.00,8.91,16.7,83.3,100.0
"MALKIN, EVGENI",Pittsburgh,106,1591:01,35,44,33,79,264,348,430,13.26,1.32,1.66,1.24,2.98,9.96,13.12,16.22,36.8,46.3,83.2
"GALLAGHER, BRENDAN",Montreal,44,496:52,12,12,8,24,99,124,176,12.12,1.45,1.45,0.97,2.90,11.95,14.97,21.25,34.3,34.3,68.6
"GALCHENYUK, ALEX",Montreal,48,526:09,9,16,12,25,66,95,120,13.64,1.03,1.82,1.37,2.85,7.53,10.83,13.68,28.1,50.0,78.1
"TOEWS, JONATHAN",Chicago,106,1528:05,37,34,20,71,246,302,362,15.04,1.45,1.33,0.79,2.79,9.66,11.86,14.21,40.2,37.0,77.2
"EBERLE, JORDAN",Edmonton,126,1775:36,35,46,32,81,231,310,384,15.15,1.18,1.55,1.08,2.74,7.81,10.48,12.98,36.1,47.4,83.5
"LUPUL, JOFFREY",Toronto,82,1166:40,23,30,19,53,171,231,305,13.45,1.18,1.54,0.98,2.73,8.79,11.88,15.69,31.5,41.1,72.6
"DUPUIS, PASCAL",Pittsburgh,130,1792:18,35,46,21,81,298,415,543,11.74,1.17,1.54,0.70,2.71,9.98,13.89,18.18,32.4,42.6,75.0
"KADRI, NAZEM",Toronto,69,878:27,14,25,21,39,105,158,214,13.33,0.96,1.71,1.43,2.66,7.17,10.79,14.62,28.0,50.0,78.0
"STAMKOS, STEVEN",Tampa Bay,130,2142:28,55,38,24,93,304,413,531,18.09,1.54,1.06,0.67,2.60,8.51,11.57,14.87,46.2,31.9,78.2
"PACIORETTY, MAX",Montreal,123,1677:10,35,36,23,71,346,460,571,10.12,1.25,1.29,0.82,2.54,12.38,16.46,20.43,38.5,39.6,78.0
"CONACHER, CORY",Ottawa,47,543:57,9,14,7,23,61,72,98,14.75,0.99,1.54,0.77,2.54,6.73,7.94,10.81,30.0,46.7,76.7
"KUNITZ, CHRIS",Pittsburgh,130,1784:56,32,43,23,75,241,338,426,13.28,1.08,1.45,0.77,2.52,8.10,11.36,14.32,26.9,36.1,63.0
"HALL, TAYLOR",Edmonton,106,1525:49,25,39,29,64,261,355,468,9.58,0.98,1.53,1.14,2.52,10.26,13.96,18.40,32.9,51.3,84.2
"JOHNSON, TYLER",Tampa Bay,14,143:05,3,3,2,6,8,16,20,37.50,1.26,1.26,0.84,2.52,3.35,6.71,8.39,42.9,42.9,85.7
"ROUSSEL, ANTOINE",Dallas,39,334:41,7,7,4,14,45,58,66,15.56,1.25,1.25,0.72,2.51,8.07,10.40,11.83,41.2,41.2,82.4
"ALIU, AKIM",Calgary,7,71:55,2,1,0,3,5,6,9,40.00,1.67,0.83,0.00,2.50,4.17,5.01,7.51,66.7,33.3,100.0
"WHITNEY, RAY",Dallas,114,1610:18,21,46,33,67,170,226,300,12.35,0.78,1.71,1.23,2.50,6.33,8.42,11.18,24.7,54.1,78.8
