name,team,gp,toi,g,a,firsta,points,shots,ifenwick,icorsi,shpct,g_60,a_60,firsta_60,points_60,shots_60,ifenwick_60,icorsi_60,igp,iap,ipp
"CROSBY, SIDNEY",Pittsburgh,63,892:20,25,37,23,62,147,187,236,17.01,1.68,2.49,1.55,4.17,9.88,12.57,15.87,35.2,52.1,87.3
"BAERTSCHI, SVEN",Calgary,5,50:31,3,0,0,3,10,11,14,30.00,3.56,0.00,0.00,3.56,11.88,13.06,16.63,100.0,0.0,100.0
"MACHACEK, SPENCER",Winnipeg,23,172:12,2,7,4,9,19,24,35,10.53,0.70,2.44,1.39,3.14,6.62,8.36,12.20,20.0,70.0,90.0
"MALKIN, EVGENI",Pittsburgh,118,1713:29,38,48,34,86,294,381,485,12.93,1.33,1.68,1.19,3.01,10.29,13.34,16.98,37.6,47.5,85.1
"FOLIGNO, MARCUS",Buffalo,14,199:48,4,6,1,10,20,33,40,20.00,1.20,1.80,0.30,3.00,6.01,9.91,12.01,22.2,33.3,55.6
"STAMKOS, STEVEN",Tampa Bay,164,2531:24,66,46,31,112,371,512,658,17.79,1.56,1.09,0.73,2.65,8.79,12.14,15.60,45.5,31.7,77.2
"HARJU, JOHAN",Tampa Bay,10,68:13,1,2,2,3,13,16,20,7.69,0.88,1.76,1.76,2.64,11.43,14.07,17.59,25.0,50.0,75.0
"VAN_DER_GULIK, DAVID",Colorado,31,207:00,2,7,5,9,30,39,45,6.67,0.58,2.03,1.45,2.61,8.70,11.30,13.04,13.3,46.7,60.0
"SEDIN, DANIEL",Vancouver,154,2166:31,37,57,36,94,346,470,600,10.69,1.02,1.58,1.00,2.60,9.58,13.02,16.62,31.6,48.7,80.3
"COLBORNE, JOE",Toronto,11,139:14,1,5,2,6,8,10,10,12.50,0.43,2.15,0.86,2.59,3.45,4.31,4.31,12.5,62.5,75.0
"BENN, JAMIE",Dallas,140,1909:56,33,49,21,82,282,387,514,11.70,1.04,1.54,0.66,2.58,8.86,12.16,16.15,34.7,51.6,86.3
"GIROUX, CLAUDE",Philadelphia,159,2169:44,31,62,40,93,268,359,476,11.57,0.86,1.71,1.11,2.57,7.41,9.93,13.16,26.7,53.4,80.2
"SEDIN, HENRIK",Vancouver,164,2354:17,14,86,54,100,186,237,314,7.53,0.36,2.19,1.38,2.55,4.74,6.04,8.00,10.9,67.2,78.1
"EBERLE, JORDAN",Edmonton,147,2018:03,35,48,31,83,249,338,448,14.06,1.04,1.43,0.92,2.47,7.40,10.05,13.32,36.1,49.5,85.6
"KREJCI, DAVID",Boston,154,2205:29,29,61,39,90,212,292,383,13.68,0.79,1.66,1.06,2.45,5.77,7.94,10.42,26.4,55.5,81.8
"SPEZZA, JASON",Ottawa,142,2065:36,31,53,37,84,278,414,526,11.15,0.90,1.54,1.07,2.44,8.08,12.03,15.28,28.7,49.1,77.8
"LUCIC, MILAN",Boston,160,2219:04,39,51,29,90,242,347,488,16.12,1.05,1.38,0.78,2.43,6.54,9.38,13.19,32.2,42.1,74.4
"TOEWS, JONATHAN",Chicago,139,2055:46,39,44,33,83,297,363,435,13.13,1.14,1.28,0.96,2.42,8.67,10.59,12.70,33.1,37.3,70.3
"KANE, PATRICK",Chicago,155,2384:15,37,59,35,96,355,468,616,10.42,0.93,1.48,0.88,2.42,8.93,11.78,15.50,29.8,47.6,77.4
"DATSYUK, PAVEL",Detroit,126,1813:22,26,47,28,73,227,315,421,11.45,0.86,1.56,0.93,2.42,7.51,10.42,13.93,28.0,50.5,78.5
"ST._LOUIS, MARTIN",Tampa Bay,159,2559:48,41,62,38,103,324,443,553,12.65,0.96,1.45,0.89,2.41,7.59,10.38,12.96,29.7,44.9,74.6
"SHARP, PATRICK",Chicago,148,2102:12,41,43,23,84,392,511,647,10.46,1.17,1.23,0.66,2.40,11.19,14.58,18.47,37.3,39.1,76.4
"HORTON, NATHAN",Boston,126,1664:29,31,35,23,66,211,285,373,14.69,1.12,1.26,0.83,2.38,7.61,10.27,13.45,31.6,35.7,67.3
"KOPITAR, ANZE",Los Angeles,157,2303:16,31,60,38,91,302,423,543,10.26,0.81,1.56,0.99,2.37,7.87,11.02,14.15,27.2,52.6,79.8
"RADULOV, ALEXANDER",Nashville,9,153:33,3,3,2,6,20,26,32,15.00,1.17,1.17,0.78,2.34,7.82,10.16,12.50,33.3,33.3,66.7
"HALISCHUK, MATT",Nashville,100,973:23,17,21,11,38,111,143,173,15.32,1.05,1.29,0.68,2.34,6.84,8.81,10.66,39.5,48.8,88.4
"BITZ, BYRON",Vancouver,10,104:06,1,3,2,4,6,8,10,16.67,0.58,1.73,1.15,2.31,3.46,4.61,5.76,25.0,75.0,100.0
"FILPPULA, VALTTERI",Detroit,152,2097:49,29,51,31,80,195,279,372,14.87,0.83,1.46,0.89,2.29,5.58,7.98,10.64,27.4,48.1,75.5
"BERGERON, PATRICE",Boston,161,2073:12,29,50,34,79,287,398,520,10.10,0.84,1.45,0.98,2.29,8.31,11.52,15.05,26.4,45.5,71.8
"BURROWS, ALEX",Vancouver,152,2049:24,43,35,15,78,282,396,495,15.25,1.26,1.02,0.44,2.28,8.26,11.59,14.49,41.3,33.7,75.0
"ZETTERBERG, HENRIK",Detroit,162,2365:12,30,60,39,90,413,556,716,7.26,0.76,1.52,0.99,2.28,10.48,14.10,18.16,25.4,50.8,76.3
"NYQUIST, GUSTAV",Detroit,18,184:29,1,6,4,7,18,27,33,5.56,0.33,1.95,1.30,2.28,5.85,8.78,10.73,14.3,85.7,100.0
"SEMIN, ALEXANDER",Washington,141,1899:25,35,37,25,72,289,444,631,12.11,1.11,1.17,0.79,2.27,9.13,14.03,19.93,36.5,38.5,75.0
"AUCOIN, KEITH",Washington,28,264:08,3,7,3,10,18,26,38,16.67,0.68,1.59,0.68,2.27,4.09,5.91,8.63,21.4,50.0,71.4
