name,team,gp,toi,g,a,firsta,points,shots,ifenwick,icorsi,shpct,g_60,a_60,firsta_60,points_60,shots_60,ifenwick_60,icorsi_60,igp,iap,ipp
"CROSBY, SIDNEY",Pittsburgh,144,2070:40,58,70,45,128,344,444,540,16.86,1.68,2.03,1.30,3.71,9.97,12.87,15.65,38.7,46.7,85.3
"BAERTSCHI, SVEN",Calgary,5,50:31,3,0,0,3,10,11,14,30.00,3.56,0.00,0.00,3.56,11.88,13.06,16.63,100.0,0.0,100.0
"VESCE, RYAN",San Jose,9,88:28,3,2,1,5,17,21,26,17.65,2.03,1.36,0.68,3.39,11.53,14.24,17.63,50.0,33.3,83.3
"MACHACEK, SPENCER",Winnipeg,23,172:12,2,7,4,9,19,24,35,10.53,0.70,2.44,1.39,3.14,6.62,8.36,12.20,20.0,70.0,90.0
"FOLIGNO, MARCUS",Buffalo,14,199:48,4,6,1,10,20,33,40,20.00,1.20,1.80,0.30,3.00,6.01,9.91,12.01,22.2,33.3,55.6
"SEDIN, HENRIK",Vancouver,246,3516:58,33,139,82,172,305,384,499,10.82,0.56,2.37,1.40,2.93,5.20,6.55,8.51,15.5,65.3,80.8
"SEDIN, DANIEL",Vancouver,217,3047:22,56,93,61,149,490,679,864,11.43,1.10,1.83,1.20,2.93,9.65,13.37,17.01,29.8,49.5,79.3
"MALKIN, EVGENI",Pittsburgh,185,2676:23,50,75,51,125,434,573,731,11.52,1.12,1.68,1.14,2.80,9.73,12.85,16.39,33.3,50.0,83.3
"PETTINGER, MATT",Vancouver,9,68:01,1,2,2,3,8,12,13,12.50,0.88,1.76,1.76,2.65,7.06,10.59,11.47,25.0,50.0,75.0
"HARJU, JOHAN",Tampa Bay,10,68:13,1,2,2,3,13,16,20,7.69,0.88,1.76,1.76,2.64,11.43,14.07,17.59,25.0,50.0,75.0
"VAN_DER_GULIK, DAVID",Colorado,31,207:00,2,7,5,9,30,39,45,6.67,0.58,2.03,1.45,2.61,8.70,11.30,13.04,13.3,46.7,60.0
"COLBORNE, JOE",Toronto,11,139:14,1,5,2,6,8,10,10,12.50,0.43,2.15,0.86,2.59,3.45,4.31,4.31,12.5,62.5,75.0
"SEMIN, ALEXANDER",Washington,214,2914:29,65,60,40,125,490,721,1014,13.27,1.34,1.24,0.82,2.57,10.09,14.84,20.88,38.9,35.9,74.9
"STAMKOS, STEVEN",Tampa Bay,245,3608:47,85,69,44,154,524,714,928,16.22,1.41,1.15,0.73,2.56,8.71,11.87,15.43,42.1,34.2,76.2
"GABORIK, MARIAN",NY Rangers,220,3203:37,66,67,46,133,495,656,814,13.33,1.24,1.25,0.86,2.49,9.27,12.29,15.25,41.2,41.9,83.1
"KANE, PATRICK",Chicago,237,3597:53,58,91,55,149,549,732,953,10.56,0.97,1.52,0.92,2.48,9.16,12.21,15.89,30.9,48.4,79.3
"EBERLE, JORDAN",Edmonton,147,2018:03,35,48,31,83,249,338,448,14.06,1.04,1.43,0.92,2.47,7.40,10.05,13.32,36.1,49.5,85.6
"OVECHKIN, ALEX",Washington,228,3550:48,66,78,53,144,680,958,1422,9.71,1.12,1.32,0.90,2.43,11.49,16.19,24.03,36.5,43.1,79.6
"HORTON, NATHAN",Boston,191,2628:30,40,66,44,106,312,425,565,12.82,0.91,1.51,1.00,2.42,7.12,9.70,12.90,26.5,43.7,70.2
"ST._LOUIS, MARTIN",Tampa Bay,240,3734:03,58,92,53,150,492,678,825,11.79,0.93,1.48,0.85,2.41,7.91,10.89,13.26,29.7,47.2,76.9
"SHARP, PATRICK",Chicago,230,3191:39,58,69,39,127,580,761,947,10.00,1.09,1.30,0.73,2.39,10.90,14.31,17.80,34.1,40.6,74.7
"BENN, JAMIE",Dallas,221,2894:20,53,62,25,115,424,581,759,12.50,1.10,1.29,0.52,2.38,8.79,12.04,15.73,39.6,46.3,85.8
"LALIBERTE, DAVID",Philadelphia,11,76:12,2,1,1,3,8,13,16,25.00,1.57,0.79,0.79,2.36,6.30,10.24,12.60,50.0,25.0,75.0
"KANA, TOMAS",Columbus,6,50:56,0,2,1,2,3,4,6,0.00,0.00,2.36,1.18,2.36,3.53,4.71,7.07,0.0,100.0,100.0
"RADULOV, ALEXANDER",Nashville,9,153:33,3,3,2,6,20,26,32,15.00,1.17,1.17,0.78,2.34,7.82,10.16,12.50,33.3,33.3,66.7
"TOEWS, JONATHAN",Chicago,215,3155:55,53,70,50,123,424,531,635,12.50,1.01,1.33,0.95,2.34,8.06,10.10,12.07,29.8,39.3,69.1
"SPEZZA, JASON",Ottawa,202,2896:25,41,71,50,112,373,550,716,10.99,0.85,1.47,1.04,2.32,7.73,11.39,14.83,27.9,48.3,76.2
"WOLSKI, WOJTEK",Florida,184,2355:03,32,59,32,91,293,393,476,10.92,0.82,1.50,0.82,2.32,7.46,10.01,12.13,29.1,53.6,82.7
"AUCOIN, KEITH",Washington,37,337:17,4,9,4,13,21,30,45,19.05,0.71,1.60,0.71,2.31,3.74,5.34,8.01,22.2,50.0,72.2
"ERIKSSON, LOUI",Dallas,242,3481:11,43,90,46,133,384,522,641,11.20,0.74,1.55,0.79,2.29,6.62,9.00,11.05,26.5,55.6,82.1
"BACKSTROM, NICKLAS",Washington,200,2924:52,39,72,39,111,354,488,617,11.02,0.80,1.48,0.80,2.28,7.26,10.01,12.66,24.8,45.9,70.7
"NYQUIST, GUSTAV",Detroit,18,184:29,1,6,4,7,18,27,33,5.56,0.33,1.95,1.30,2.28,5.85,8.78,10.73,14.3,85.7,100.0
"DATSYUK, PAVEL",Detroit,206,3026:42,43,71,43,114,365,500,667,11.78,0.85,1.41,0.85,2.26,7.24,9.91,13.22,29.7,49.0,78.6
"WILSON, KYLE",Nashville,39,345:31,4,9,5,13,34,48,64,11.76,0.69,1.56,0.87,2.26,5.90,8.34,11.11,25.0,56.2,81.2
"BURROWS, ALEX",Vancouver,234,3119:53,62,55,27,117,445,604,746,13.93,1.19,1.06,0.52,2.25,8.56,11.62,14.35,37.8,33.5,71.3
"LUCIC, MILAN",Boston,210,2891:36,47,61,34,108,308,439,597,15.26,0.98,1.27,0.71,2.24,6.39,9.11,12.39,32.4,42.1,74.5
"HAGELIN, CARL",NY Rangers,64,883:34,12,21,10,33,120,155,197,10.00,0.81,1.43,0.68,2.24,8.15,10.53,13.38,25.5,44.7,70.2
"ELIAS, PATRIK",New Jersey,219,2894:14,39,69,44,108,345,443,573,11.30,0.81,1.43,0.91,2.24,7.15,9.18,11.88,28.7,50.7,79.4
"ZETTERBERG, HENRIK",Detroit,236,3439:55,44,84,55,128,630,852,1085,6.98,0.77,1.47,0.96,2.23,10.99,14.86,18.92,25.9,49.4,75.3
