name,team,gp,toi,g,a,firsta,points,shots,ifenwick,icorsi,shpct,g_60,a_60,firsta_60,points_60,shots_60,ifenwick_60,icorsi_60,igp,iap,ipp
"HUDON, CHARLES",Montreal,6,63:32,0,4,2,4,5,8,8,0.00,0.00,3.78,1.89,3.78,4.72,7.56,7.56,0.0,100.0,100.0
"GUENTZEL, JAKE",Pittsburgh,40,562:14,15,12,9,27,71,93,117,21.13,1.60,1.28,0.96,2.88,7.58,9.92,12.49,40.5,32.4,73.0
"MCDAVID, CONNOR",Edmonton,127,1934:51,33,58,38,91,264,346,407,12.50,1.02,1.80,1.18,2.82,8.19,10.73,12.62,29.5,51.8,81.2
"ERIKSSON_EK, JOEL",Minnesota,15,149:47,3,4,2,7,15,22,25,20.00,1.20,1.60,0.80,2.80,6.01,8.81,10.01,42.9,57.1,100.0
"BJORKSTRAND, OLIVER",Columbus,38,477:09,10,11,6,21,72,85,113,13.89,1.26,1.38,0.75,2.64,9.05,10.69,14.21,38.5,42.3,80.8
"BISSONNETTE, PAUL",Arizona,39,184:48,2,6,3,8,25,33,38,8.00,0.65,1.95,0.97,2.60,8.12,10.71,12.34,20.0,60.0,80.0
"SHEARY, CONOR",Pittsburgh,105,1226:04,23,29,12,52,175,227,288,13.14,1.13,1.42,0.59,2.54,8.56,11.11,14.09,34.3,43.3,77.6
"CROSBY, SIDNEY",Pittsburgh,312,4736:29,80,120,79,200,660,890,1113,12.12,1.01,1.52,1.00,2.53,8.36,11.27,14.10,32.7,49.0,81.6
"BENN, JAMIE",Dallas,322,4445:47,73,109,57,182,651,917,1197,11.21,0.99,1.47,0.77,2.46,8.79,12.38,16.15,31.5,47.0,78.4
"CORMIER, PATRICE",Winnipeg,12,74:13,0,3,1,3,4,4,9,0.00,0.00,2.43,0.81,2.43,3.23,3.23,7.28,0.0,150.0,150.0
"TARASENKO, VLADIMIR",St. Louis,303,4163:03,83,85,48,168,710,1000,1360,11.69,1.20,1.23,0.69,2.42,10.23,14.41,19.60,39.5,40.5,80.0
"MALKIN, EVGENI",Pittsburgh,248,3521:13,65,77,53,142,422,576,734,15.40,1.11,1.31,0.90,2.42,7.19,9.81,12.51,36.1,42.8,78.9
"GETZLAF, RYAN",Anaheim,305,4392:19,49,126,78,175,459,673,870,10.68,0.67,1.72,1.07,2.39,6.27,9.19,11.88,22.9,58.9,81.8
"KANE, PATRICK",Chicago,294,4641:18,85,98,66,183,675,890,1144,12.59,1.10,1.27,0.85,2.37,8.73,11.51,14.79,37.1,42.8,79.9
"SEGUIN, TYLER",Dallas,305,4415:14,80,92,66,172,721,981,1244,11.10,1.09,1.25,0.90,2.34,9.80,13.33,16.91,34.8,40.0,74.8
"LAINE, PATRIK",Winnipeg,73,1031:27,21,19,9,40,130,183,225,16.15,1.22,1.11,0.52,2.33,7.56,10.65,13.09,35.6,32.2,67.8
"ROBINSON, BUDDY",Ottawa,7,53:26,1,1,0,2,9,10,12,11.11,1.12,1.12,0.00,2.25,10.11,11.23,13.47,33.3,33.3,66.7
"BARBASHEV, IVAN",St. Louis,30,323:04,5,7,4,12,19,29,38,26.32,0.93,1.30,0.74,2.23,3.53,5.39,7.06,35.7,50.0,85.7
"PALAT, ONDREJ",Tampa Bay,293,3866:11,47,95,55,142,444,613,815,10.59,0.73,1.47,0.85,2.20,6.89,9.51,12.65,23.5,47.5,71.0
"PASTRNAK, DAVID",Boston,172,2273:41,39,44,26,83,345,473,614,11.30,1.03,1.16,0.69,2.19,9.10,12.48,16.20,35.8,40.4,76.1
"HALL, TAYLOR",New Jersey,282,4301:05,49,108,69,157,656,859,1132,7.47,0.68,1.51,0.96,2.19,9.15,11.98,15.79,26.5,58.4,84.9
"PERRY, COREY",Anaheim,312,4400:57,85,75,51,160,648,925,1168,13.12,1.16,1.02,0.70,2.18,8.83,12.61,15.92,40.5,35.7,76.2
"VANEK, THOMAS",Florida,300,3803:26,54,84,59,138,465,613,803,11.61,0.85,1.33,0.93,2.18,7.34,9.67,12.67,30.5,47.5,78.0
"HUDLER, JIRI",Dallas,257,3376:15,44,78,51,122,272,393,492,16.18,0.78,1.39,0.91,2.17,4.83,6.98,8.74,28.2,50.0,78.2
"FISCHER, CHRISTIAN",Arizona,7,83:33,3,0,0,3,10,12,15,30.00,2.15,0.00,0.00,2.15,7.18,8.62,10.77,100.0,0.0,100.0
"CARPENTER, RYAN",San Jose,12,112:01,2,2,2,4,18,20,21,11.11,1.07,1.07,1.07,2.14,9.64,10.71,11.25,33.3,33.3,66.7
"STAMKOS, STEVEN",Tampa Bay,213,3030:11,61,47,37,108,385,558,722,15.84,1.21,0.93,0.73,2.14,7.62,11.05,14.30,41.5,32.0,73.5
"WHEELER, BLAKE",Winnipeg,325,4552:30,61,101,73,162,714,976,1211,8.54,0.80,1.33,0.96,2.14,9.41,12.86,15.96,29.2,48.3,77.5
"BUCHNEVICH, PAVEL",NY Rangers,41,451:07,6,10,5,16,39,61,83,15.38,0.80,1.33,0.67,2.13,5.19,8.11,11.04,23.1,38.5,61.5
"TAVARES, JOHN",NY Islanders,296,4596:00,73,90,64,163,625,863,1150,11.68,0.95,1.17,0.84,2.13,8.16,11.27,15.01,33.0,40.7,73.8
