name,team,gp,toi,g,a,firsta,points,shots,ifenwick,icorsi,shpct,g_60,a_60,firsta_60,points_60,shots_60,ifenwick_60,icorsi_60,igp,iap,ipp
"JARNKROK, CALLE",Nashville,12,146:41,2,6,3,8,12,15,21,16.67,0.82,2.45,1.23,3.27,4.91,6.14,8.59,18.2,54.5,72.7
"GETZLAF, RYAN",Anaheim,77,1091:39,22,35,20,57,132,174,218,16.67,1.21,1.92,1.10,3.13,7.26,9.56,11.98,31.0,49.3,80.3
"MORIN, JEREMY",Chicago,24,211:08,5,6,5,11,43,57,73,11.63,1.42,1.71,1.42,3.13,12.22,16.20,20.75,38.5,46.2,84.6
"PERRY, COREY",Anaheim,81,1146:13,31,27,20,58,195,268,333,15.90,1.62,1.41,1.05,3.04,10.21,14.03,17.43,42.5,37.0,79.5
"CORMIER, PATRICE",Winnipeg,9,61:08,0,3,1,3,4,4,8,0.00,0.00,2.94,0.98,2.94,3.93,3.93,7.85,0.0,150.0,150.0
"BENN, JAMIE",Dallas,81,1104:46,25,29,13,54,196,284,355,12.76,1.36,1.57,0.71,2.93,10.64,15.42,19.28,34.7,40.3,75.0
"NYQUIST, GUSTAV",Detroit,57,727:04,21,13,9,34,112,152,187,18.75,1.73,1.07,0.74,2.81,9.24,12.54,15.43,51.2,31.7,82.9
"HALL, TAYLOR",Edmonton,75,1140:07,16,37,18,53,167,219,286,9.58,0.84,1.95,0.95,2.79,8.79,11.53,15.05,29.6,68.5,98.1
"SEGUIN, TYLER",Dallas,80,1148:26,24,29,21,53,190,254,307,12.63,1.25,1.52,1.10,2.77,9.93,13.27,16.04,35.8,43.3,79.1
"VANEK, THOMAS",Montreal,78,1142:39,19,31,19,50,165,221,287,11.52,1.00,1.63,1.00,2.63,8.66,11.60,15.07,29.2,47.7,76.9
"BISSONNETTE, PAUL",Arizona,39,184:48,2,6,3,8,25,33,38,8.00,0.65,1.95,0.97,2.60,8.12,10.71,12.34,20.0,60.0,80.0
