name,team,gp,toi,g,a,firsta,points,shots,ifenwick,icorsi,shpct,g_60,a_60,firsta_60,points_60,shots_60,ifenwick_60,icorsi_60,igp,iap,ipp
"BJORKSTRAND, OLIVER",Columbus,12,161:09,4,4,2,8,25,30,42,16.00,1.49,1.49,0.74,2.98,9.31,11.17,15.64,44.4,44.4,88.9
"MCDAVID, CONNOR",Edmonton,45,624:55,12,16,9,28,74,95,107,16.22,1.15,1.54,0.86,2.69,7.10,9.12,10.27,34.3,45.7,80.0
"HANLEY, JOEL",Montreal,10,137:21,0,6,3,6,9,14,16,0.00,0.00,2.62,1.31,2.62,3.93,6.12,6.99,0.0,75.0,75.0
"TARASENKO, VLADIMIR",St. Louis,157,2201:05,47,46,23,93,401,552,770,11.72,1.28,1.25,0.63,2.54,10.93,15.05,20.99,40.5,39.7,80.2
"BENN, JAMIE",Dallas,164,2271:26,37,58,32,95,330,459,607,11.21,0.98,1.53,0.85,2.51,8.72,12.12,16.03,30.3,47.5,77.9
"PALAT, ONDREJ",Tampa Bay,137,1726:43,21,50,29,71,196,275,377,10.71,0.73,1.74,1.01,2.47,6.81,9.56,13.10,21.0,50.0,71.0
"CROSBY, SIDNEY",Pittsburgh,157,2345:15,34,62,39,96,319,446,557,10.66,0.87,1.59,1.00,2.46,8.16,11.41,14.25,29.6,53.9,83.5
"KANE, PATRICK",Chicago,143,2215:01,44,46,32,90,311,405,520,14.15,1.19,1.25,0.87,2.44,8.42,10.97,14.09,39.6,41.4,81.1
"MCDONALD, COLIN",Philadelphia,23,225:36,3,6,4,9,32,44,53,9.38,0.80,1.60,1.06,2.39,8.51,11.70,14.10,33.3,66.7,100.0
"ATHANASIOU, ANDREAS",Detroit,37,302:26,7,5,2,12,49,66,78,14.29,1.39,0.99,0.40,2.38,9.72,13.09,15.47,50.0,35.7,85.7
"NASH, RICK",NY Rangers,139,1766:22,36,34,22,70,354,472,612,10.17,1.22,1.15,0.75,2.38,12.02,16.03,20.79,38.7,36.6,75.3
"HOFFMAN, MIKE",Ottawa,157,2001:02,39,40,26,79,317,419,582,12.30,1.17,1.20,0.78,2.37,9.51,12.56,17.45,39.0,40.0,79.0
"SEGUIN, TYLER",Dallas,143,2087:26,42,40,31,82,334,462,609,12.57,1.21,1.15,0.89,2.36,9.60,13.28,17.50,37.5,35.7,73.2
"HUDLER, JIRI",Florida,150,1974:30,29,48,33,77,170,245,306,17.06,0.88,1.46,1.00,2.34,5.17,7.44,9.30,30.5,50.5,81.1
"HUBERDEAU, JONATHAN",Florida,155,2122:12,27,54,35,81,267,333,417,10.11,0.76,1.53,0.99,2.29,7.55,9.41,11.79,25.2,50.5,75.7
"JOHNSON, TYLER",Tampa Bay,146,1842:41,28,42,30,70,284,368,466,9.86,0.91,1.37,0.98,2.28,9.25,11.98,15.17,27.2,40.8,68.0
"WHEELER, BLAKE",Winnipeg,161,2213:37,31,53,42,84,364,503,622,8.52,0.84,1.44,1.14,2.28,9.87,13.63,16.86,28.7,49.1,77.8
"PASTRNAK, DAVID",Boston,97,1206:09,21,24,12,45,173,233,301,12.14,1.04,1.19,0.60,2.24,8.61,11.59,14.97,37.5,42.9,80.4
"STEPAN, DEREK",NY Rangers,140,1828:49,20,48,32,68,244,323,397,8.20,0.66,1.57,1.05,2.23,8.01,10.60,13.02,22.7,54.5,77.3
"JAGR, JAROMIR",Florida,156,2180:49,32,49,30,81,229,325,411,13.97,0.88,1.35,0.83,2.23,6.30,8.94,11.31,28.8,44.1,73.0
"TOFFOLI, TYLER",Los Angeles,158,1948:36,34,38,23,72,321,461,606,10.59,1.05,1.17,0.71,2.22,9.88,14.19,18.66,32.1,35.8,67.9
"DUCHENE, MATT",Colorado,158,2310:26,39,46,26,85,299,405,502,13.04,1.01,1.19,0.68,2.21,7.76,10.52,13.04,37.5,44.2,81.7
"STONE, MARK",Ottawa,155,2098:32,30,47,27,77,211,300,378,14.22,0.86,1.34,0.77,2.20,6.03,8.58,10.81,30.0,47.0,77.0
"TAVARES, JOHN",NY Islanders,160,2492:19,43,48,39,91,343,473,627,12.54,1.04,1.16,0.94,2.19,8.26,11.39,15.09,37.1,41.4,78.4
"KUCHEROV, NIKITA",Tampa Bay,159,2057:25,38,37,24,75,284,389,514,13.38,1.11,1.08,0.70,2.19,8.28,11.34,14.99,32.8,31.9,64.7
"CARTER, JEFF",Los Angeles,159,2070:22,24,51,27,75,329,490,623,7.29,0.70,1.48,0.78,2.17,9.53,14.20,18.05,26.1,55.4,81.5
"PACIORETTY, MAX",Montreal,162,2217:00,39,41,23,80,450,605,791,8.67,1.06,1.11,0.62,2.17,12.18,16.37,21.41,38.6,40.6,79.2
