name,team,gp,toi,g,a,firsta,points,shots,ifenwick,icorsi,shpct,g_60,a_60,firsta_60,points_60,shots_60,ifenwick_60,icorsi_60,igp,iap,ipp
"FILATOV, NIKITA",Columbus,8,53:30,4,0,0,4,8,8,10,50.00,4.49,0.00,0.00,4.49,8.97,8.97,11.21,80.0,0.0,80.0
"LEINO, VILLE",Detroit,13,144:35,5,4,2,9,15,21,32,33.33,2.07,1.66,0.83,3.73,6.22,8.71,13.28,35.7,28.6,64.3
"BRASSARD, DERICK",Columbus,31,321:34,7,10,5,17,31,43,56,22.58,1.31,1.87,0.93,3.17,5.78,8.02,10.45,30.4,43.5,73.9
"BOURQUE, RENE",Calgary,57,691:24,19,17,8,36,122,163,206,15.57,1.65,1.48,0.69,3.12,10.59,14.15,17.88,44.2,39.5,83.7
"GABORIK, MARIAN",Minnesota,17,256:06,9,4,3,13,50,55,69,18.00,2.11,0.94,0.70,3.05,11.71,12.89,16.17,60.0,26.7,86.7
"KREJCI, DAVID",Boston,82,971:59,14,34,19,48,110,136,154,12.73,0.86,2.10,1.17,2.96,6.79,8.40,9.51,24.6,59.6,84.2
"PELECH, MATT",Calgary,5,61:11,0,3,0,3,3,5,10,0.00,0.00,2.94,0.00,2.94,2.94,4.90,9.81,0.0,75.0,75.0
"SEMIN, ALEXANDER",Washington,62,804:10,22,17,14,39,168,235,302,13.10,1.64,1.27,1.04,2.91,12.53,17.53,22.53,46.8,36.2,83.0
"WILLIAMS, JEREMY",Toronto,11,125:29,5,1,1,6,21,25,31,23.81,2.39,0.48,0.48,2.87,10.04,11.95,14.82,71.4,14.3,85.7
"CROSBY, SIDNEY",Pittsburgh,77,1108:17,20,32,22,52,143,196,236,13.99,1.08,1.73,1.19,2.82,7.74,10.61,12.78,33.9,54.2,88.1
"SEDIN, HENRIK",Vancouver,81,1096:27,15,36,21,51,102,120,144,14.71,0.82,1.97,1.15,2.79,5.58,6.57,7.88,25.0,60.0,85.0
"SEDIN, DANIEL",Vancouver,81,1075:03,20,30,20,50,179,248,320,11.17,1.12,1.67,1.12,2.79,9.99,13.84,17.86,35.1,52.6,87.7
"DATSYUK, PAVEL",Detroit,80,1057:25,17,32,20,49,158,217,292,10.76,0.96,1.82,1.13,2.78,8.97,12.31,16.57,23.9,45.1,69.0
"MALKIN, EVGENI",Pittsburgh,82,1195:38,13,42,29,55,146,203,268,8.90,0.65,2.11,1.46,2.76,7.33,10.19,13.45,19.1,61.8,80.9
"HOSSA, MARIAN",Detroit,73,921:16,26,16,9,42,206,276,345,12.62,1.69,1.04,0.59,2.74,13.42,17.98,22.47,44.8,27.6,72.4
"KESSEL, PHIL",Boston,70,927:17,25,17,13,42,178,239,305,14.04,1.62,1.10,0.84,2.72,11.52,15.46,19.74,48.1,32.7,80.8
"SAVARD, MARC",Boston,82,1095:03,13,36,23,49,145,193,245,8.97,0.71,1.97,1.26,2.68,7.94,10.57,13.42,21.0,58.1,79.0
"PARISE, ZACH",New Jersey,82,1121:17,24,26,12,50,242,325,370,9.92,1.28,1.39,0.64,2.68,12.95,17.39,19.80,41.4,44.8,86.2
"LEWIS, TREVOR",Los Angeles,6,67:48,1,2,0,3,10,15,16,10.00,0.89,1.77,0.00,2.65,8.85,13.27,14.16,33.3,66.7,100.0
"CONNOLLY, TIM",Buffalo,48,567:56,11,14,9,25,69,95,113,15.94,1.16,1.48,0.95,2.64,7.29,10.04,11.94,30.6,38.9,69.4
"AUCOIN, KEITH",Washington,12,113:44,1,4,0,5,12,14,19,8.33,0.53,2.11,0.00,2.64,6.33,7.39,10.02,14.3,57.1,71.4
"FEDOTENKO, RUSLAN",Pittsburgh,65,778:14,14,20,11,34,100,130,176,14.00,1.08,1.54,0.85,2.62,7.71,10.02,13.57,32.6,46.5,79.1
"RYAN, BOBBY",Anaheim,64,776:52,18,15,8,33,124,174,210,14.52,1.39,1.16,0.62,2.55,9.58,13.44,16.22,36.0,30.0,66.0
"ARNOTT, JASON",Nashville,65,875:05,23,14,6,37,118,164,205,19.49,1.58,0.96,0.41,2.54,8.09,11.24,14.06,45.1,27.5,72.5
"BRIERE, DANIEL",Philadelphia,29,332:09,7,7,4,14,31,45,61,22.58,1.26,1.26,0.72,2.53,5.60,8.13,11.02,41.2,41.2,82.4
"HAVLAT, MARTIN",Chicago,81,1068:06,16,29,20,45,172,203,243,9.30,0.90,1.63,1.12,2.53,9.66,11.40,13.65,27.1,49.2,76.3
"LANGENBRUNNER, JAMIE",New Jersey,81,1001:30,16,26,20,42,143,192,238,11.19,0.96,1.56,1.20,2.52,8.57,11.50,14.26,31.4,51.0,82.4
"CARTER, JEFF",Philadelphia,82,1124:47,24,23,13,47,215,288,361,11.16,1.28,1.23,0.69,2.51,11.47,15.36,19.26,40.0,38.3,78.3
"PONIKAROVSKY, ALEXEI",Toronto,82,1006:09,17,25,16,42,145,209,261,11.72,1.01,1.49,0.95,2.50,8.65,12.46,15.56,30.4,44.6,75.0
"BOOTH, DAVID",Florida,72,934:50,17,22,14,39,171,226,288,9.94,1.09,1.41,0.90,2.50,10.98,14.51,18.48,34.7,44.9,79.6
"O_REILLY, CAL",Nashville,11,121:15,3,2,1,5,6,7,9,50.00,1.48,0.99,0.49,2.47,2.97,3.46,4.45,42.9,28.6,71.4
"ZHERDEV, NIKOLAI",NY Rangers,82,1047:41,16,27,18,43,164,223,294,9.76,0.92,1.55,1.03,2.46,9.39,12.77,16.84,32.0,54.0,86.0
"OVECHKIN, ALEX",Washington,79,1222:21,27,23,16,50,307,446,618,8.79,1.33,1.13,0.79,2.45,15.07,21.89,30.34,40.9,34.8,75.8
"VANEK, THOMAS",Buffalo,73,860:47,18,17,11,35,117,167,202,15.38,1.25,1.19,0.77,2.44,8.16,11.64,14.08,39.1,37.0,76.1
"TANGUAY, ALEX",Montreal,50,565:54,11,12,7,23,47,69,87,23.40,1.17,1.27,0.74,2.44,4.98,7.32,9.22,33.3,36.4,69.7
"MALONE, RYAN",Tampa Bay,70,815:39,18,15,7,33,88,116,142,20.45,1.32,1.10,0.51,2.43,6.47,8.53,10.45,42.9,35.7,78.6
"PERRY, COREY",Anaheim,78,1114:23,20,25,18,45,206,280,318,9.71,1.08,1.35,0.97,2.42,11.09,15.08,17.12,32.3,40.3,72.6
"BRUNNSTROM, FABIAN",Dallas,55,521:14,13,8,4,21,62,91,102,20.97,1.50,0.92,0.46,2.42,7.14,10.48,11.74,59.1,36.4,95.5
"HARTNELL, SCOTT",Philadelphia,82,1068:57,22,21,11,43,168,214,260,13.10,1.23,1.18,0.62,2.41,9.43,12.01,14.59,36.7,35.0,71.7
"WHEELER, BLAKE",Boston,81,898:46,15,21,12,36,128,165,193,11.72,1.00,1.40,0.80,2.40,8.54,11.02,12.88,25.9,36.2,62.1
"LADD, ANDREW",Chicago,82,1030:22,13,28,18,41,178,225,269,7.30,0.76,1.63,1.05,2.39,10.37,13.10,15.66,22.8,49.1,71.9
"CONROY, CRAIG",Calgary,81,960:47,9,29,20,38,94,117,145,9.57,0.56,1.81,1.25,2.37,5.87,7.31,9.06,17.3,55.8,73.1
"RYDER, MICHAEL",Boston,74,836:25,15,18,12,33,117,162,213,12.82,1.08,1.29,0.86,2.37,8.39,11.62,15.28,28.8,34.6,63.5
"IGGULDEN, MIKE",NY Islanders,11,127:24,1,4,3,5,16,25,32,6.25,0.47,1.88,1.41,2.35,7.54,11.77,15.07,16.7,66.7,83.3
"CAMMALLERI, MIKE",Calgary,80,1020:00,16,24,12,40,155,206,256,10.32,0.94,1.41,0.71,2.35,9.12,12.12,15.06,30.8,46.2,76.9
"NASH, RICK",Columbus,78,1097:38,22,21,15,43,181,242,316,12.15,1.20,1.15,0.82,2.35,9.89,13.23,17.27,42.3,40.4,82.7
"ST._LOUIS, MARTIN",Tampa Bay,82,1124:34,18,26,12,44,151,226,270,11.92,0.96,1.39,0.64,2.35,8.06,12.06,14.41,31.0,44.8,75.9
"BURROWS, ALEX",Vancouver,81,1023:43,20,20,10,40,144,195,240,13.89,1.17,1.17,0.59,2.34,8.44,11.43,14.07,37.7,37.7,75.5
"LOMBARDI, MATTHEW",Arizona,67,871:02,10,24,14,34,127,158,192,7.87,0.69,1.65,0.96,2.34,8.75,10.88,13.23,20.4,49.0,69.4
"REINPRECHT, STEVEN",Arizona,72,820:17,10,22,11,32,71,104,136,14.08,0.73,1.61,0.80,2.34,5.19,7.61,9.95,22.7,50.0,72.7
"VORACEK, JAKUB",Columbus,80,820:26,8,24,15,32,83,98,120,9.64,0.59,1.76,1.10,2.34,6.07,7.17,8.78,17.8,53.3,71.1
"LUNDMARK, JAMIE",Calgary,27,309:34,8,4,1,12,45,57,72,17.78,1.55,0.78,0.19,2.33,8.72,11.05,13.96,61.5,30.8,92.3
"KENNEDY, TYLER",Pittsburgh,67,800:15,14,17,9,31,150,196,255,9.33,1.05,1.27,0.67,2.32,11.25,14.70,19.12,35.0,42.5,77.5
"GETZLAF, RYAN",Anaheim,81,1188:15,15,31,20,46,133,194,231,11.28,0.76,1.57,1.01,2.32,6.72,9.80,11.66,25.4,52.5,78.0
"ELIAS, PATRIK",New Jersey,77,932:32,13,23,14,36,152,198,242,8.55,0.84,1.48,0.90,2.32,9.78,12.74,15.57,31.0,54.8,85.7
"JAFFRAY, JASON",Vancouver,14,103:40,2,2,2,4,8,11,12,25.00,1.16,1.16,1.16,2.32,4.63,6.37,6.95,50.0,50.0,100.0
"EBBETT, ANDREW",Anaheim,48,544:29,2,19,12,21,72,100,113,2.78,0.22,2.09,1.32,2.31,7.93,11.02,12.45,6.5,61.3,67.7
"PEVERLEY, RICH",Winnipeg,66,753:01,8,21,13,29,84,117,145,9.52,0.64,1.67,1.04,2.31,6.69,9.32,11.55,21.6,56.8,78.4
"RIBEIRO, MIKE",Dallas,82,1169:42,12,33,22,45,109,151,185,11.01,0.62,1.69,1.13,2.31,5.59,7.75,9.49,21.8,60.0,81.8
"GIROUX, CLAUDE",Philadelphia,42,520:00,7,13,8,20,58,84,105,12.07,0.81,1.50,0.92,2.31,6.69,9.69,12.12,28.0,52.0,80.0
"GIONTA, BRIAN",New Jersey,81,1042:13,14,26,16,40,185,258,328,7.57,0.81,1.50,0.92,2.30,10.65,14.85,18.88,29.2,54.2,83.3
"PERRON, DAVID",St. Louis,81,861:52,11,22,14,33,110,149,184,10.00,0.77,1.53,0.97,2.30,7.66,10.37,12.81,26.8,53.7,80.5
"KOVALCHUK, ILYA",Winnipeg,79,1131:26,25,18,12,43,150,217,290,16.67,1.33,0.95,0.64,2.28,7.95,11.51,15.38,44.6,32.1,76.8
"BACKES, DAVID",St. Louis,82,1005:31,22,16,5,38,150,198,231,14.67,1.31,0.95,0.30,2.27,8.95,11.81,13.78,46.8,34.0,80.9
