name,team,gp,toi,g,a,firsta,points,shots,ifenwick,icorsi,shpct,g_60,a_60,firsta_60,points_60,shots_60,ifenwick_60,icorsi_60,igp,iap,ipp
"RYCHEL, KERBY",Columbus,5,52:49,0,3,3,3,4,7,10,0.00,0.00,3.41,3.41,3.41,4.54,7.95,11.36,0.0,100.0,100.0
"CROSBY, SIDNEY",Pittsburgh,414,6131:53,126,191,127,317,903,1203,1452,13.95,1.23,1.87,1.24,3.10,8.84,11.77,14.21,33.4,50.7,84.1
"MACHACEK, SPENCER",Winnipeg,25,188:35,2,7,4,9,20,25,36,10.00,0.64,2.23,1.27,2.86,6.36,7.95,11.45,20.0,70.0,90.0
"WILLIAMS, JEREMY",NY Rangers,12,129:12,5,1,1,6,21,25,32,23.81,2.32,0.46,0.46,2.79,9.75,11.61,14.86,71.4,14.3,85.7
"DANO, MARKO",Columbus,35,446:11,8,12,7,20,80,98,123,10.00,1.08,1.61,0.94,2.69,10.76,13.18,16.54,33.3,50.0,83.3
"HARJU, JOHAN",Tampa Bay,10,68:13,1,2,2,3,13,16,20,7.69,0.88,1.76,1.76,2.64,11.43,14.07,17.59,25.0,50.0,75.0
"MALKIN, EVGENI",Pittsburgh,427,6159:19,99,170,112,269,869,1183,1510,11.39,0.96,1.66,1.09,2.62,8.47,11.52,14.71,29.6,50.7,80.3
"BENN, JAMIE",Dallas,425,5744:15,107,135,65,242,878,1225,1604,12.19,1.12,1.41,0.68,2.53,9.17,12.80,16.75,35.8,45.2,80.9
"SEDIN, HENRIK",Vancouver,527,7460:27,69,245,135,314,602,758,964,11.46,0.55,1.97,1.09,2.53,4.84,6.10,7.75,17.5,62.2,79.7
"ALIU, AKIM",Calgary,7,71:55,2,1,0,3,5,6,9,40.00,1.67,0.83,0.00,2.50,4.17,5.01,7.51,66.7,33.3,100.0
"SEDIN, DANIEL",Vancouver,500,6976:28,106,183,121,289,1091,1477,1866,9.72,0.91,1.57,1.04,2.49,9.38,12.70,16.05,29.6,51.1,80.7
"TARASENKO, VLADIMIR",St. Louis,179,2297:49,43,52,33,95,364,548,726,11.81,1.12,1.36,0.86,2.48,9.50,14.31,18.96,35.8,43.3,79.2
"PASTRNAK, DAVID",Boston,46,534:49,7,15,7,22,76,111,144,9.21,0.79,1.68,0.79,2.47,8.53,12.45,16.16,25.9,55.6,81.5
"PALAT, ONDREJ",Tampa Bay,170,2175:33,26,62,35,88,249,350,458,10.44,0.72,1.71,0.97,2.43,6.87,9.65,12.63,20.8,49.6,70.4
"SEGUIN, TYLER",Dallas,354,4758:27,87,102,71,189,810,1095,1371,10.74,1.10,1.29,0.90,2.38,10.21,13.81,17.29,33.9,39.7,73.5
"LALIBERTE, DAVID",Philadelphia,11,76:12,2,1,1,3,8,13,16,25.00,1.57,0.79,0.79,2.36,6.30,10.24,12.60,50.0,25.0,75.0
"STAMKOS, STEVEN",Tampa Bay,491,6994:53,150,125,82,275,980,1370,1773,15.31,1.29,1.07,0.70,2.36,8.41,11.75,15.21,41.7,34.7,76.4
"KANA, TOMAS",Columbus,6,50:56,0,2,1,2,3,4,6,0.00,0.00,2.36,1.18,2.36,3.53,4.71,7.07,0.0,100.0,100.0
"IGGULDEN, MIKE",NY Islanders,11,127:24,1,4,3,5,16,25,32,6.25,0.47,1.88,1.41,2.35,7.54,11.77,15.07,16.7,66.7,83.3
"PELECH, MATT",San Jose,13,102:12,1,3,0,4,6,9,15,16.67,0.59,1.76,0.00,2.35,3.52,5.28,8.81,20.0,60.0,80.0
"RADULOV, ALEXANDER",Nashville,9,153:33,3,3,2,6,20,26,32,15.00,1.17,1.17,0.78,2.34,7.82,10.16,12.50,33.3,33.3,66.7
"STONE, MARK",Ottawa,103,1279:56,21,29,18,50,144,210,253,14.58,0.98,1.36,0.84,2.34,6.75,9.84,11.86,32.8,45.3,78.1
"TOEWS, JONATHAN",Chicago,501,7116:26,124,154,101,278,908,1141,1369,13.66,1.05,1.30,0.85,2.34,7.66,9.62,11.54,32.3,40.1,72.4
"MOUILLIERAT, KAEL",NY Islanders,6,51:15,1,1,0,2,1,3,4,100.00,1.17,1.17,0.00,2.34,1.17,3.51,4.68,50.0,50.0,100.0
"JOHNSON, TYLER",Tampa Bay,173,2205:52,34,52,32,86,305,411,524,11.15,0.92,1.41,0.87,2.34,8.30,11.18,14.25,28.3,43.3,71.7
"HAYES, KEVIN",NY Rangers,79,925:41,14,22,21,36,98,126,159,14.29,0.91,1.43,1.36,2.33,6.35,8.17,10.31,33.3,52.4,85.7
"ST._LOUIS, MARTIN",NY Rangers,525,7926:08,121,184,102,305,971,1349,1648,12.46,0.92,1.39,0.77,2.31,7.35,10.21,12.48,30.0,45.5,75.5
"KANE, PATRICK",Chicago,494,7381:09,115,168,110,283,1098,1453,1864,10.47,0.93,1.37,0.89,2.30,8.93,11.81,15.15,31.5,46.0,77.5
"GETZLAF, RYAN",Anaheim,494,7476:52,84,202,128,286,734,1063,1341,11.44,0.67,1.62,1.03,2.30,5.89,8.53,10.76,22.6,54.4,77.1
"VAN_DER_GULIK, DAVID",Los Angeles,49,340:53,2,11,8,13,54,69,81,3.70,0.35,1.94,1.41,2.29,9.50,12.14,14.26,9.5,52.4,61.9
"SEMIN, ALEXANDER",Carolina,442,6152:50,112,122,85,234,988,1470,2049,11.34,1.09,1.19,0.83,2.28,9.63,14.33,19.98,33.9,37.0,70.9
"VANEK, THOMAS",Minnesota,498,6442:16,105,140,93,245,847,1164,1477,12.40,0.98,1.30,0.87,2.28,7.89,10.84,13.76,32.8,43.8,76.6
"HALL, TAYLOR",Edmonton,299,4439:00,58,110,66,168,678,922,1247,8.55,0.78,1.49,0.89,2.27,9.16,12.46,16.86,28.6,54.2,82.8
"PERRY, COREY",Anaheim,514,7663:09,144,146,99,290,1211,1672,2056,11.89,1.13,1.14,0.78,2.27,9.48,13.09,16.10,37.4,37.9,75.3
"NASH, RICK",NY Rangers,499,6892:22,144,116,77,260,1330,1717,2166,10.83,1.25,1.01,0.67,2.26,11.58,14.95,18.86,43.4,34.9,78.3
"DATSYUK, PAVEL",Detroit,441,6351:39,86,153,94,239,785,1082,1452,10.96,0.81,1.45,0.89,2.26,7.42,10.22,13.72,27.2,48.4,75.6
"WILSON, KYLE",Nashville,39,345:31,4,9,5,13,34,48,64,11.76,0.69,1.56,0.87,2.26,5.90,8.34,11.11,25.0,56.2,81.2
"KREJCI, DAVID",Boston,489,6831:26,81,175,106,256,695,931,1159,11.65,0.71,1.54,0.93,2.25,6.10,8.18,10.18,23.9,51.6,75.5
"HAMILTON, JEFFREY",Toronto,15,160:36,3,3,1,6,27,37,48,11.11,1.12,1.12,0.37,2.24,10.09,13.82,17.93,33.3,33.3,66.7
"GABORIK, MARIAN",Los Angeles,394,5618:26,106,103,69,209,870,1131,1403,12.18,1.13,1.10,0.74,2.23,9.29,12.08,14.98,38.5,37.5,76.0
"HOSSA, MARIAN",Chicago,470,6398:42,103,133,76,236,1078,1405,1847,9.55,0.97,1.25,0.71,2.21,10.11,13.17,17.32,32.4,41.8,74.2
"KESSEL, PHIL",Toronto,516,7683:48,141,141,96,282,1356,1824,2422,10.40,1.10,1.10,0.75,2.20,10.59,14.24,18.91,39.0,39.0,77.9
"TOFFOLI, TYLER",Los Angeles,148,1662:15,24,37,22,61,279,392,507,8.60,0.87,1.34,0.79,2.20,10.07,14.15,18.30,27.9,43.0,70.9
"DUPUIS, PASCAL",Pittsburgh,418,5351:53,84,112,66,196,830,1120,1421,10.12,0.94,1.26,0.74,2.20,9.31,12.56,15.93,31.1,41.5,72.6
"SAVARD, MARC",Boston,148,1941:13,19,52,34,71,247,336,419,7.69,0.59,1.61,1.05,2.19,7.63,10.39,12.95,20.7,56.5,77.2
"EBERLE, JORDAN",Edmonton,356,5144:54,81,107,73,188,622,832,1078,13.02,0.94,1.25,0.85,2.19,7.25,9.70,12.57,34.3,45.3,79.7
"SHARP, PATRICK",Chicago,469,6464:11,106,130,72,236,1137,1498,1916,9.32,0.98,1.21,0.67,2.19,10.55,13.90,17.78,32.7,40.1,72.8
"OVECHKIN, ALEX",Washington,514,7848:40,147,139,99,286,1562,2241,3225,9.41,1.12,1.06,0.76,2.19,11.94,17.13,24.65,39.7,37.6,77.3
"ZHERDEV, NIKOLAI",Philadelphia,138,1687:51,30,31,20,61,284,370,487,10.56,1.07,1.10,0.71,2.17,10.10,13.15,17.31,39.5,40.8,80.3
"PERREAULT, MATHIEU",Winnipeg,289,3184:43,50,65,46,115,319,443,581,15.67,0.94,1.22,0.87,2.17,6.01,8.35,10.95,32.7,42.5,75.2
"KUCHEROV, NIKITA",Tampa Bay,134,1583:17,29,28,19,57,231,325,400,12.55,1.10,1.06,0.72,2.16,8.75,12.32,15.16,32.6,31.5,64.0
"HORTON, NATHAN",Columbus,336,4566:29,67,97,58,164,542,731,986,12.36,0.88,1.27,0.76,2.15,7.12,9.60,12.96,27.7,40.1,67.8
"RYAN, BOBBY",Ottawa,503,7038:25,122,130,80,252,1042,1437,1819,11.71,1.04,1.11,0.68,2.15,8.88,12.25,15.51,34.5,36.7,71.2
"PARSE, SCOTT",Los Angeles,73,760:09,11,16,10,27,87,111,138,12.64,0.87,1.26,0.79,2.13,6.87,8.76,10.89,28.2,41.0,69.2
"KUNITZ, CHRIS",Pittsburgh,480,6506:10,100,131,75,231,839,1161,1504,11.92,0.92,1.21,0.69,2.13,7.74,10.71,13.87,28.5,37.3,65.8
"SPEZZA, JASON",Dallas,446,6162:29,83,135,92,218,827,1210,1558,10.04,0.81,1.31,0.90,2.12,8.05,11.78,15.17,27.9,45.3,73.2
"STROME, RYAN",NY Islanders,118,1388:34,17,32,23,49,206,254,320,8.25,0.73,1.38,0.99,2.12,8.90,10.98,13.83,22.4,42.1,64.5
