name,team,gp,toi,g,a,firsta,points,shots,ifenwick,icorsi,shpct,g_60,a_60,firsta_60,points_60,shots_60,ifenwick_60,icorsi_60,igp,iap,ipp
"BAERTSCHI, SVEN",Calgary,5,50:31,3,0,0,3,10,11,14,30.00,3.56,0.00,0.00,3.56,11.88,13.06,16.63,100.0,0.0,100.0
"CROSBY, SIDNEY",Pittsburgh,274,3910:20,95,125,84,220,609,799,967,15.60,1.46,1.92,1.29,3.38,9.34,12.26,14.84,37.5,49.4,87.0
"FORSBERG, PETER",Colorado,11,161:04,1,8,4,9,16,19,24,6.25,0.37,2.98,1.49,3.35,5.96,7.08,8.94,11.1,88.9,100.0
"FOLIGNO, MARCUS",Buffalo,14,199:48,4,6,1,10,20,33,40,20.00,1.20,1.80,0.30,3.00,6.01,9.91,12.01,22.2,33.3,55.6
"PELECH, MATT",Calgary,5,61:11,0,3,0,3,3,5,10,0.00,0.00,2.94,0.00,2.94,2.94,4.90,9.81,0.0,75.0,75.0
"MACHACEK, SPENCER",Winnipeg,25,188:35,2,7,4,9,20,25,36,10.00,0.64,2.23,1.27,2.86,6.36,7.95,11.45,20.0,70.0,90.0
"MALKIN, EVGENI",Pittsburgh,349,5045:00,87,150,102,237,742,984,1261,11.73,1.03,1.78,1.21,2.82,8.82,11.70,15.00,30.5,52.6,83.2
"RADULOV, ALEXANDER",Nashville,90,1175:46,23,32,21,55,157,200,244,14.65,1.17,1.63,1.07,2.81,8.01,10.21,12.45,32.9,45.7,78.6
"SEDIN, HENRIK",Vancouver,409,5691:41,57,203,121,260,493,624,789,11.56,0.60,2.14,1.28,2.74,5.20,6.58,8.32,17.9,63.6,81.5
"SEDIN, DANIEL",Vancouver,380,5186:43,91,143,92,234,829,1133,1445,10.98,1.05,1.65,1.06,2.71,9.59,13.11,16.72,31.8,50.0,81.8
"HARJU, JOHAN",Tampa Bay,10,68:13,1,2,2,3,13,16,20,7.69,0.88,1.76,1.76,2.64,11.43,14.07,17.59,25.0,50.0,75.0
"VAN_DER_GULIK, DAVID",Colorado,37,255:03,2,9,6,11,41,52,59,4.88,0.47,2.12,1.41,2.59,9.65,12.23,13.88,11.8,52.9,64.7
"COLBORNE, JOE",Toronto,11,139:14,1,5,2,6,8,10,10,12.50,0.43,2.15,0.86,2.59,3.45,4.31,4.31,12.5,62.5,75.0
"GABORIK, MARIAN",NY Rangers,313,4501:58,95,95,67,190,705,931,1146,13.48,1.27,1.27,0.89,2.53,9.40,12.41,15.27,41.1,41.1,82.3
"OVECHKIN, ALEX",Washington,388,6076:08,127,128,90,255,1273,1820,2615,9.98,1.25,1.26,0.89,2.52,12.57,17.97,25.82,39.1,39.4,78.5
"SEMIN, ALEXANDER",Washington,338,4454:32,103,83,57,186,777,1138,1556,13.26,1.39,1.12,0.77,2.51,10.47,15.33,20.96,42.6,34.3,76.9
"EBERLE, JORDAN",Edmonton,147,2018:03,35,48,31,83,249,338,448,14.06,1.04,1.43,0.92,2.47,7.40,10.05,13.32,36.1,49.5,85.6
"FOY, MATT",Minnesota,28,197:37,4,4,3,8,34,42,50,11.76,1.21,1.21,0.91,2.43,10.32,12.75,15.18,44.4,44.4,88.9
"DATSYUK, PAVEL",Detroit,368,5240:49,76,136,86,212,700,957,1247,10.86,0.87,1.56,0.98,2.43,8.01,10.96,14.28,26.4,47.2,73.6
"STAMKOS, STEVEN",Tampa Bay,324,4497:32,97,83,52,180,637,870,1138,15.23,1.29,1.11,0.69,2.40,8.50,11.61,15.18,41.5,35.5,76.9
"BENN, JAMIE",Dallas,221,2894:20,53,62,25,115,424,581,759,12.50,1.10,1.29,0.52,2.38,8.79,12.04,15.73,39.6,46.3,85.8
"LALIBERTE, DAVID",Philadelphia,11,76:12,2,1,1,3,8,13,16,25.00,1.57,0.79,0.79,2.36,6.30,10.24,12.60,50.0,25.0,75.0
"KANA, TOMAS",Columbus,6,50:56,0,2,1,2,3,4,6,0.00,0.00,2.36,1.18,2.36,3.53,4.71,7.07,0.0,100.0,100.0
"SPEZZA, JASON",Ottawa,360,5184:44,78,123,86,201,677,979,1244,11.52,0.90,1.42,1.00,2.33,7.83,11.33,14.40,28.7,45.2,73.9
"HLINKA, JAROSLAV",Colorado,63,703:45,8,19,15,27,79,103,123,10.13,0.68,1.62,1.28,2.30,6.74,8.78,10.49,23.5,55.9,79.4
"THORNTON, JOE",San Jose,405,5861:06,61,163,107,224,473,646,815,12.90,0.62,1.67,1.10,2.29,4.84,6.61,8.34,21.2,56.6,77.8
"KANE, PATRICK",Chicago,399,5758:38,78,142,86,220,824,1075,1376,9.47,0.81,1.48,0.90,2.29,8.59,11.20,14.34,27.8,50.5,78.3
"ST._LOUIS, MARTIN",Tampa Bay,404,6260:56,87,151,85,238,796,1120,1362,10.93,0.83,1.45,0.81,2.28,7.63,10.73,13.05,27.4,47.6,75.1
"NYQUIST, GUSTAV",Detroit,18,184:29,1,6,4,7,18,27,33,5.56,0.33,1.95,1.30,2.28,5.85,8.78,10.73,14.3,85.7,100.0
"ZETTERBERG, HENRIK",Detroit,387,5531:30,82,127,79,209,1051,1418,1767,7.80,0.89,1.38,0.86,2.27,11.40,15.38,19.17,29.6,45.8,75.5
"IGGULDEN, MIKE",NY Islanders,12,132:42,1,4,3,5,16,25,33,6.25,0.45,1.81,1.36,2.26,7.23,11.30,14.92,16.7,66.7,83.3
"TOEWS, JONATHAN",Chicago,361,5021:30,87,102,67,189,639,793,950,13.62,1.04,1.22,0.80,2.26,7.64,9.48,11.35,32.2,37.8,70.0
"WILSON, KYLE",Nashville,39,345:31,4,9,5,13,34,48,64,11.76,0.69,1.56,0.87,2.26,5.90,8.34,11.11,25.0,56.2,81.2
"POMINVILLE, JASON",Buffalo,401,5057:52,79,111,71,190,825,1068,1323,9.58,0.94,1.32,0.84,2.25,9.79,12.67,15.69,33.2,46.6,79.8
"RIBEIRO, MIKE",Dallas,380,5359:17,60,141,99,201,540,721,912,11.11,0.67,1.58,1.11,2.25,6.05,8.07,10.21,24.4,57.3,81.7
"KREJCI, DAVID",Boston,371,4897:16,57,126,80,183,494,644,806,11.54,0.70,1.54,0.98,2.24,6.05,7.89,9.87,24.7,54.5,79.2
"HAGELIN, CARL",NY Rangers,64,883:34,12,21,10,33,120,155,197,10.00,0.81,1.43,0.68,2.24,8.15,10.53,13.38,25.5,44.7,70.2
"SHARP, PATRICK",Chicago,371,4930:07,90,93,49,183,829,1092,1358,10.86,1.10,1.13,0.60,2.23,10.09,13.29,16.53,35.7,36.9,72.6
"SUNDIN, MATS",Vancouver,114,1483:48,22,33,24,55,202,282,337,10.89,0.89,1.33,0.97,2.22,8.17,11.40,13.63,29.3,44.0,73.3
"VANEK, THOMAS",Buffalo,384,4776:05,80,97,60,177,661,910,1110,12.10,1.00,1.22,0.75,2.22,8.30,11.43,13.94,33.2,40.2,73.4
"ENNIS, TYLER",Buffalo,140,1808:08,29,38,23,67,250,333,421,11.60,0.96,1.26,0.76,2.22,8.30,11.05,13.97,31.9,41.8,73.6
"DUMONT, J.P.",Nashville,306,3728:07,53,85,53,138,431,604,752,12.30,0.85,1.37,0.85,2.22,6.94,9.72,12.10,28.6,45.9,74.6
"GIROUX, CLAUDE",Philadelphia,285,3690:48,46,90,62,136,425,585,761,10.82,0.75,1.46,1.01,2.21,6.91,9.51,12.37,26.3,51.4,77.7
"HOSSA, MARIAN",Chicago,348,4725:44,81,93,53,174,807,1058,1346,10.04,1.03,1.18,0.67,2.21,10.25,13.43,17.09,36.3,41.7,78.0
"SKINNER, JEFF",Carolina,145,1933:16,38,33,17,71,296,421,559,12.84,1.18,1.02,0.53,2.20,9.19,13.07,17.35,40.9,35.5,76.3
