name,team,gp,toi,g,a,firsta,points,shots,ifenwick,icorsi,shpct,g_60,a_60,firsta_60,points_60,shots_60,ifenwick_60,icorsi_60,igp,iap,ipp
"FORSBERG, PETER",Colorado,11,161:04,1,8,4,9,16,19,24,6.25,0.37,2.98,1.49,3.35,5.96,7.08,8.94,11.1,88.9,100.0
"CROSBY, SIDNEY",Pittsburgh,547,8073:03,161,247,165,408,1183,1588,1940,13.61,1.20,1.84,1.23,3.03,8.79,11.80,14.42,33.3,51.1,84.5
"BJORKSTRAND, OLIVER",Columbus,12,161:09,4,4,2,8,25,30,42,16.00,1.49,1.49,0.74,2.98,9.31,11.17,15.64,44.4,44.4,88.9
"MACHACEK, SPENCER",Winnipeg,25,188:35,2,7,4,9,20,25,36,10.00,0.64,2.23,1.27,2.86,6.36,7.95,11.45,20.0,70.0,90.0
"RADULOV, ALEXANDER",Nashville,90,1175:46,23,32,21,55,157,200,244,14.65,1.17,1.63,1.07,2.81,8.01,10.21,12.45,32.9,45.7,78.6
"MCDAVID, CONNOR",Edmonton,45,624:55,12,16,9,28,74,95,107,16.22,1.15,1.54,0.86,2.69,7.10,9.12,10.27,34.3,45.7,80.0
"HARJU, JOHAN",Tampa Bay,10,68:13,1,2,2,3,13,16,20,7.69,0.88,1.76,1.76,2.64,11.43,14.07,17.59,25.0,50.0,75.0
"HANLEY, JOEL",Montreal,10,137:21,0,6,3,6,9,14,16,0.00,0.00,2.62,1.31,2.62,3.93,6.12,6.99,0.0,75.0,75.0
"MALKIN, EVGENI",Pittsburgh,566,8139:48,136,215,143,351,1115,1509,1932,12.20,1.00,1.58,1.05,2.59,8.22,11.12,14.24,31.3,49.5,80.9
"ALIU, AKIM",Calgary,7,71:55,2,1,0,3,5,6,9,40.00,1.67,0.83,0.00,2.50,4.17,5.01,7.51,66.7,33.3,100.0
"BENN, JAMIE",Dallas,507,6893:08,123,161,78,284,1037,1445,1887,11.86,1.07,1.40,0.68,2.47,9.03,12.58,16.43,34.7,45.5,80.2
"FOY, MATT",Minnesota,28,197:37,4,4,3,8,34,42,50,11.76,1.21,1.21,0.91,2.43,10.32,12.75,15.18,44.4,44.4,88.9
"TARASENKO, VLADIMIR",St. Louis,259,3424:41,65,73,44,138,573,820,1111,11.34,1.14,1.28,0.77,2.42,10.04,14.37,19.46,37.6,42.2,79.8
"SEDIN, HENRIK",Vancouver,683,9538:28,82,298,170,380,755,964,1214,10.86,0.52,1.87,1.07,2.39,4.75,6.06,7.64,17.2,62.5,79.7
"ATHANASIOU, ANDREAS",Detroit,37,302:26,7,5,2,12,49,66,78,14.29,1.39,0.99,0.40,2.38,9.72,13.09,15.47,50.0,35.7,85.7
"LALIBERTE, DAVID",Philadelphia,11,76:12,2,1,1,3,8,13,16,25.00,1.57,0.79,0.79,2.36,6.30,10.24,12.60,50.0,25.0,75.0
"KANA, TOMAS",Columbus,6,50:56,0,2,1,2,3,4,6,0.00,0.00,2.36,1.18,2.36,3.53,4.71,7.07,0.0,100.0,100.0
"PELECH, MATT",San Jose,13,102:12,1,3,0,4,6,9,15,16.67,0.59,1.76,0.00,2.35,3.52,5.28,8.81,20.0,60.0,80.0
"SEDIN, DANIEL",Vancouver,664,9148:31,137,221,145,358,1427,1913,2402,9.60,0.90,1.45,0.95,2.35,9.36,12.55,15.75,30.8,49.7,80.4
"KANE, PATRICK",Chicago,658,9773:42,151,230,150,381,1395,1837,2354,10.82,0.93,1.41,0.92,2.34,8.56,11.28,14.45,31.1,47.4,78.6
"SEGUIN, TYLER",Dallas,426,5824:39,108,118,81,226,973,1323,1681,11.10,1.11,1.22,0.83,2.33,10.02,13.63,17.32,34.7,37.9,72.7
"HLINKA, JAROSLAV",Colorado,63,703:45,8,19,15,27,79,103,123,10.13,0.68,1.62,1.28,2.30,6.74,8.78,10.49,23.5,55.9,79.4
"PALAT, ONDREJ",Tampa Bay,232,2974:08,38,76,46,114,337,472,625,11.28,0.77,1.53,0.93,2.30,6.80,9.52,12.61,23.3,46.6,69.9
"VAN_DER_GULIK, DAVID",Los Angeles,49,340:53,2,11,8,13,54,69,81,3.70,0.35,1.94,1.41,2.29,9.50,12.14,14.26,9.5,52.4,61.9
"HALL, TAYLOR",Edmonton,381,5686:27,76,140,90,216,892,1201,1602,8.52,0.80,1.48,0.95,2.28,9.41,12.67,16.90,29.2,53.8,83.1
"STAMKOS, STEVEN",Tampa Bay,568,8094:45,167,139,92,306,1100,1545,2004,15.18,1.24,1.03,0.68,2.27,8.15,11.45,14.85,41.1,34.2,75.4
"IGGULDEN, MIKE",NY Islanders,12,132:42,1,4,3,5,16,25,33,6.25,0.45,1.81,1.36,2.26,7.23,11.30,14.92,16.7,66.7,83.3
"WILSON, KYLE",Nashville,39,345:31,4,9,5,13,34,48,64,11.76,0.69,1.56,0.87,2.26,5.90,8.34,11.11,25.0,56.2,81.2
"OVECHKIN, ALEX",Washington,674,10335:49,208,179,122,387,2079,2973,4251,10.00,1.21,1.04,0.71,2.25,12.07,17.26,24.68,41.0,35.3,76.3
"ST._LOUIS, MARTIN",NY Rangers,607,9328:27,132,217,122,349,1124,1565,1915,11.74,0.85,1.40,0.78,2.24,7.23,10.07,12.32,28.2,46.4,74.6
"TOEWS, JONATHAN",Chicago,645,9056:55,151,187,119,338,1131,1416,1698,13.35,1.00,1.24,0.79,2.24,7.49,9.38,11.25,32.1,39.7,71.8
