name,team,gp,toi,g,a,firsta,points,shots,ifenwick,icorsi,shpct,g_60,a_60,firsta_60,points_60,shots_60,ifenwick_60,icorsi_60,igp,iap,ipp
"BJORKSTRAND, OLIVER",Columbus,12,161:09,4,4,2,8,25,30,42,16.00,1.49,1.49,0.74,2.98,9.31,11.17,15.64,44.4,44.4,88.9
"MCDAVID, CONNOR",Edmonton,45,624:55,12,16,9,28,74,95,107,16.22,1.15,1.54,0.86,2.69,7.10,9.12,10.27,34.3,45.7,80.0
"BENN, JAMIE",Dallas,245,3376:12,62,87,45,149,526,743,962,11.79,1.10,1.55,0.80,2.65,9.35,13.20,17.10,32.0,44.8,76.8
"HANLEY, JOEL",Montreal,10,137:21,0,6,3,6,9,14,16,0.00,0.00,2.62,1.31,2.62,3.93,6.12,6.99,0.0,75.0,75.0
"BISSONNETTE, PAUL",Arizona,39,184:48,2,6,3,8,25,33,38,8.00,0.65,1.95,0.97,2.60,8.12,10.71,12.34,20.0,60.0,80.0
"TARASENKO, VLADIMIR",St. Louis,221,2995:50,60,65,37,125,508,726,996,11.81,1.20,1.30,0.74,2.50,10.17,14.54,19.95,38.0,41.1,79.1
"SEGUIN, TYLER",Dallas,223,3235:52,66,69,52,135,524,716,916,12.60,1.22,1.28,0.96,2.50,9.72,13.28,16.98,36.9,38.5,75.4
"CROSBY, SIDNEY",Pittsburgh,237,3618:23,54,96,62,150,488,674,835,11.07,0.90,1.59,1.03,2.49,8.09,11.18,13.85,29.5,52.5,82.0
"CORMIER, PATRICE",Winnipeg,12,74:13,0,3,1,3,4,4,9,0.00,0.00,2.43,0.81,2.43,3.23,3.23,7.28,0.0,150.0,150.0
"GETZLAF, RYAN",Anaheim,231,3272:44,44,88,53,132,373,542,689,11.80,0.81,1.61,0.97,2.42,6.84,9.94,12.63,26.7,53.3,80.0
"KANE, PATRICK",Chicago,212,3271:24,62,69,49,131,475,629,810,13.05,1.14,1.27,0.90,2.40,8.71,11.54,14.86,37.8,42.1,79.9
"PERRY, COREY",Anaheim,230,3234:42,72,57,41,129,490,693,881,14.69,1.34,1.06,0.76,2.39,9.09,12.85,16.34,43.1,34.1,77.2
"ATHANASIOU, ANDREAS",Detroit,37,302:26,7,5,2,12,49,66,78,14.29,1.39,0.99,0.40,2.38,9.72,13.09,15.47,50.0,35.7,85.7
"HALL, TAYLOR",Edmonton,210,3206:19,41,86,54,127,484,643,849,8.47,0.77,1.61,1.01,2.38,9.06,12.03,15.89,27.9,58.5,86.4
"PALAT, ONDREJ",Tampa Bay,218,2826:51,36,74,46,110,322,451,600,11.18,0.76,1.57,0.98,2.33,6.83,9.57,12.73,23.2,47.7,71.0
"DUCHENE, MATT",Colorado,229,3336:52,52,77,47,129,463,629,791,11.23,0.94,1.38,0.85,2.32,8.33,11.31,14.22,33.1,49.0,82.2
"MALKIN, EVGENI",Pittsburgh,186,2649:33,45,56,36,101,307,428,555,14.66,1.02,1.27,0.82,2.29,6.95,9.69,12.57,35.2,43.8,78.9
"PASTRNAK, DAVID",Boston,97,1206:09,21,24,12,45,173,233,301,12.14,1.04,1.19,0.60,2.24,8.61,11.59,14.97,37.5,42.9,80.4
"WHEELER, BLAKE",Winnipeg,243,3364:07,46,79,59,125,533,736,921,8.63,0.82,1.41,1.05,2.23,9.51,13.13,16.43,29.1,50.0,79.1
"TAVARES, JOHN",NY Islanders,219,3420:03,58,69,54,127,463,633,842,12.53,1.02,1.21,0.95,2.23,8.12,11.11,14.77,35.2,41.8,77.0
"THORNTON, JOE",San Jose,242,3332:41,22,101,57,123,242,342,439,9.09,0.40,1.82,1.03,2.21,4.36,6.16,7.90,13.1,60.1,73.2
"NASH, RICK",NY Rangers,204,2619:29,54,42,28,96,545,723,917,9.91,1.24,0.96,0.64,2.20,12.48,16.56,21.00,41.5,32.3,73.8
"HUDLER, JIRI",Florida,225,3069:22,42,70,46,112,254,364,450,16.54,0.82,1.37,0.90,2.19,4.97,7.12,8.80,29.4,49.0,78.3
"HOFFMAN, MIKE",Ottawa,182,2258:47,41,41,27,82,361,481,671,11.36,1.09,1.09,0.72,2.18,9.59,12.78,17.82,38.7,38.7,77.4
"STONE, MARK",Ottawa,174,2338:35,33,51,30,84,241,349,437,13.69,0.85,1.31,0.77,2.16,6.18,8.95,11.21,30.0,46.4,76.4
"TOFFOLI, TYLER",Los Angeles,220,2630:39,43,51,30,94,424,611,803,10.14,0.98,1.16,0.68,2.14,9.67,13.94,18.31,31.9,37.8,69.6
"SCHWARTZ, JADEN",St. Louis,188,2548:54,36,55,36,91,319,413,528,11.29,0.85,1.29,0.85,2.14,7.51,9.72,12.43,30.8,47.0,77.8
