name,team,gp,toi,g,a,firsta,points,shots,ifenwick,icorsi,shpct,g_60,a_60,firsta_60,points_60,shots_60,ifenwick_60,icorsi_60,igp,iap,ipp
"CROSBY, SIDNEY",Pittsburgh,260,3888:08,90,130,87,220,599,787,956,15.03,1.39,2.01,1.34,3.39,9.24,12.14,14.75,34.0,49.1,83.0
"VESCE, RYAN",San Jose,9,88:28,3,2,1,5,17,21,26,17.65,2.03,1.36,0.68,3.39,11.53,14.24,17.63,50.0,33.3,83.3
"JARNKROK, CALLE",Nashville,12,146:41,2,6,3,8,12,15,21,16.67,0.82,2.45,1.23,3.27,4.91,6.14,8.59,18.2,54.5,72.7
"MACHACEK, SPENCER",Winnipeg,23,172:12,2,7,4,9,19,24,35,10.53,0.70,2.44,1.39,3.14,6.62,8.36,12.20,20.0,70.0,90.0
"PETTINGER, MATT",Vancouver,9,68:01,1,2,2,3,8,12,13,12.50,0.88,1.76,1.76,2.65,7.06,10.59,11.47,25.0,50.0,75.0
"HARJU, JOHAN",Tampa Bay,10,68:13,1,2,2,3,13,16,20,7.69,0.88,1.76,1.76,2.64,11.43,14.07,17.59,25.0,50.0,75.0
"MALKIN, EVGENI",Pittsburgh,276,3985:28,69,106,72,175,595,795,1009,11.60,1.04,1.60,1.08,2.63,8.96,11.97,15.19,31.5,48.4,79.9
"SEDIN, HENRIK",Vancouver,364,5256:37,47,183,102,230,426,544,702,11.03,0.54,2.09,1.16,2.63,4.86,6.21,8.01,16.2,62.9,79.0
"HERTL, TOMAS",San Jose,37,472:03,10,10,5,20,74,100,129,13.51,1.27,1.27,0.64,2.54,9.41,12.71,16.40,38.5,38.5,76.9
"SEDIN, DANIEL",Vancouver,337,4802:41,75,128,85,203,754,1017,1277,9.95,0.94,1.60,1.06,2.54,9.42,12.71,15.95,28.6,48.9,77.5
"STAMKOS, STEVEN",Tampa Bay,330,4934:10,113,94,60,207,694,967,1251,16.28,1.37,1.14,0.73,2.52,8.44,11.76,15.21,41.7,34.7,76.4
