name,team,gp,toi,g,a,firsta,points,shots,ifenwick,icorsi,shpct,g_60,a_60,firsta_60,points_60,shots_60,ifenwick_60,icorsi_60,igp,iap,ipp
"MACHACEK, SPENCER",Winnipeg,13,96:42,2,7,4,9,12,16,24,16.67,1.24,4.34,2.48,5.58,7.45,9.93,14.89,20.0,70.0,90.0
"MAXWELL, BEN",Winnipeg,15,94:14,1,5,4,6,10,11,14,10.00,0.64,3.18,2.55,3.82,6.37,7.00,8.91,16.7,83.3,100.0
"RYCHEL, KERBY",Columbus,5,52:49,0,3,3,3,4,7,10,0.00,0.00,3.41,3.41,3.41,4.54,7.95,11.36,0.0,100.0,100.0
"CROSBY, SIDNEY",Pittsburgh,215,3249:40,53,108,72,161,459,616,748,11.55,0.98,1.99,1.33,2.97,8.47,11.37,13.81,26.6,54.3,80.9
"MALKIN, EVGENI",Pittsburgh,235,3433:04,67,88,60,155,487,658,825,13.76,1.17,1.54,1.05,2.71,8.51,11.50,14.42,35.1,46.1,81.2
"DANO, MARKO",Columbus,35,446:11,8,12,7,20,80,98,123,10.00,1.08,1.61,0.94,2.69,10.76,13.18,16.54,33.3,50.0,83.3
"BENN, JAMIE",Dallas,275,3843:53,75,97,48,172,611,860,1127,12.28,1.17,1.51,0.75,2.68,9.54,13.42,17.59,34.4,44.5,78.9
"SEGUIN, TYLER",Dallas,280,3966:34,77,93,63,170,690,939,1184,11.16,1.16,1.41,0.95,2.57,10.44,14.20,17.91,33.2,40.1,73.3
"DUPUIS, PASCAL",Pittsburgh,185,2568:09,46,62,33,108,421,576,741,10.93,1.07,1.45,0.77,2.52,9.84,13.46,17.31,31.3,42.2,73.5
"ALIU, AKIM",Calgary,7,71:55,2,1,0,3,5,6,9,40.00,1.67,0.83,0.00,2.50,4.17,5.01,7.51,66.7,33.3,100.0
"TARASENKO, VLADIMIR",St. Louis,179,2297:49,43,52,33,95,364,548,726,11.81,1.12,1.36,0.86,2.48,9.50,14.31,18.96,35.8,43.3,79.2
"TOEWS, JONATHAN",Chicago,263,3767:18,72,83,52,155,499,621,742,14.43,1.15,1.32,0.83,2.47,7.95,9.89,11.82,34.1,39.3,73.5
"PASTRNAK, DAVID",Boston,46,534:49,7,15,7,22,76,111,144,9.21,0.79,1.68,0.79,2.47,8.53,12.45,16.16,25.9,55.6,81.5
"HALL, TAYLOR",Edmonton,234,3484:41,48,95,59,143,531,719,962,9.04,0.83,1.64,1.02,2.46,9.14,12.38,16.56,28.9,57.2,86.1
"STAMKOS, STEVEN",Tampa Bay,249,3854:12,94,64,45,158,543,763,976,17.31,1.46,1.00,0.70,2.46,8.45,11.88,15.19,45.6,31.1,76.7
"PALAT, ONDREJ",Tampa Bay,170,2175:33,26,62,35,88,249,350,458,10.44,0.72,1.71,0.97,2.43,6.87,9.65,12.63,20.8,49.6,70.4
"RADULOV, ALEXANDER",Nashville,9,153:33,3,3,2,6,20,26,32,15.00,1.17,1.17,0.78,2.34,7.82,10.16,12.50,33.3,33.3,66.7
"STONE, MARK",Ottawa,103,1279:56,21,29,18,50,144,210,253,14.58,0.98,1.36,0.84,2.34,6.75,9.84,11.86,32.8,45.3,78.1
"MOUILLIERAT, KAEL",NY Islanders,6,51:15,1,1,0,2,1,3,4,100.00,1.17,1.17,0.00,2.34,1.17,3.51,4.68,50.0,50.0,100.0
"JOHNSON, TYLER",Tampa Bay,173,2205:52,34,52,32,86,305,411,524,11.15,0.92,1.41,0.87,2.34,8.30,11.18,14.25,28.3,43.3,71.7
"HAYES, KEVIN",NY Rangers,79,925:41,14,22,21,36,98,126,159,14.29,0.91,1.43,1.36,2.33,6.35,8.17,10.31,33.3,52.4,85.7
"PACIORETTY, MAX",Montreal,276,3794:26,80,66,40,146,751,1018,1305,10.65,1.26,1.04,0.63,2.31,11.88,16.10,20.64,42.3,34.9,77.2
"BITZ, BYRON",Vancouver,10,104:06,1,3,2,4,6,8,10,16.67,0.58,1.73,1.15,2.31,3.46,4.61,5.76,25.0,75.0,100.0
"KANE, PATRICK",Chicago,259,3993:05,64,89,67,153,576,777,1013,11.11,0.96,1.34,1.01,2.30,8.65,11.68,15.22,31.8,44.3,76.1
"GETZLAF, RYAN",Anaheim,280,4124:40,50,107,71,157,443,631,811,11.29,0.73,1.56,1.03,2.28,6.44,9.18,11.80,24.9,53.2,78.1
"EBERLE, JORDAN",Edmonton,287,4192:27,69,90,62,159,499,668,855,13.83,0.99,1.29,0.89,2.28,7.14,9.56,12.24,34.0,44.3,78.3
"VANEK, THOMAS",Minnesota,274,3671:29,54,84,59,138,465,614,807,11.61,0.88,1.37,0.96,2.26,7.60,10.03,13.19,30.3,47.2,77.5
